wavelength (nm), n, k
2.25000000e2, 1.53146500, 2.56380400
2.27500000e2, 1.57406000, 2.61632000
2.30000000e2, 1.62229200, 2.67136000
2.32500000e2, 1.67738600, 2.72858800
2.35000000e2, 1.74074900, 2.78735400
2.37500000e2, 1.81394900, 2.84655300
2.40000000e2, 1.89860500, 2.90445600
2.42500000e2, 1.99618600, 2.95851800
2.45000000e2, 2.10766500, 3.00524200
2.47500000e2, 2.23298600, 3.04016000
2.50000000e2, 2.37040100, 3.05812400
2.52500000e2, 2.51585300, 3.05403800
2.55000000e2, 2.66269900, 3.02406900
2.57500000e2, 2.80203500, 2.96719800
2.60000000e2, 2.92419500, 2.88770000
2.62500000e2, 3.02581500, 2.79372800
2.65000000e2, 3.10415600, 2.69014100
2.67500000e2, 3.15818900, 2.58489300
2.70000000e2, 3.19055800, 2.48487200
2.72500000e2, 3.20565000, 2.39469200
2.75000000e2, 3.20826200, 2.31676400
2.77500000e2, 3.20279100, 2.25179800
2.80000000e2, 3.19288300, 2.19940800
2.82500000e2, 3.18137800, 2.15858400
2.85000000e2, 3.17036900, 2.12814300
2.87500000e2, 3.16116400, 2.10734500
2.90000000e2, 3.15555900, 2.09359200
2.92500000e2, 3.15409900, 2.08639200
2.95000000e2, 3.15750300, 2.08462400
2.97500000e2, 3.16636300, 2.08723500
3.00000000e2, 3.18120300, 2.09319700
3.02500000e2, 3.20249400, 2.10144300
3.05000000e2, 3.23064400, 2.11083600
3.07500000e2, 3.26596600, 2.12012200
3.10000000e2, 3.30862400, 2.12790600
3.12500000e2, 3.35855800, 2.13265300
3.15000000e2, 3.41539300, 2.13272000
3.17500000e2, 3.47836800, 2.12643200
3.20000000e2, 3.54626900, 2.11220600
3.22500000e2, 3.61743900, 2.08870200
3.25000000e2, 3.68975000, 2.05503300
3.27500000e2, 3.76089700, 2.01086700
3.30000000e2, 3.82849200, 1.95654200
3.32500000e2, 3.89033500, 1.89306200
3.35000000e2, 3.94463100, 1.82198000
3.37500000e2, 3.99013800, 1.74522200
3.40000000e2, 4.02622800, 1.66485500
3.42500000e2, 4.05285200, 1.58289200
3.45000000e2, 4.07043600, 1.50112600
3.47500000e2, 4.07975100, 1.42102800
3.50000000e2, 4.08176800, 1.34372100
3.52500000e2, 4.07753900, 1.26999100
3.55000000e2, 4.06811700, 1.20032100
3.57500000e2, 4.05448100, 1.13495800
3.60000000e2, 4.03751100, 1.07396200
3.62500000e2, 4.01797700, 1.01726200
3.65000000e2, 3.99652400, 9.64692000e-1
3.67500000e2, 3.97369400, 9.16037000e-1
3.70000000e2, 3.94993000, 8.71043000e-1
3.72500000e2, 3.92559000, 8.29448000e-1
3.75000000e2, 3.90095900, 7.90990000e-1
3.77500000e2, 3.87626300, 7.55409000e-1
3.80000000e2, 3.85167900, 7.22466000e-1
3.82500000e2, 3.82734200, 6.91932000e-1
3.85000000e2, 3.80335400, 6.63594000e-1
3.87500000e2, 3.77978600, 6.37256000e-1
3.90000000e2, 3.75670900, 6.12759000e-1
3.92500000e2, 3.73417900, 5.89942000e-1
3.95000000e2, 3.71199600, 5.68568000e-1
3.97500000e2, 3.68992800, 5.48406000e-1
4.00000000e2, 3.66910500, 5.29802000e-1
4.02500000e2, 3.64881700, 5.12349000e-1
4.05000000e2, 3.62909800, 4.95966000e-1
4.07500000e2, 3.60994100, 4.80567000e-1
4.10000000e2, 3.59133600, 4.66073000e-1
4.12500000e2, 3.57327100, 4.52411000e-1
4.15000000e2, 3.55573200, 4.39517000e-1
4.17500000e2, 3.53870500, 4.27333000e-1
4.20000000e2, 3.52217400, 4.15804000e-1
4.22500000e2, 3.50612400, 4.04883000e-1
4.25000000e2, 3.49054000, 3.94525000e-1
4.27500000e2, 3.47540600, 3.84690000e-1
4.30000000e2, 3.46070600, 3.75343000e-1
4.32500000e2, 3.44642500, 3.66448000e-1
4.35000000e2, 3.43254800, 3.57975000e-1
4.37500000e2, 3.41906100, 3.49897000e-1
4.40000000e2, 3.40595100, 3.42188000e-1
4.42500000e2, 3.39320100, 3.34823000e-1
4.45000000e2, 3.38080100, 3.27782000e-1
4.47500000e2, 3.36873700, 3.21045000e-1
4.50000000e2, 3.35699500, 3.14590000e-1
4.52500000e2, 3.34556400, 3.08403000e-1
4.55000000e2, 3.33443700, 3.02469000e-1
4.57500000e2, 3.32360100, 2.96773000e-1
4.60000000e2, 3.31304400, 2.91300000e-1
4.62500000e2, 3.30275700, 2.86038000e-1
4.65000000e2, 3.29273000, 2.80975000e-1
4.67500000e2, 3.28295400, 2.76102000e-1
4.70000000e2, 3.27342100, 2.71407000e-1
4.72500000e2, 3.26412200, 2.66882000e-1
4.75000000e2, 3.25504800, 2.62516000e-1
4.77500000e2, 3.24619200, 2.58303000e-1
4.80000000e2, 3.23754700, 2.54234000e-1
4.82500000e2, 3.22910700, 2.50303000e-1
4.85000000e2, 3.22086300, 2.46502000e-1
4.87500000e2, 3.21280900, 2.42826000e-1
4.90000000e2, 3.20493800, 2.39269000e-1
4.92500000e2, 3.19724700, 2.35824000e-1
4.95000000e2, 3.18972800, 2.32487000e-1
4.97500000e2, 3.18237600, 2.29253000e-1
5.00000000e2, 3.17518600, 2.26117000e-1
5.02500000e2, 3.16815100, 2.23074000e-1
5.05000000e2, 3.16126800, 2.20122000e-1
5.07500000e2, 3.15453400, 2.17255000e-1
5.10000000e2, 3.14794100, 2.14471000e-1
5.12500000e2, 3.14148700, 2.11766000e-1
5.15000000e2, 3.13516500, 2.09136000e-1
5.17500000e2, 3.12897300, 2.06578000e-1
5.20000000e2, 3.12290900, 2.04090000e-1
5.22500000e2, 3.11696700, 2.01669000e-1
5.25000000e2, 3.11114500, 1.99311000e-1
5.27500000e2, 3.10543800, 1.97016000e-1
5.30000000e2, 3.09984300, 1.94780000e-1
5.32500000e2, 3.09435800, 1.92601000e-1
5.35000000e2, 3.08897800, 1.90476000e-1
5.37500000e2, 3.08370200, 1.88404000e-1
5.40000000e2, 3.07852600, 1.86383000e-1
5.42500000e2, 3.07344700, 1.84412000e-1
5.45000000e2, 3.06846400, 1.82488000e-1
5.47500000e2, 3.06357300, 1.80609000e-1
5.50000000e2, 3.05877200, 1.78774000e-1
5.52500000e2, 3.05405800, 1.76981000e-1
5.55000000e2, 3.04943000, 1.75231000e-1
5.57500000e2, 3.04488400, 1.73519000e-1
5.60000000e2, 3.04042000, 1.71846000e-1
5.62500000e2, 3.03603500, 1.70209000e-1
5.65000000e2, 3.03172500, 1.68609000e-1
5.67500000e2, 3.02749200, 1.67043000e-1
5.70000000e2, 3.02333100, 1.65511000e-1
5.72500000e2, 3.01924100, 1.64011000e-1
5.75000000e2, 3.01522200, 1.62542000e-1
5.77500000e2, 3.01126800, 1.61104000e-1
5.80000000e2, 3.00738200, 1.59695000e-1
5.82500000e2, 3.00356100, 1.58315000e-1
5.85000000e2, 2.99980100, 1.56963000e-1
5.87500000e2, 2.99610400, 1.55638000e-1
5.90000000e2, 2.99246800, 1.54338000e-1
5.92500000e2, 2.98888900, 1.53065000e-1
5.95000000e2, 2.98536800, 1.51816000e-1
5.97500000e2, 2.98190300, 1.50591000e-1
6.00000000e2, 2.97849300, 1.49389000e-1
6.02500000e2, 2.97513700, 1.48209000e-1
6.05000000e2, 2.97183200, 1.47052000e-1
6.07500000e2, 2.96857900, 1.45916000e-1
6.10000000e2, 2.96537600, 1.44800000e-1
6.12500000e2, 2.96222200, 1.43705000e-1
6.15000000e2, 2.95911500, 1.42629000e-1
6.17500000e2, 2.95605500, 1.41572000e-1
6.20000000e2, 2.95304200, 1.40534000e-1
6.22500000e2, 2.95007300, 1.39514000e-1
6.25000000e2, 2.94714800, 1.38511000e-1
6.27500000e2, 2.94426500, 1.37527000e-1
6.30000000e2, 2.94142500, 1.36559000e-1
6.32500000e2, 2.93862500, 1.35606000e-1
6.35000000e2, 2.93586700, 1.34669000e-1
6.37500000e2, 2.93314800, 1.33749000e-1
6.40000000e2, 2.93046700, 1.32844000e-1
6.42500000e2, 2.92782400, 1.31952000e-1
6.45000000e2, 2.92521800, 1.31075000e-1
6.47500000e2, 2.92264800, 1.30213000e-1
6.50000000e2, 2.92011400, 1.29364000e-1
6.52500000e2, 2.91761600, 1.28528000e-1
6.55000000e2, 2.91515100, 1.27705000e-1
6.57500000e2, 2.91272000, 1.26895000e-1
6.60000000e2, 2.91032200, 1.26098000e-1
6.62500000e2, 2.90795700, 1.25313000e-1
6.65000000e2, 2.90562300, 1.24540000e-1
6.67500000e2, 2.90332000, 1.23777000e-1
6.70000000e2, 2.90104700, 1.23027000e-1
6.72500000e2, 2.89880500, 1.22287000e-1
6.75000000e2, 2.89659100, 1.21558000e-1
6.77500000e2, 2.89440700, 1.20841000e-1
6.80000000e2, 2.89225100, 1.20133000e-1
6.82500000e2, 2.89012200, 1.19435000e-1
6.85000000e2, 2.88802100, 1.18748000e-1
6.87500000e2, 2.88594700, 1.18070000e-1
6.90000000e2, 2.88389800, 1.17401000e-1
6.92500000e2, 2.88187600, 1.16742000e-1
6.95000000e2, 2.87987900, 1.16092000e-1
6.97500000e2, 2.87790600, 1.15450000e-1
7.00000000e2, 2.87595800, 1.14818000e-1
7.02500000e2, 2.87403400, 1.14194000e-1
7.05000000e2, 2.87213400, 1.13579000e-1
7.07500000e2, 2.87025700, 1.12971000e-1
7.10000000e2, 2.86840200, 1.12372000e-1
7.12500000e2, 2.86656900, 1.11780000e-1
