wavelength (nm), n, k
2.50000000e2, 1.73310000, 0.00000000
2.75000000e2, 1.71630000, 0.00000000
3.00000000e2, 1.70420000, 0.00000000
3.25000000e2, 1.69510000, 0.00000000
3.50000000e2, 1.68810000, 0.00000000
3.75000000e2, 1.68250000, 0.00000000
4.00000000e2, 1.67800000, 0.00000000
4.25000000e2, 1.67430000, 0.00000000
4.50000000e2, 1.67130000, 0.00000000
4.75000000e2, 1.66870000, 0.00000000
5.00000000e2, 1.66650000, 0.00000000
5.25000000e2, 1.66460000, 0.00000000
5.50000000e2, 1.66290000, 0.00000000
5.75000000e2, 1.66140000, 0.00000000
6.00000000e2, 1.66010000, 0.00000000
6.25000000e2, 1.65900000, 0.00000000
6.50000000e2, 1.65790000, 0.00000000
6.75000000e2, 1.65700000, 0.00000000
7.00000000e2, 1.65610000, 0.00000000
7.25000000e2, 1.65530000, 0.00000000
7.50000000e2, 1.65460000, 0.00000000
7.75000000e2, 1.65390000, 0.00000000
8.00000000e2, 1.65320000, 0.00000000
8.25000000e2, 1.65260000, 0.00000000
8.50000000e2, 1.65200000, 0.00000000
8.75000000e2, 1.65150000, 0.00000000
9.00000000e2, 1.65090000, 0.00000000
