wavelength (nm), n, k
2.06641969e2, 1.83400000, 0.00000000
2.10144375e2, 1.83366400, 0.00000000
2.13767554e2, 1.83355200, 0.00000000
2.17517862e2, 1.83360800, 0.00000000
2.21402109e2, 1.83377600, 0.00000000
2.25427602e2, 1.83400000, 0.00000000
2.29602188e2, 1.83422400, 0.00000000
2.33934304e2, 1.83439200, 0.00000000
2.38433041e2, 1.83444800, 0.00000000
2.43108199e2, 1.83433600, 0.00000000
2.47970363e2, 1.83400000, 0.00000000
2.53030982e2, 1.83325600, 0.00000000
2.58302461e2, 1.83220800, 0.00000000
2.63798258e2, 1.83083200, 0.00000000
2.69533003e2, 1.82910400, 0.00000000
2.75522625e2, 1.82700000, 0.00000000
2.81784503e2, 1.82398400, 0.00000000
2.88337631e2, 1.82067200, 0.00000000
2.95202813e2, 1.81716800, 0.00000000
3.02402881e2, 1.81357600, 0.00000000
3.09962953e2, 1.81000000, 0.00000000
3.17910721e2, 1.80699200, 0.00000000
3.26276793e2, 1.80409600, 0.00000000
3.35095085e2, 1.80130400, 0.00000000
3.44403281e2, 1.79860800, 0.00000000
3.54243375e2, 1.79600000, 0.00000000
3.64662298e2, 1.79340800, 0.00000000
3.75712671e2, 1.79090400, 0.00000000
3.87453692e2, 1.78849600, 0.00000000
3.99952198e2, 1.78619200, 0.00000000
4.13283938e2, 1.78400000, 0.00000000
4.27535108e2, 1.78202400, 0.00000000
4.42804219e2, 1.78015200, 0.00000000
4.59204375e2, 1.77836800, 0.00000000
4.76866082e2, 1.77665600, 0.00000000
4.95940725e2, 1.77500000, 0.00000000
5.16604922e2, 1.77335200, 0.00000000
5.39066006e2, 1.77173600, 0.00000000
5.63569006e2, 1.77014400, 0.00000000
5.90405625e2, 1.76856800, 0.00000000
6.19925906e2, 1.76700000, 0.00000000
6.52553586e2, 1.76540000, 0.00000000
6.88806563e2, 1.76380000, 0.00000000
7.29324596e2, 1.76220000, 0.00000000
7.74907383e2, 1.76060000, 0.00000000
8.26567875e2, 1.75900000, 0.00000000
8.85608438e2, 1.75740000, 0.00000000
9.53732164e2, 1.75580000, 0.00000000
1.03320984e3, 1.75420000, 0.00000000
1.12713801e3, 1.75260000, 0.00000000
1.23985181e3, 1.75100000, 0.00000000
1.37761313e3, 1.74900000, 0.00000000
1.54981477e3, 1.74600000, 0.00000000
1.77121688e3, 1.74200000, 0.00000000
2.06641969e3, 1.73600000, 0.00000000
2.47970363e3, 1.72600000, 0.00000000
