wavelength (nm), n, k
2.21402109e2, 1.36000000, 2.75000000
2.23396723e2, 1.37062500, 2.80625000
2.25427602e2, 1.36000000, 2.89000000
2.27495745e2, 1.34937500, 2.99625100
2.29602188e2, 1.36000000, 3.12000000
2.31748002e2, 1.43000000, 3.25875100
2.33934304e2, 1.53000000, 3.40000000
2.36162250e2, 1.63625000, 3.52937500
2.38433041e2, 1.77000000, 3.65000000
2.40747925e2, 1.95999900, 3.76499900
2.43108199e2, 2.16000000, 3.86000000
2.45515210e2, 2.31687400, 3.91250000
2.47970363e2, 2.48000000, 3.95000000
2.50475114e2, 2.68500100, 4.00187500
2.53030982e2, 2.92000000, 4.04000000
2.55639549e2, 3.19750100, 4.05562400
2.58302461e2, 3.48000000, 4.02000000
2.61021434e2, 3.73875000, 3.89687600
2.63798258e2, 3.96000000, 3.70000000
2.66634798e2, 4.12249900, 3.40375100
2.69533003e2, 4.22000000, 3.09000000
2.72494904e2, 4.22500000, 2.82875100
2.75522625e2, 4.18000000, 2.63000000
2.78618385e2, 4.10937500, 2.54625000
2.81784503e2, 4.04000000, 2.52000000
2.85023405e2, 4.01000000, 2.50625000
2.88337631e2, 4.01000000, 2.52000000
2.91729838e2, 4.03562500, 2.57187500
2.95202813e2, 4.11000000, 2.63000000
2.98759473e2, 4.26812400, 2.67375000
3.02402881e2, 4.47000000, 2.68000000
3.06136250e2, 4.69062400, 2.60937500
3.09962953e2, 4.92000000, 2.49000000
3.13886535e2, 5.16062500, 2.36125000
3.17910721e2, 5.35000000, 2.15000000
3.22039432e2, 5.42187500, 1.73799900
3.26276793e2, 5.39000000, 1.30000000
3.30627150e2, 5.20937400, 9.87438000e-1
3.35095085e2, 4.99000000, 7.52000000e-1
3.39685428e2, 4.84500000, 6.12813000e-1
3.44403281e2, 4.72000000, 5.19000000e-1
3.49254032e2, 4.59437500, 4.18250000e-1
3.54243375e2, 4.48000000, 3.34000000e-1
3.59377337e2, 4.38562500, 2.77813000e-1
3.64662298e2, 4.30000000, 2.33000000e-1
3.70105019e2, 4.21625000, 1.81187000e-1
3.75712671e2, 4.13000000, 1.39000000e-1
3.81492866e2, 4.02937500, 1.21250000e-1
3.87453692e2, 3.93000000, 1.15000000e-1
3.93603750e2, 3.84504700, 1.13161000e-1
3.99952198e2, 3.77000000, 1.13000000e-1
4.06508791e2, 3.70518800, 1.10672000e-1
4.13283938e2, 3.64925000, 1.02417000e-1
4.20288750e2, 3.60125000, 8.03600000e-2
4.27535108e2, 3.56025000, 5.30000000e-2
4.35035724e2, 3.52531200, 2.34110000e-2
4.42804219e2, 3.49550000, 0.00000000
4.50855205e2, 3.46987500, 3.31200000e-3
4.59204375e2, 3.44750000, 0.00000000
4.67868609e2, 3.42743800, 0.00000000
4.76866082e2, 3.40875000, 0.00000000
4.86216397e2, 3.39050000, 0.00000000
4.95940725e2, 3.37175000, 0.00000000
5.06061964e2, 3.35156300, 0.00000000
5.16604922e2, 3.32900000, 0.00000000
5.27596516e2, 3.30132800, 0.00000000
5.39066006e2, 3.27300000, 0.00000000
5.51045250e2, 3.24812500, 0.00000000
5.63569006e2, 3.22500000, 0.00000000
5.76675262e2, 3.20337500, 0.00000000
5.90405625e2, 3.18300000, 0.00000000
6.04805762e2, 3.16343700, 0.00000000
6.19925906e2, 3.14500000, 0.00000000
6.35821443e2, 3.12800000, 0.00000000
6.52553586e2, 3.11200000, 0.00000000
6.70190169e2, 3.09656300, 0.00000000
6.88806563e2, 3.08200000, 0.00000000
7.08486750e2, 3.06862500, 0.00000000
7.29324596e2, 3.05600000, 0.00000000
7.51425341e2, 3.04375000, 0.00000000
7.74907383e2, 3.03200000, 0.00000000
7.99904395e2, 3.02075000, 0.00000000
8.26567875e2, 3.01000000, 0.00000000
8.55070216e2, 2.99968700, 0.00000000
8.85608438e2, 2.99000000, 0.00000000
9.18408750e2, 2.98125000, 0.00000000
9.53732164e2, 2.97300000, 0.00000000
9.91881450e2, 2.96481300, 0.00000000
1.03320984e3, 2.95700000, 0.00000000
1.07813201e3, 2.94981300, 0.00000000
1.12713801e3, 2.94300000, 0.00000000
1.18081125e3, 2.93631300, 0.00000000
1.23985181e3, 2.93000000, 0.00000000
1.30510717e3, 2.92431300, 0.00000000
1.37761313e3, 2.91900000, 0.00000000
1.45864919e3, 2.91381200, 0.00000000
1.54981477e3, 2.90900000, 0.00000000
1.65313575e3, 2.90481300, 0.00000000
1.77121688e3, 2.90100000, 0.00000000
1.90746433e3, 2.89737500, 0.00000000
2.06641969e3, 2.89400000, 0.00000000
2.25427602e3, 2.89087500, 0.00000000
2.47970363e3, 2.88800000, 0.00000000
