wavelength (nm), n, k
2.75829102e2, 4.42150000, 2.61150000
2.76752637e2, 4.40980000, 2.55960000
2.77682377e2, 4.39530000, 2.51170000
2.78618385e2, 4.37940000, 2.47120000
2.79560724e2, 4.35830000, 2.43950000
2.80509460e2, 4.32750000, 2.41420000
2.81464657e2, 4.29340000, 2.39210000
2.82426381e2, 4.26190000, 2.37190000
2.83394700e2, 4.23670000, 2.35380000
2.84369682e2, 4.22030000, 2.33900000
2.85351395e2, 4.20790000, 2.32850000
2.86339911e2, 4.19790000, 2.32110000
2.87335298e2, 4.19330000, 2.31440000
2.88337631e2, 4.19180000, 2.30980000
2.89346981e2, 4.18950000, 2.30890000
2.90363422e2, 4.18990000, 2.31090000
2.91387030e2, 4.19650000, 2.31500000
2.92417880e2, 4.20620000, 2.32050000
2.93456050e2, 4.21740000, 2.32680000
2.94501618e2, 4.23090000, 2.33300000
2.95554663e2, 4.24730000, 2.33940000
2.96615266e2, 4.26780000, 2.34700000
2.97683509e2, 4.29370000, 2.35520000
2.98759473e2, 4.32450000, 2.36230000
2.99843244e2, 4.35980000, 2.36620000
3.00934906e2, 4.39990000, 2.36580000
3.02034546e2, 4.44310000, 2.36180000
3.03142253e2, 4.48860000, 2.35490000
3.04258114e2, 4.53640000, 2.34430000
3.05382220e2, 4.58530000, 2.32810000
3.06514663e2, 4.63540000, 2.30560000
3.07655537e2, 4.68910000, 2.27820000
3.08804935e2, 4.74540000, 2.24650000
3.09962953e2, 4.79770000, 2.21140000
3.11129690e2, 4.84530000, 2.17240000
3.12305243e2, 4.89500000, 2.12690000
3.13489712e2, 4.94900000, 2.07520000
3.14683201e2, 5.00560000, 2.01900000
3.15885812e2, 5.06030000, 1.95920000
3.17097650e2, 5.11100000, 1.89490000
3.18318822e2, 5.15750000, 1.82190000
3.19549436e2, 5.19720000, 1.73970000
3.20789602e2, 5.22670000, 1.65350000
3.22039432e2, 5.24250000, 1.56630000
3.23299039e2, 5.24940000, 1.46960000
3.24568537e2, 5.25490000, 1.35750000
3.25848045e2, 5.25110000, 1.24690000
3.27137682e2, 5.22830000, 1.15160000
3.28437566e2, 5.18850000, 1.07110000
3.29747823e2, 5.13650000, 1.00370000
3.31068575e2, 5.07680000, 9.48260000e-1
3.32399950e2, 5.01360000, 9.03300000e-1
3.33742076e2, 4.94970000, 8.68540000e-1
3.35095085e2, 4.88650000, 8.40640000e-1
3.36459108e2, 4.83410000, 8.06070000e-1
3.37834281e2, 4.79720000, 7.60290000e-1
3.39220742e2, 4.76280000, 7.17470000e-1
3.40618630e2, 4.72670000, 6.81910000e-1
3.42028086e2, 4.69360000, 6.49080000e-1
3.43449256e2, 4.66220000, 6.19160000e-1
3.44882285e2, 4.63040000, 5.93530000e-1
3.46327322e2, 4.59880000, 5.70480000e-1
3.47784520e2, 4.56840000, 5.47120000e-1
3.49254032e2, 4.53790000, 5.25030000e-1
3.50736015e2, 4.50720000, 5.05030000e-1
3.52230629e2, 4.47760000, 4.85340000e-1
3.53738035e2, 4.44840000, 4.66500000e-1
