wavelength (nm), n, k
2.06641969e2, 1.36607500, 2.41844000
2.07333079e2, 1.36192000, 2.44042300
2.08028828e2, 1.36593800, 2.45171100
2.08729261e2, 1.36407500, 2.46467100
2.09434428e2, 1.36221300, 2.48013800
2.10144375e2, 1.36197100, 2.49276500
2.10859152e2, 1.36378700, 2.50441700
2.11578808e2, 1.36198400, 2.52408800
2.12303393e2, 1.36324800, 2.53806800
2.13032958e2, 1.36211800, 2.54951500
2.13767554e2, 1.36417500, 2.57207200
2.14507234e2, 1.36761700, 2.58869400
2.15252051e2, 1.36813300, 2.60841100
2.16002058e2, 1.37174200, 2.62492500
2.16757310e2, 1.37652900, 2.64330600
2.17517862e2, 1.37876100, 2.66603800
2.18283770e2, 1.38597000, 2.68801500
2.19055091e2, 1.39174700, 2.70942700
2.19831882e2, 1.39665500, 2.73181600
2.20614202e2, 1.40577600, 2.75684500
2.21402109e2, 1.41203300, 2.77959900
2.22195665e2, 1.42171800, 2.80355000
2.22994930e2, 1.43085500, 2.82694200
2.23799966e2, 1.44107700, 2.85215200
2.24610836e2, 1.45145800, 2.87883700
2.25427602e2, 1.46164400, 2.90330200
2.26250331e2, 1.47496800, 2.93104000
2.27079087e2, 1.48734400, 2.95593800
2.27913936e2, 1.50180600, 2.98882100
2.28754947e2, 1.51772500, 3.01505400
2.29602188e2, 1.53251300, 3.04459500
2.30455727e2, 1.55164100, 3.07322400
2.31315637e2, 1.56858600, 3.10386900
2.32181987e2, 1.58925100, 3.13442100
2.33054852e2, 1.61012500, 3.16508600
2.33934304e2, 1.63212800, 3.19917400
2.34820419e2, 1.65303300, 3.23252300
2.35713272e2, 1.67921600, 3.26581000
2.36612941e2, 1.70387300, 3.30345600
2.37519504e2, 1.73209900, 3.33743500
2.38433041e2, 1.76292300, 3.37753600
2.39353632e2, 1.79470600, 3.41527200
2.40281359e2, 1.82900400, 3.45443700
2.41216306e2, 1.86618900, 3.49465300
2.42158557e2, 1.90703700, 3.53617700
2.43108199e2, 1.95126700, 3.57907600
2.44065318e2, 2.00012900, 3.62082200
2.45030003e2, 2.05279000, 3.66346200
2.46002344e2, 2.11356000, 3.70622400
2.46982433e2, 2.17882500, 3.74823300
2.47970363e2, 2.24985100, 3.78674400
2.48966227e2, 2.32901400, 3.82203900
2.49970124e2, 2.41457500, 3.85405000
2.50982148e2, 2.50356500, 3.87775200
2.52002401e2, 2.59543400, 3.89439400
2.53030982e2, 2.68613800, 3.90383600
2.54067994e2, 2.77885100, 3.91105000
2.55113542e2, 2.87217000, 3.91478600
2.56167730e2, 2.97112700, 3.91722400
2.57230667e2, 3.07556900, 3.91276100
2.58302461e2, 3.18679900, 3.89850400
2.59383224e2, 3.30004100, 3.87134500
2.60473070e2, 3.41484400, 3.83264500
2.61572112e2, 3.52350600, 3.78039200
2.62680469e2, 3.63025900, 3.71832400
2.63798258e2, 3.73127700, 3.64508800
2.64925601e2, 3.82491800, 3.56050500
2.66062621e2, 3.90696300, 3.46565700
2.67209442e2, 3.97750000, 3.36181000
2.68366193e2, 4.03204600, 3.25443700
2.69533003e2, 4.07169600, 3.14648500
2.70710003e2, 4.09887700, 3.04002600
2.71897327e2, 4.11507600, 2.93839000
2.73095113e2, 4.12008500, 2.84211000
2.74303498e2, 4.11747400, 2.75093200
2.75522625e2, 4.10726200, 2.66789500
2.76752637e2, 4.09394400, 2.59076200
2.77993680e2, 4.07545800, 2.52140400
2.79245904e2, 4.05465600, 2.45849000
2.80509460e2, 4.03265700, 2.40182600
2.81784503e2, 4.00901200, 2.35048100
2.83071190e2, 3.98510900, 2.30384200
2.84369682e2, 3.96172200, 2.26177200
2.85680141e2, 3.93806500, 2.22428300
2.87002734e2, 3.91623000, 2.19038500
2.88337631e2, 3.89401300, 2.15906300
2.89685003e2, 3.87271900, 2.13171300
2.91045027e2, 3.85262800, 2.10644300
2.92417880e2, 3.83341400, 2.08355100
2.93803747e2, 3.81478900, 2.06356700
2.95202813e2, 3.79776900, 2.04598800
2.96615266e2, 3.78255900, 2.02917500
2.98041301e2, 3.76841400, 2.01489500
2.99481114e2, 3.75463500, 2.00183900
3.00934906e2, 3.74232100, 1.98954700
3.02402881e2, 3.73017700, 1.97955800
3.03885248e2, 3.72020200, 1.97030600
3.05382220e2, 3.71064700, 1.96276000
3.06894013e2, 3.70249000, 1.95581000
3.08420849e2, 3.69542400, 1.94965800
3.09962953e2, 3.68832900, 1.94476500
3.11520556e2, 3.68261900, 1.94078500
3.13093892e2, 3.67821900, 1.93748900
3.14683201e2, 3.67453300, 1.93510900
3.16288728e2, 3.67289600, 1.93358200
3.17910721e2, 3.67065800, 1.93298800
3.19549436e2, 3.67027400, 1.93319300
3.21205133e2, 3.67042300, 1.93436000
3.22878076e2, 3.67261500, 1.93619600
3.24568537e2, 3.67593500, 1.93836900
3.26276793e2, 3.68007300, 1.94198600
3.28003125e2, 3.68586600, 1.94562600
3.29747823e2, 3.69326700, 1.95030500
3.31511180e2, 3.70175100, 1.95599300
3.33293498e2, 3.71207600, 1.96200100
3.35095085e2, 3.72435400, 1.96937500
3.36916254e2, 3.73845700, 1.97752600
3.38757326e2, 3.75478400, 1.98632400
