wavelength (nm), n, k
3.99952198e2, 1.81245300, 0.00000000
4.06508791e2, 1.81134500, 0.00000000
4.13283938e2, 1.81009700, 0.00000000
4.20288750e2, 1.80873600, 0.00000000
4.27535108e2, 1.80728600, 0.00000000
4.35035724e2, 1.80577400, 0.00000000
4.42804219e2, 1.80422500, 0.00000000
4.50855205e2, 1.80266500, 0.00000000
4.59204375e2, 1.80112000, 0.00000000
4.67868609e2, 1.79961500, 0.00000000
4.76866082e2, 1.79817600, 0.00000000
4.86216397e2, 1.79682900, 0.00000000
4.95940725e2, 1.79559900, 0.00000000
5.06061964e2, 1.79451200, 0.00000000
5.16604922e2, 1.79359400, 0.00000000
5.27596516e2, 1.79284600, 0.00000000
5.39066006e2, 1.79236600, 0.00000000
5.51045250e2, 1.79232500, 0.00000000
5.63569006e2, 1.79249800, 0.00000000
5.76675262e2, 1.79282200, 0.00000000
5.90405625e2, 1.79297300, 0.00000000
6.04805762e2, 1.79250900, 0.00000000
6.19925906e2, 1.79171900, 0.00000000
6.35821443e2, 1.79074100, 0.00000000
6.52553586e2, 1.78958200, 0.00000000
6.70190169e2, 1.78828000, 0.00000000
6.88806563e2, 1.78687600, 0.00000000
7.08486750e2, 1.78540800, 0.00000000
7.29324596e2, 1.78391700, 0.00000000
7.51425341e2, 1.78244200, 0.00000000
7.74907383e2, 1.78102200, 0.00000000
7.99904395e2, 1.77943100, 0.00000000
8.26567875e2, 1.77850500, 0.00000000
8.55070216e2, 1.77955600, 0.00000000
8.85608438e2, 1.78093100, 0.00000000
9.18408750e2, 1.78141200, 0.00000000
9.53732164e2, 1.78099900, 0.00000000
9.91881450e2, 1.77884900, 0.00000000
1.03320984e3, 1.77628100, 0.00000000
1.07813201e3, 1.77451600, 0.00000000
1.12713801e3, 1.77301100, 0.00000000
1.18081125e3, 1.77168000, 0.00000000
1.23985181e3, 1.77037300, 0.00000000
1.30510717e3, 1.76886500, 0.00000000
1.37761313e3, 1.76729400, 0.00000000
1.45864919e3, 1.76582600, 0.00000000
1.54981477e3, 1.76415400, 0.00000000
1.65313575e3, 1.76198100, 0.00000000
1.77121688e3, 1.75944400, 0.00000000
1.90746433e3, 1.75672300, 0.00000000
2.06641969e3, 1.75339500, 0.00000000
2.25427602e3, 1.74918900, 0.00000000
2.47970363e3, 1.74383400, 0.00000000
