wavelength (nm), n, k
2.13767554e2, 1.00000000, 2.40000000
2.15626402e2, 1.00250000, 2.40750000
2.17517862e2, 1.01000000, 2.42000000
2.19442799e2, 1.02250000, 2.43750000
2.21402109e2, 1.04000000, 2.46000000
2.23396723e2, 1.06187500, 2.48875000
2.25427602e2, 1.09000000, 2.52000000
2.27495745e2, 1.12750000, 2.55312500
2.29602188e2, 1.17000000, 2.58000000
2.31748002e2, 1.21687500, 2.58937500
2.33934304e2, 1.26000000, 2.59000000
2.36162250e2, 1.29062500, 2.58500000
2.38433041e2, 1.31000000, 2.58000000
2.40747925e2, 1.31375000, 2.58125000
2.43108199e2, 1.31000000, 2.59000000
2.45515210e2, 1.30562500, 2.61062500
2.47970363e2, 1.30000000, 2.64000000
2.50475114e2, 1.29375000, 2.67562500
2.53030982e2, 1.29000000, 2.72000000
2.55639549e2, 1.29250000, 2.77562500
2.58302461e2, 1.30000000, 2.84000000
2.61021434e2, 1.31250000, 2.91187500
2.63798258e2, 1.33000000, 2.99000000
2.66634798e2, 1.35250000, 3.06999900
2.69533003e2, 1.38000000, 3.16000000
2.72494904e2, 1.40937500, 3.26625000
2.75522625e2, 1.45000000, 3.39000000
2.78618385e2, 1.50125000, 3.53625100
2.81784503e2, 1.59000000, 3.70000000
2.85023405e2, 1.74375100, 3.89500100
2.88337631e2, 1.96000000, 4.07000000
2.91729838e2, 2.26875000, 4.18187600
2.95202813e2, 2.60000000, 4.22000000
2.98759473e2, 2.89312300, 4.13750000
3.02402881e2, 3.15000000, 4.00000000
3.06136250e2, 3.34624900, 3.86062600
3.09962953e2, 3.50000000, 3.71000000
3.13886535e2, 3.62062500, 3.55187500
3.17910721e2, 3.71000000, 3.40000000
3.22039432e2, 3.76562500, 3.27250000
3.26276793e2, 3.81000000, 3.16000000
3.30627150e2, 3.87437500, 3.06000000
3.35095085e2, 3.93000000, 2.97000000
3.39685428e2, 3.95312500, 2.88562500
3.44403281e2, 3.96000000, 2.81000000
3.49254032e2, 3.95562500, 2.74312500
3.54243375e2, 3.95000000, 2.69000000
3.59377337e2, 3.94875000, 2.65437500
3.64662298e2, 3.97000000, 2.64000000
3.70105019e2, 4.03312500, 2.67562500
3.75712671e2, 4.14000000, 2.69000000
3.81492866e2, 4.33187500, 2.60500000
3.87453692e2, 4.51000000, 2.47000000
3.93603750e2, 4.56625000, 2.29062500
3.99952198e2, 4.57000000, 2.12000000
4.06508791e2, 4.54000000, 2.01750000
4.13283938e2, 4.52000000, 1.97000000
4.20288750e2, 4.54875000, 2.03562500
4.27535108e2, 4.66000000, 2.06000000
4.35035724e2, 4.98562600, 1.86687400
4.42804219e2, 5.27000000, 1.58000000
4.50855205e2, 5.23000000, 1.23812500
4.59204375e2, 5.08000000, 9.20000000e-1
4.67868609e2, 4.94562500, 7.44375000e-1
4.76866082e2, 4.81000000, 6.30000000e-1
4.86216397e2, 4.70375000, 5.35000000e-1
4.95940725e2, 4.61000000, 4.60000000e-1
5.06061964e2, 4.52062500, 3.90000000e-1
5.16604922e2, 4.44000000, 3.30000000e-1
5.27596516e2, 4.37125000, 2.91250000e-1
5.39066006e2, 4.31000000, 2.40000000e-1
5.51045250e2, 4.25874900, 1.19625000e-1
5.63569006e2, 4.20000000, 1.00000000e-2
5.76675262e2, 4.10477500, -6.25000000e-3
5.90405625e2, 4.01000000, 6.00000000e-3
6.04805762e2, 3.95050600, 4.81300000e-3
6.19925906e2, 3.90360000, 4.00000000e-3
6.35821443e2, 3.85730000, 3.43800000e-3
6.52553586e2, 3.81430000, 3.00000000e-3
6.70190169e2, 3.77320000, 2.50000000e-3
6.88806563e2, 3.73430000, 2.00000000e-3
7.08486750e2, 3.69745600, 1.48100000e-3
7.29324596e2, 3.66260000, 1.00000000e-3
7.51425341e2, 3.62965000, 5.94000000e-4
7.74907383e2, 3.59850000, 3.00000000e-4
7.99904395e2, 3.56903700, 2.13000000e-4
8.26567875e2, 3.54120000, 2.00000000e-4
8.55070216e2, 3.51490600, 1.50000000e-4
8.85608438e2, 3.49010000, 1.00000000e-4
9.18408750e2, 3.46672500, 4.40000000e-5
9.53732164e2, 3.44470000, 0.00000000
9.91881450e2, 3.42394400, 6.00000000e-6
1.03320984e3, 3.40440000, 0.00000000
1.07813201e3, 3.38599400, 0.00000000
1.12713801e3, 3.36870000, 0.00000000
1.18081125e3, 3.35248100, 0.00000000
1.23985181e3, 3.33730000, 0.00000000
1.30510717e3, 3.32313100, 0.00000000
1.37761313e3, 3.30990000, 0.00000000
1.45864919e3, 3.29752500, 0.00000000
1.54981477e3, 3.28600000, 0.00000000
1.65313575e3, 3.27531200, 0.00000000
1.77121688e3, 3.26540000, 0.00000000
1.90746433e3, 3.25620000, 0.00000000
2.06641969e3, 3.24770000, 0.00000000
2.25427602e3, 3.23987500, 0.00000000
2.47970363e3, 3.23270000, 0.00000000
