wavelength (nm), n, k
2.50000000e2, 1.69016000e-1, 2.14244500
2.55000000e2, 1.78619000e-1, 2.19537900
2.60000000e2, 1.88004000e-1, 2.24820200
2.65000000e2, 1.96991000e-1, 2.30082400
2.70000000e2, 2.05466000e-1, 2.35318600
2.75000000e2, 2.13396000e-1, 2.40527000
2.80000000e2, 2.20824000e-1, 2.45709000
2.85000000e2, 2.27853000e-1, 2.50868200
2.90000000e2, 2.34620000e-1, 2.56008700
2.95000000e2, 2.41270000e-1, 2.61134600
3.00000000e2, 2.47937000e-1, 2.66248800
3.05000000e2, 2.54727000e-1, 2.71352600
3.10000000e2, 2.61713000e-1, 2.76446400
3.15000000e2, 2.68934000e-1, 2.81529600
3.20000000e2, 2.76397000e-1, 2.86601400
3.25000000e2, 2.84087000e-1, 2.91660900
3.30000000e2, 2.91973000e-1, 2.96707900
3.35000000e2, 3.00017000e-1, 3.01743300
3.40000000e2, 3.08181000e-1, 3.06768800
3.45000000e2, 3.16434000e-1, 3.11786800
3.50000000e2, 3.24751000e-1, 3.16799300
3.55000000e2, 3.33121000e-1, 3.21807400
3.60000000e2, 3.41545000e-1, 3.26810200
3.65000000e2, 3.50039000e-1, 3.31804500
3.70000000e2, 3.58636000e-1, 3.36785000
3.75000000e2, 3.67377000e-1, 3.41745300
3.80000000e2, 3.76308000e-1, 3.46678700
3.85000000e2, 3.85471000e-1, 3.51580400
3.90000000e2, 3.94889000e-1, 3.56447800
3.95000000e2, 4.04561000e-1, 3.61281400
4.00000000e2, 4.14459000e-1, 3.66083900
4.05000000e2, 4.24532000e-1, 3.70859700
4.10000000e2, 4.34725000e-1, 3.75613100
4.15000000e2, 4.44987000e-1, 3.80347900
4.20000000e2, 4.55294000e-1, 3.85065900
4.25000000e2, 4.65649000e-1, 3.89767800
4.30000000e2, 4.76085000e-1, 3.94452800
4.35000000e2, 4.86651000e-1, 3.99119300
4.40000000e2, 4.97395000e-1, 4.03765300
4.45000000e2, 5.08352000e-1, 4.08388900
4.50000000e2, 5.19529000e-1, 4.12988700
4.55000000e2, 5.30912000e-1, 4.17564000
4.60000000e2, 5.42464000e-1, 4.22116100
4.65000000e2, 5.54148000e-1, 4.26648900
4.70000000e2, 5.65934000e-1, 4.31168100
4.75000000e2, 5.77811000e-1, 4.35682200
4.80000000e2, 5.89791000e-1, 4.40200600
4.85000000e2, 6.01901000e-1, 4.44732900
4.90000000e2, 6.14172000e-1, 4.49287400
4.95000000e2, 6.26630000e-1, 4.53870000
5.00000000e2, 6.39287000e-1, 4.58483100
5.05000000e2, 6.52142000e-1, 4.63126000
5.10000000e2, 6.65182000e-1, 4.67794400
5.15000000e2, 6.78398000e-1, 4.72481100
5.20000000e2, 6.91787000e-1, 4.77177000
5.25000000e2, 7.05354000e-1, 4.81872400
5.30000000e2, 7.19115000e-1, 4.86558000
5.35000000e2, 7.33084000e-1, 4.91225900
5.40000000e2, 7.47270000e-1, 4.95870200
5.45000000e2, 7.61672000e-1, 5.00486500
5.50000000e2, 7.76278000e-1, 5.05071600
5.55000000e2, 7.91067000e-1, 5.09622600
5.60000000e2, 8.06022000e-1, 5.14136500
5.65000000e2, 8.21136000e-1, 5.18610200
5.70000000e2, 8.36418000e-1, 5.23041000
5.75000000e2, 8.51906000e-1, 5.27427400
5.80000000e2, 8.67659000e-1, 5.31770000
5.85000000e2, 8.83758000e-1, 5.36071800
5.90000000e2, 9.00293000e-1, 5.40338400
5.95000000e2, 9.17349000e-1, 5.44577000
6.00000000e2, 9.34992000e-1, 5.48795500
6.05000000e2, 9.53251000e-1, 5.53000200
6.10000000e2, 9.72117000e-1, 5.57194400
6.15000000e2, 9.91538000e-1, 5.61377100
6.20000000e2, 1.01143000, 5.65542200
6.25000000e2, 1.03169200, 5.69679500
6.30000000e2, 1.05222100, 5.73775900
6.35000000e2, 1.07294200, 5.77818300
6.40000000e2, 1.09381400, 5.81796600
6.45000000e2, 1.11484600, 5.85705600
6.50000000e2, 1.13609200, 5.89546000
6.55000000e2, 1.15763500, 5.93324000
6.60000000e2, 1.17957100, 5.97049000
6.65000000e2, 1.20198900, 6.00730500
6.70000000e2, 1.22495600, 6.04375300
6.75000000e2, 1.24851600, 6.07985900
6.80000000e2, 1.27269000, 6.11559700
6.85000000e2, 1.29748900, 6.15090700
6.90000000e2, 1.32292200, 6.18570100
6.95000000e2, 1.34900200, 6.21989400
7.00000000e2, 1.37575000, 6.25340300
7.05000000e2, 1.40319200, 6.28615000
7.10000000e2, 1.43135900, 6.31805000
7.15000000e2, 1.46028200, 6.34899800
7.20000000e2, 1.48999100, 6.37885100
7.25000000e2, 1.52050500, 6.40742600
7.30000000e2, 1.55181700, 6.43450200
7.35000000e2, 1.58388100, 6.45982900
7.40000000e2, 1.61659200, 6.48314900
7.45000000e2, 1.64978400, 6.50421000
7.50000000e2, 1.68323300, 6.52280000
7.55000000e2, 1.71667900, 6.53876100
7.60000000e2, 1.74985200, 6.55201000
7.65000000e2, 1.78250300, 6.56255800
7.70000000e2, 1.81443600, 6.57051800
7.75000000e2, 1.84552400, 6.57610100
7.80000000e2, 1.87572100, 6.57960500
7.85000000e2, 1.90507100, 6.58139600
7.90000000e2, 1.93369700, 6.58188000
7.95000000e2, 1.96179600, 6.58148800
8.00000000e2, 1.98961700, 6.58065900
