wavelength (nm), n, k
2.50000000e2, 1.99391000e-1, 2.14723200
2.55000000e2, 2.07117000e-1, 2.20159900
2.60000000e2, 2.14793000e-1, 2.25579000
2.65000000e2, 2.22379000e-1, 2.30965200
2.70000000e2, 2.29853000e-1, 2.36307500
2.75000000e2, 2.37213000e-1, 2.41599300
2.80000000e2, 2.44478000e-1, 2.46839200
2.85000000e2, 2.51680000e-1, 2.52029700
2.90000000e2, 2.58859000e-1, 2.57175400
2.95000000e2, 2.66059000e-1, 2.62282000
3.00000000e2, 2.73323000e-1, 2.67354400
3.05000000e2, 2.80690000e-1, 2.72396200
3.10000000e2, 2.88198000e-1, 2.77409600
3.15000000e2, 2.95881000e-1, 2.82395700
3.20000000e2, 3.03767000e-1, 2.87355000
3.25000000e2, 3.11881000e-1, 2.92288600
3.30000000e2, 3.20241000e-1, 2.97198600
3.35000000e2, 3.28853000e-1, 3.02088200
3.40000000e2, 3.37714000e-1, 3.06961800
3.45000000e2, 3.46806000e-1, 3.11824100
3.50000000e2, 3.56098000e-1, 3.16679400
3.55000000e2, 3.65552000e-1, 3.21530700
3.60000000e2, 3.75124000e-1, 3.26379500
3.65000000e2, 3.84779000e-1, 3.31225300
3.70000000e2, 3.94495000e-1, 3.36066200
3.75000000e2, 4.04273000e-1, 3.40899000
3.80000000e2, 4.14136000e-1, 3.45719700
3.85000000e2, 4.24126000e-1, 3.50524900
3.90000000e2, 4.34297000e-1, 3.55311300
3.95000000e2, 4.44694000e-1, 3.60077400
4.00000000e2, 4.55344000e-1, 3.64822900
4.05000000e2, 4.66246000e-1, 3.69548700
4.10000000e2, 4.77371000e-1, 3.74256700
4.15000000e2, 4.88663000e-1, 3.78948700
4.20000000e2, 5.00063000e-1, 3.83625800
4.25000000e2, 5.11510000e-1, 3.88287700
4.30000000e2, 5.22967000e-1, 3.92932400
4.35000000e2, 5.34416000e-1, 3.97556700
4.40000000e2, 5.45865000e-1, 4.02156300
4.45000000e2, 5.57341000e-1, 4.06727200
4.50000000e2, 5.68880000e-1, 4.11266700
4.55000000e2, 5.80520000e-1, 4.15773800
4.60000000e2, 5.92296000e-1, 4.20250400
4.65000000e2, 6.04236000e-1, 4.24701400
4.70000000e2, 6.16357000e-1, 4.29134500
4.75000000e2, 6.28663000e-1, 4.33559900
4.80000000e2, 6.41146000e-1, 4.37988800
4.85000000e2, 6.53781000e-1, 4.42432000
4.90000000e2, 6.66531000e-1, 4.46898600
4.95000000e2, 6.79358000e-1, 4.51394300
5.00000000e2, 6.92228000e-1, 4.55920600
5.05000000e2, 7.05124000e-1, 4.60474300
5.10000000e2, 7.18057000e-1, 4.65047000
5.15000000e2, 7.31066000e-1, 4.69627000
5.20000000e2, 7.44218000e-1, 4.74199600
5.25000000e2, 7.57590000e-1, 4.78750100
5.30000000e2, 7.71263000e-1, 4.83265700
5.35000000e2, 7.85297000e-1, 4.87737600
5.40000000e2, 7.99732000e-1, 4.92161700
5.45000000e2, 8.14579000e-1, 4.96539400
5.50000000e2, 8.29825000e-1, 5.00876200
5.55000000e2, 8.45443000e-1, 5.05179700
5.60000000e2, 8.61401000e-1, 5.09457800
5.65000000e2, 8.77663000e-1, 5.13716700
5.70000000e2, 8.94195000e-1, 5.17959200
5.75000000e2, 9.10959000e-1, 5.22184500
5.80000000e2, 9.27918000e-1, 5.26388400
5.85000000e2, 9.45035000e-1, 5.30564100
5.90000000e2, 9.62282000e-1, 5.34703200
5.95000000e2, 9.79646000e-1, 5.38798500
6.00000000e2, 9.97137000e-1, 5.42845100
6.05000000e2, 1.01478900, 5.46842600
6.10000000e2, 1.03265700, 5.50795100
6.15000000e2, 1.05080400, 5.54710600
6.20000000e2, 1.06929800, 5.58598500
6.25000000e2, 1.08819300, 5.62467600
6.30000000e2, 1.10752700, 5.66323300
6.35000000e2, 1.12731900, 5.70166300
6.40000000e2, 1.14756600, 5.73993100
6.45000000e2, 1.16825500, 5.77796700
6.50000000e2, 1.18935800, 5.81569300
6.55000000e2, 1.21084700, 5.85302500
6.60000000e2, 1.23269900, 5.88988500
6.65000000e2, 1.25490200, 5.92620200
6.70000000e2, 1.27745900, 5.96190300
6.75000000e2, 1.30039000, 5.99691200
6.80000000e2, 1.32372700, 6.03115500
6.85000000e2, 1.34751000, 6.06457500
6.90000000e2, 1.37177400, 6.09713700
6.95000000e2, 1.39654200, 6.12884100
7.00000000e2, 1.42181900, 6.15971200
7.05000000e2, 1.44758800, 6.18978100
7.10000000e2, 1.47381600, 6.21906100
7.15000000e2, 1.50046000, 6.24751800
7.20000000e2, 1.52747100, 6.27505200
7.25000000e2, 1.55480400, 6.30150100
7.30000000e2, 1.58241800, 6.32664700
7.35000000e2, 1.61026600, 6.35024200
7.40000000e2, 1.63829300, 6.37203200
7.45000000e2, 1.66642500, 6.39178300
7.50000000e2, 1.69456700, 6.40929600
7.55000000e2, 1.72261200, 6.42442100
7.60000000e2, 1.75045000, 6.43707100
7.65000000e2, 1.77799200, 6.44723300
7.70000000e2, 1.80518000, 6.45496900
7.75000000e2, 1.83199900, 6.46043000
7.80000000e2, 1.85847300, 6.46385300
7.85000000e2, 1.88465700, 6.46555100
7.90000000e2, 1.91062300, 6.46590000
7.95000000e2, 1.93644700, 6.46532600
8.00000000e2, 1.96220000, 6.46428200
