wavelength (nm), n, k
2.50000000e2, 1.65027300, 0.00000000
2.56500000e2, 1.62512600, 0.00000000
2.63000000e2, 1.60578100, 0.00000000
2.69500000e2, 1.59122900, 0.00000000
2.76000000e2, 1.58064100, 0.00000000
2.82500000e2, 1.57333300, 0.00000000
2.89000000e2, 1.56873800, 0.00000000
2.95500000e2, 1.56638600, 0.00000000
3.02000000e2, 1.56588600, 0.00000000
3.08500000e2, 1.56691200, 0.00000000
3.15000000e2, 1.56919000, 0.00000000
3.21500000e2, 1.57249300, 0.00000000
3.28000000e2, 1.57663100, 0.00000000
3.34500000e2, 1.58144200, 0.00000000
3.41000000e2, 1.58679200, 0.00000000
3.47500000e2, 1.59256800, 0.00000000
3.54000000e2, 1.59867500, 0.00000000
3.60500000e2, 1.60503300, 0.00000000
3.67000000e2, 1.61157600, 0.00000000
3.73500000e2, 1.61824600, 0.00000000
3.80000000e2, 1.62499700, 0.00000000
3.86500000e2, 1.63178900, 0.00000000
3.93000000e2, 1.63858900, 0.00000000
3.99500000e2, 1.64537000, 0.00000000
4.06000000e2, 1.65210800, 0.00000000
4.12500000e2, 1.65878600, 0.00000000
4.19000000e2, 1.66538700, 0.00000000
4.25500000e2, 1.67189900, 0.00000000
4.32000000e2, 1.67831200, 0.00000000
4.38500000e2, 1.68461800, 0.00000000
4.45000000e2, 1.69081100, 0.00000000
4.51500000e2, 1.69688500, 0.00000000
4.58000000e2, 1.70283800, 0.00000000
4.64500000e2, 1.70866700, 0.00000000
4.71000000e2, 1.71437000, 0.00000000
4.77500000e2, 1.71994700, 0.00000000
4.84000000e2, 1.72539800, 0.00000000
4.90500000e2, 1.73072200, 0.00000000
4.97000000e2, 1.73592100, 0.00000000
5.03500000e2, 1.74099600, 0.00000000
5.10000000e2, 1.74594900, 0.00000000
5.16500000e2, 1.75078100, 0.00000000
5.23000000e2, 1.75549500, 0.00000000
5.29500000e2, 1.76009200, 0.00000000
5.36000000e2, 1.76457500, 0.00000000
5.42500000e2, 1.76894700, 0.00000000
5.49000000e2, 1.77320900, 0.00000000
5.55500000e2, 1.77736400, 0.00000000
5.62000000e2, 1.78141500, 0.00000000
5.68500000e2, 1.78536500, 0.00000000
5.75000000e2, 1.78921500, 0.00000000
5.81500000e2, 1.79296900, 0.00000000
5.88000000e2, 1.79662800, 0.00000000
5.94500000e2, 1.80019700, 0.00000000
6.01000000e2, 1.80367600, 0.00000000
6.07500000e2, 1.80706800, 0.00000000
6.14000000e2, 1.81037600, 0.00000000
6.20500000e2, 1.81360200, 0.00000000
6.27000000e2, 1.81674900, 0.00000000
6.33500000e2, 1.81981800, 0.00000000
6.40000000e2, 1.82281200, 0.00000000
6.46500000e2, 1.82573300, 0.00000000
6.53000000e2, 1.82858300, 0.00000000
6.59500000e2, 1.83136300, 0.00000000
6.66000000e2, 1.83407700, 0.00000000
6.72500000e2, 1.83672600, 0.00000000
6.79000000e2, 1.83931100, 0.00000000
6.85500000e2, 1.84183500, 0.00000000
6.92000000e2, 1.84430000, 0.00000000
6.98500000e2, 1.84670600, 0.00000000
7.05000000e2, 1.84905600, 0.00000000
7.11500000e2, 1.85135200, 0.00000000
7.18000000e2, 1.85359400, 0.00000000
7.24500000e2, 1.85578400, 0.00000000
7.31000000e2, 1.85792500, 0.00000000
7.37500000e2, 1.86001600, 0.00000000
7.44000000e2, 1.86206100, 0.00000000
7.50500000e2, 1.86405800, 0.00000000
7.57000000e2, 1.86601200, 0.00000000
7.63500000e2, 1.86792200, 0.00000000
7.70000000e2, 1.86978900, 0.00000000
7.76500000e2, 1.87161500, 0.00000000
7.83000000e2, 1.87340200, 0.00000000
7.89500000e2, 1.87514900, 0.00000000
7.96000000e2, 1.87685800, 0.00000000
8.02500000e2, 1.87853100, 0.00000000
8.09000000e2, 1.88016800, 0.00000000
8.15500000e2, 1.88177000, 0.00000000
8.22000000e2, 1.88333800, 0.00000000
8.28500000e2, 1.88487300, 0.00000000
8.35000000e2, 1.88637600, 0.00000000
8.41500000e2, 1.88784700, 0.00000000
8.48000000e2, 1.88928800, 0.00000000
8.54500000e2, 1.89070000, 0.00000000
8.61000000e2, 1.89208200, 0.00000000
8.67500000e2, 1.89343700, 0.00000000
8.74000000e2, 1.89476400, 0.00000000
8.80500000e2, 1.89606400, 0.00000000
8.87000000e2, 1.89733900, 0.00000000
8.93500000e2, 1.89858800, 0.00000000
9.00000000e2, 1.89981200, 0.00000000
