wavelength (nm), n, k
2.40000000e2, 1.68440000, 3.33120000
2.42000000e2, 1.73170000, 3.35700000
2.44000000e2, 1.78010000, 3.37770000
2.46000000e2, 1.83180000, 3.40670000
2.48000000e2, 1.87740000, 3.42190000
2.50000000e2, 1.92360000, 3.44580000
2.52000000e2, 1.97170000, 3.47210000
2.54000000e2, 2.01000000, 3.49650000
2.56000000e2, 2.06100000, 3.52250000
2.58000000e2, 2.10720000, 3.53820000
2.60000000e2, 2.16310000, 3.55970000
2.62000000e2, 2.20990000, 3.58310000
2.64000000e2, 2.25710000, 3.59910000
2.66000000e2, 2.30940000, 3.61910000
2.68000000e2, 2.36270000, 3.63280000
2.70000000e2, 2.41480000, 3.65110000
2.72000000e2, 2.46360000, 3.66000000
2.74000000e2, 2.51630000, 3.67550000
2.76000000e2, 2.57230000, 3.68990000
2.78000000e2, 2.63130000, 3.70610000
2.80000000e2, 2.68160000, 3.71210000
2.82000000e2, 2.73910000, 3.72200000
2.84000000e2, 2.79930000, 3.73030000
2.86000000e2, 2.85290000, 3.73640000
2.88000000e2, 2.91300000, 3.73870000
2.90000000e2, 2.96840000, 3.74390000
2.92000000e2, 3.02690000, 3.74740000
2.94000000e2, 3.08260000, 3.74600000
2.96000000e2, 3.14190000, 3.74660000
2.98000000e2, 3.20320000, 3.74440000
3.00000000e2, 3.26140000, 3.73850000
3.02000000e2, 3.32368100, 3.73328800
3.04000000e2, 3.38310000, 3.72650000
3.06000000e2, 3.44091900, 3.71806200
3.08000000e2, 3.49840000, 3.70790000
3.10000000e2, 3.55817500, 3.69581900
3.12000000e2, 3.61740000, 3.68210000
3.14000000e2, 3.67342500, 3.66689300
3.16000000e2, 3.72830000, 3.65040000
3.18000000e2, 3.78320600, 3.63324400
3.20000000e2, 3.83810000, 3.61430000
3.22000000e2, 3.89345000, 3.59215600
3.24000000e2, 3.94890000, 3.56830000
3.26000000e2, 4.00530600, 3.54383100
3.28000000e2, 4.05950000, 3.51850000
3.30000000e2, 4.10636900, 3.49286200
3.32000000e2, 4.15260000, 3.46560000
3.34000000e2, 4.20565000, 3.43550000
3.36000000e2, 4.25810000, 3.40280000
3.38000000e2, 4.30354400, 3.36600000
3.40000000e2, 4.34640000, 3.32910000
3.42000000e2, 4.38909300, 3.29720000
3.44000000e2, 4.43120000, 3.26550000
3.46000000e2, 4.47343100, 3.23016900
3.48000000e2, 4.51480000, 3.19340000
3.50000000e2, 4.55450000, 3.15630600
3.52000000e2, 4.59270000, 3.11830000
3.54000000e2, 4.62933100, 3.07888700
3.56000000e2, 4.66430000, 3.03890000
3.58000000e2, 4.69734300, 2.99936200
3.60000000e2, 4.72890000, 2.95920000
3.62000000e2, 4.75954300, 2.91710700
3.64000000e2, 4.78860000, 2.87480000
3.66000000e2, 4.81519400, 2.83415000
3.68000000e2, 4.84050000, 2.79340000
3.70000000e2, 4.86582500, 2.75076200
3.72000000e2, 4.88990000, 2.70820000
3.74000000e2, 4.91163800, 2.66750000
3.76000000e2, 4.93180000, 2.62740000
3.78000000e2, 4.95060000, 2.58738700
3.80000000e2, 4.96860000, 2.54700000
3.82000000e2, 4.98696900, 2.50501900
3.84000000e2, 5.00410000, 2.46320000
3.86000000e2, 5.01811800, 2.42345600
3.88000000e2, 5.03100000, 2.38410000
3.90000000e2, 5.04462500, 2.34344400
3.92000000e2, 5.05740000, 2.30340000
3.94000000e2, 5.06799400, 2.26598700
3.96000000e2, 5.07750000, 2.22920000
3.98000000e2, 5.08692500, 2.19104400
4.00000000e2, 5.09520000, 2.15350000
4.02000000e2, 5.10127500, 2.11831900
4.04000000e2, 5.10610000, 2.08420000
4.06000000e2, 5.10995000, 2.05058100
4.08000000e2, 5.11380000, 2.01700000
4.10000000e2, 5.11908700, 1.98246900
4.12000000e2, 5.12470000, 1.94800000
4.14000000e2, 5.13046300, 1.91446200
4.16000000e2, 5.13500000, 1.88130000
4.18000000e2, 5.13723800, 1.84831200
4.20000000e2, 5.13610000, 1.81530000
