wavelength (nm), n, k
1.87856335e2, 9.95000000e-1, 1.13000000
1.89290353e2, 1.00425000, 1.14937500
1.90746433e2, 1.01200000, 1.16000000
1.92225087e2, 1.01950000, 1.16812500
1.93726846e2, 1.02800000, 1.18000000
1.95252254e2, 1.03750000, 1.19437500
1.96801875e2, 1.04800000, 1.21000000
1.98376290e2, 1.05962500, 1.22562500
1.99976099e2, 1.07200000, 1.24000000
2.01601921e2, 1.08481200, 1.25125000
2.03254396e2, 1.09800000, 1.26000000
2.04934184e2, 1.11162500, 1.26562500
2.06641969e2, 1.12500000, 1.27000000
2.08378456e2, 1.13718800, 1.27500000
2.10144375e2, 1.14900000, 1.28000000
2.11940481e2, 1.16143800, 1.28531200
2.13767554e2, 1.17300000, 1.29000000
2.15626402e2, 1.18187500, 1.29281300
2.17517862e2, 1.19000000, 1.29500000
2.19442799e2, 1.19912500, 1.29750000
2.21402109e2, 1.20800000, 1.30000000
2.23396723e2, 1.21568800, 1.30250000
2.25427602e2, 1.22300000, 1.30500000
2.27495745e2, 1.23068800, 1.30718700
2.29602188e2, 1.23800000, 1.31000000
2.31748002e2, 1.24400000, 1.31468700
2.33934304e2, 1.25000000, 1.32000000
2.36162250e2, 1.25718800, 1.32500000
2.38433041e2, 1.26500000, 1.33000000
2.40747925e2, 1.27343700, 1.33500000
2.43108199e2, 1.28200000, 1.34000000
2.45515210e2, 1.28968700, 1.34562500
2.47970363e2, 1.29800000, 1.35000000
2.50475114e2, 1.30856300, 1.35062500
2.53030982e2, 1.32000000, 1.35000000
2.55639549e2, 1.33106300, 1.35000000
2.58302461e2, 1.34300000, 1.35000000
2.61021434e2, 1.35693800, 1.35125000
2.63798258e2, 1.37200000, 1.35000000
2.66634798e2, 1.38750000, 1.34125000
2.69533003e2, 1.40400000, 1.33000000
2.72494904e2, 1.42231200, 1.32187500
2.75522625e2, 1.44100000, 1.31000000
2.78618385e2, 1.45918800, 1.28812500
2.81784503e2, 1.47600000, 1.26000000
2.85023405e2, 1.49012500, 1.22875000
2.88337631e2, 1.50200000, 1.19000000
2.91729838e2, 1.51356300, 1.14300000
2.95202813e2, 1.51900000, 1.08000000
2.98759473e2, 1.51937500, 9.88813000e-1
3.02402881e2, 1.49600000, 8.82000000e-1
3.06136250e2, 1.43250000, 7.61063000e-1
3.09962953e2, 1.32300000, 6.47000000e-1
3.13886535e2, 1.14206200, 5.50875000e-1
3.17910721e2, 9.32000000e-1, 5.04000000e-1
3.22039432e2, 7.19062000e-1, 5.54375000e-1
3.26276793e2, 5.26000000e-1, 6.63000000e-1
3.30627150e2, 3.88125000e-1, 8.18563000e-1
3.35095085e2, 2.94000000e-1, 9.86000000e-1
3.39685428e2, 2.53313000e-1, 1.12068700
3.44403281e2, 2.38000000e-1, 1.24000000
3.49254032e2, 2.21438000e-1, 1.34525000
3.54243375e2, 2.09000000e-1, 1.44000000
3.59377337e2, 1.94813000e-1, 1.53375000
3.64662298e2, 1.86000000e-1, 1.61000000
3.70105019e2, 1.92063000e-1, 1.64187500
3.75712671e2, 2.00000000e-1, 1.67000000
3.81492866e2, 1.98063000e-1, 1.73500000
3.87453692e2, 1.92000000e-1, 1.81000000
3.93603750e2, 1.82000000e-1, 1.87875000
3.99952198e2, 1.73000000e-1, 1.95000000
4.06508791e2, 1.72625000e-1, 2.02937500
4.13283938e2, 1.73000000e-1, 2.11000000
4.20288750e2, 1.66688000e-1, 2.18625000
4.27535108e2, 1.60000000e-1, 2.26000000
4.35035724e2, 1.58500000e-1, 2.32937500
4.42804219e2, 1.57000000e-1, 2.40000000
4.50855205e2, 1.51063000e-1, 2.47875000
4.59204375e2, 1.44000000e-1, 2.56000000
4.67868609e2, 1.37313000e-1, 2.64000000
4.76866082e2, 1.32000000e-1, 2.72000000
4.86216397e2, 1.30250000e-1, 2.79812500
4.95940725e2, 1.30000000e-1, 2.88000000
5.06061964e2, 1.29938000e-1, 2.97375000
5.16604922e2, 1.30000000e-1, 3.07000000
5.27596516e2, 1.30063000e-1, 3.15937500
5.39066006e2, 1.29000000e-1, 3.25000000
5.51045250e2, 1.24375000e-1, 3.34812500
5.63569006e2, 1.20000000e-1, 3.45000000
5.76675262e2, 1.19313000e-1, 3.55375000
5.90405625e2, 1.21000000e-1, 3.66000000
6.04805762e2, 1.25500000e-1, 3.76625000
6.19925906e2, 1.31000000e-1, 3.88000000
6.35821443e2, 1.36125000e-1, 4.01062500
6.52553586e2, 1.40000000e-1, 4.15000000
6.70190169e2, 1.40063000e-1, 4.29312500
6.88806563e2, 1.40000000e-1, 4.44000000
7.08486750e2, 1.44313000e-1, 4.58625000
7.29324596e2, 1.48000000e-1, 4.74000000
7.51425341e2, 1.45875000e-1, 4.90812500
7.74907383e2, 1.43000000e-1, 5.09000000
7.99904395e2, 1.42563000e-1, 5.28875000
8.26567875e2, 1.45000000e-1, 5.50000000
8.55070216e2, 1.51938000e-1, 5.72062400
8.85608438e2, 1.63000000e-1, 5.95000000
9.18408750e2, 1.79875000e-1, 6.18312500
9.53732164e2, 1.98000000e-1, 6.43000000
9.91881450e2, 2.12625000e-1, 6.69750000
1.03320984e3, 2.26000000e-1, 6.99000000
1.07813201e3, 2.35375000e-1, 7.31375000
1.12713801e3, 2.51000000e-1, 7.67000000
1.18081125e3, 2.87375000e-1, 8.06062500
1.23985181e3, 3.29000000e-1, 8.49000000
1.30510717e3, 3.60000000e-1, 8.95375000
1.37761313e3, 3.96000000e-1, 9.48000000
1.45864919e3, 4.38563000e-1, 1.01143700e1
1.54981477e3, 5.14000000e-1, 1.08000000e1
1.65313575e3, 6.72625000e-1, 1.14450000e1
1.77121688e3, 8.44000000e-1, 1.22000000e1
1.90746433e3, 9.87875000e-1, 1.31550000e1
2.06641969e3, 1.06400000, 1.44000000e1
