wavelength (nm), n, k
1.83681750e2, 1.02000000e-1, 2.07000000
1.85052509e2, 1.04385000e-1, 2.08500200
1.86443882e2, 1.06203000e-1, 2.10334400
1.87856335e2, 1.07628000e-1, 2.12418400
1.89290353e2, 1.08835000e-1, 2.14668300
1.90746433e2, 1.10000000e-1, 2.17000000
1.92225087e2, 1.11298000e-1, 2.19329500
1.93726846e2, 1.12904000e-1, 2.21572700
1.95252254e2, 1.14761000e-1, 2.23751100
1.96801875e2, 1.16812000e-1, 2.25886300
1.98376290e2, 1.19000000e-1, 2.28000000
1.99976099e2, 1.21268000e-1, 2.30113600
2.01601921e2, 1.23559000e-1, 2.32248900
2.03254396e2, 1.25816000e-1, 2.34427300
2.04934184e2, 1.27982000e-1, 2.36670500
2.06641969e2, 1.30000000e-1, 2.39000000
2.08378456e2, 1.31813000e-1, 2.41437500
2.10144375e2, 1.34000000e-1, 2.44000000
2.11940481e2, 1.36438000e-1, 2.46562500
2.13767554e2, 1.39000000e-1, 2.49000000
2.15626402e2, 1.41500000e-1, 2.50937500
2.17517862e2, 1.44000000e-1, 2.53000000
2.19442799e2, 1.46438000e-1, 2.55937500
2.21402109e2, 1.49000000e-1, 2.59000000
2.23396723e2, 1.51875000e-1, 2.61500000
2.25427602e2, 1.55000000e-1, 2.64000000
2.27495745e2, 1.58500000e-1, 2.66937500
2.29602188e2, 1.62000000e-1, 2.70000000
2.31748002e2, 1.64938000e-1, 2.73000000
2.33934304e2, 1.68000000e-1, 2.76000000
2.36162250e2, 1.71938000e-1, 2.79000000
2.38433041e2, 1.76000000e-1, 2.82000000
2.40747925e2, 1.79563000e-1, 2.85000000
2.43108199e2, 1.83000000e-1, 2.88000000
2.45515210e2, 1.86500000e-1, 2.90937500
2.47970363e2, 1.90000000e-1, 2.94000000
2.50475114e2, 1.93438000e-1, 2.97500000
2.53030982e2, 1.97000000e-1, 3.01000000
2.55639549e2, 2.00938000e-1, 3.03937500
2.58302461e2, 2.05000000e-1, 3.07000000
2.61021434e2, 2.08875000e-1, 3.10937500
2.63798258e2, 2.13000000e-1, 3.15000000
2.66634798e2, 2.17875000e-1, 3.18500000
2.69533003e2, 2.23000000e-1, 3.22000000
2.72494904e2, 2.27938000e-1, 3.25937500
2.75522625e2, 2.33000000e-1, 3.30000000
2.78618385e2, 2.38438000e-1, 3.33937500
2.81784503e2, 2.44000000e-1, 3.38000000
2.85023405e2, 2.49438000e-1, 3.42500000
2.88337631e2, 2.55000000e-1, 3.47000000
2.91729838e2, 2.60875000e-1, 3.51000000
2.95202813e2, 2.67000000e-1, 3.55000000
2.98759473e2, 2.73375000e-1, 3.59375000
3.02402881e2, 2.80000000e-1, 3.64000000
3.06136250e2, 2.86813000e-1, 3.68937500
3.09962953e2, 2.94000000e-1, 3.74000000
3.13886535e2, 3.01875000e-1, 3.78937500
3.17910721e2, 3.10000000e-1, 3.84000000
3.22039432e2, 3.17875000e-1, 3.89437500
3.26276793e2, 3.26000000e-1, 3.95000000
3.30627150e2, 3.34750000e-1, 4.00500000
3.35095085e2, 3.44000000e-1, 4.06000000
3.39685428e2, 3.53813000e-1, 4.11375000
3.44403281e2, 3.64000000e-1, 4.17000000
3.49254032e2, 3.74375000e-1, 4.23375000
3.54243375e2, 3.85000000e-1, 4.30000000
3.59377337e2, 3.95750000e-1, 4.36500000
3.64662298e2, 4.07000000e-1, 4.43000000
3.70105019e2, 4.19125000e-1, 4.49375000
3.75712671e2, 4.32000000e-1, 4.56000000
3.81492866e2, 4.45688000e-1, 4.63375000
3.87453692e2, 4.60000000e-1, 4.71000000
3.93603750e2, 4.74688000e-1, 4.78437500
3.99952198e2, 4.90000000e-1, 4.86000000
4.06508791e2, 5.06188000e-1, 4.93812500
4.13283938e2, 5.23000000e-1, 5.02000000
4.20288750e2, 5.40063000e-1, 5.10875000
4.27535108e2, 5.58000000e-1, 5.20000000
4.35035724e2, 5.77313000e-1, 5.29000000
4.42804219e2, 5.98000000e-1, 5.38000000
4.50855205e2, 6.20313000e-1, 5.48000000
4.59204375e2, 6.44000000e-1, 5.58000000
4.67868609e2, 6.68625000e-1, 5.69000000
4.76866082e2, 6.95000000e-1, 5.80000000
4.86216397e2, 7.23750000e-1, 5.91500000
4.95940725e2, 7.55000000e-1, 6.03000000
5.06061964e2, 7.89000000e-1, 6.15000000
5.16604922e2, 8.26000000e-1, 6.28000000
5.27596516e2, 8.67000000e-1, 6.42000000
5.39066006e2, 9.12000000e-1, 6.55000000
5.51045250e2, 9.63000000e-1, 6.70000000
5.63569006e2, 1.02000000, 6.85000000
5.76675262e2, 1.08000000, 7.00000000
5.90405625e2, 1.15000000, 7.15000000
6.04805762e2, 1.22000000, 7.31000000
6.19925906e2, 1.30000000, 7.48000000
6.35821443e2, 1.39000000, 7.65000000
6.52553586e2, 1.49000000, 7.82000000
6.70190169e2, 1.60000000, 8.01000000
6.88806563e2, 1.74000000, 8.21000000
7.08486750e2, 1.91000000, 8.39000000
7.29324596e2, 2.14000000, 8.57000000
7.51425341e2, 2.41000000, 8.62000000
7.74907383e2, 2.63000000, 8.60000000
7.99904395e2, 2.80000000, 8.45000000
8.26567875e2, 2.74000000, 8.31000000
8.55070216e2, 2.58000000, 8.21000000
8.85608438e2, 2.24000000, 8.21000000
9.18408750e2, 1.86000000, 8.44000000
9.53732164e2, 1.47000000, 8.95000000
9.91881450e2, 1.37000000, 9.49000000
1.03320984e3, 1.26000000, 1.00000000e1
1.07813201e3, 1.21000000, 1.06000000e1
1.12713801e3, 1.20000000, 1.12000000e1
1.18081125e3, 1.21000000, 1.18000000e1
1.23985181e3, 1.21000000, 1.25000000e1
1.30510717e3, 1.23000000, 1.32000000e1
1.37761313e3, 1.26000000, 1.40000000e1
1.45864919e3, 1.33000000, 1.49000000e1
1.54981477e3, 1.44000000, 1.60000000e1
1.65313575e3, 1.59000000, 1.71000000e1
1.77121688e3, 1.77000000, 1.83000000e1
1.90746433e3, 1.99000000, 1.98000000e1
2.06641969e3, 2.27000000, 2.14000000e1
2.25427602e3, 2.62000000, 2.33000000e1
2.47970363e3, 3.07000000, 2.56000000e1
