wavelength (nm), n, k
2.50000000e2, 1.56487000e-1, 2.29557400
2.55000000e2, 1.63833000e-1, 2.31396800
2.60000000e2, 1.69489000e-1, 2.35977700
2.65000000e2, 1.73898000e-1, 2.42138700
2.70000000e2, 1.77503000e-1, 2.48718500
2.75000000e2, 1.80418000e-1, 2.53701500
2.80000000e2, 1.84080000e-1, 2.58488800
2.85000000e2, 1.90636000e-1, 2.63992100
2.90000000e2, 1.98064000e-1, 2.69664000
2.95000000e2, 2.05186000e-1, 2.75249800
3.00000000e2, 2.11614000e-1, 2.80783700
3.05000000e2, 2.15789000e-1, 2.86191600
3.10000000e2, 2.20042000e-1, 2.91543300
3.15000000e2, 2.26470000e-1, 2.96844800
3.20000000e2, 2.34219000e-1, 3.02213000
3.25000000e2, 2.44185000e-1, 3.07848800
3.30000000e2, 2.53210000e-1, 3.13505600
3.35000000e2, 2.56589000e-1, 3.18967800
3.40000000e2, 2.59859000e-1, 3.24343200
3.45000000e2, 2.68986000e-1, 3.29639700
3.50000000e2, 2.77974000e-1, 3.34941500
3.55000000e2, 2.80220000e-1, 3.40401400
3.60000000e2, 2.83517000e-1, 3.45821600
3.65000000e2, 2.96547000e-1, 3.50949500
3.70000000e2, 3.10043000e-1, 3.56102700
3.75000000e2, 3.15274000e-1, 3.61613100
3.80000000e2, 3.19313000e-1, 3.67185400
3.85000000e2, 3.26216000e-1, 3.72607200
3.90000000e2, 3.36304000e-1, 3.77962000
3.95000000e2, 3.54278000e-1, 3.83213000
4.00000000e2, 3.71052000e-1, 3.88509300
4.05000000e2, 3.76196000e-1, 3.93956500
4.10000000e2, 3.78449000e-1, 3.99648000
4.15000000e2, 3.82388000e-1, 4.05974800
4.20000000e2, 3.90067000e-1, 4.12149800
4.25000000e2, 4.08473000e-1, 4.17135600
4.30000000e2, 4.27392000e-1, 4.22075300
4.35000000e2, 4.35067000e-1, 4.28113300
4.40000000e2, 4.43120000e-1, 4.34209300
4.45000000e2, 4.63485000e-1, 4.39620500
4.50000000e2, 4.83467000e-1, 4.44599600
4.55000000e2, 4.90653000e-1, 4.48814600
4.60000000e2, 4.96135000e-1, 4.53277200
4.65000000e2, 5.08856000e-1, 4.59416800
4.70000000e2, 5.22849000e-1, 4.65648700
4.75000000e2, 5.34813000e-1, 4.70455200
4.80000000e2, 5.45698000e-1, 4.75065700
4.85000000e2, 5.53639000e-1, 4.80367700
4.90000000e2, 5.63789000e-1, 4.85869600
4.95000000e2, 5.83779000e-1, 4.91323700
5.00000000e2, 6.04313000e-1, 4.96886500
5.05000000e2, 6.16020000e-1, 5.02870000
5.10000000e2, 6.26753000e-1, 5.08559900
5.15000000e2, 6.43463000e-1, 5.13012300
5.20000000e2, 6.59483000e-1, 5.17227000
5.25000000e2, 6.68710000e-1, 5.22168600
5.30000000e2, 6.76407000e-1, 5.26999200
5.35000000e2, 6.85166000e-1, 5.30988600
5.40000000e2, 6.96897000e-1, 5.34778000
5.45000000e2, 7.15984000e-1, 5.38709400
5.50000000e2, 7.37600000e-1, 5.42951900
5.55000000e2, 7.58894000e-1, 5.48013100
5.60000000e2, 7.78321000e-1, 5.53220100
5.65000000e2, 7.91122000e-1, 5.57850100
5.70000000e2, 8.04088000e-1, 5.62560500
5.75000000e2, 8.24633000e-1, 5.67832900
5.80000000e2, 8.46129000e-1, 5.73472200
5.85000000e2, 8.63396000e-1, 5.79694700
5.90000000e2, 8.79501000e-1, 5.85749200
5.95000000e2, 8.96496000e-1, 5.90868800
6.00000000e2, 9.12249000e-1, 5.95317000
6.05000000e2, 9.22501000e-1, 5.98923700
6.10000000e2, 9.35688000e-1, 6.02224000
6.15000000e2, 9.61408000e-1, 6.05536700
6.20000000e2, 9.91916000e-1, 6.09339700
6.25000000e2, 1.02419000, 6.14797300
6.30000000e2, 1.05365600, 6.20169200
6.35000000e2, 1.07078800, 6.23526800
6.40000000e2, 1.08742200, 6.26599700
6.45000000e2, 1.11647700, 6.30786300
6.50000000e2, 1.14517200, 6.35151600
6.55000000e2, 1.16215700, 6.39130300
6.60000000e2, 1.17605300, 6.43011200
6.65000000e2, 1.18932100, 6.46917100
6.70000000e2, 1.20909500, 6.50781000
6.75000000e2, 1.24871300, 6.54573700
6.80000000e2, 1.29201700, 6.58303800
6.85000000e2, 1.32510300, 6.61964900
6.90000000e2, 1.35455400, 6.65572000
6.95000000e2, 1.38223600, 6.69084500
7.00000000e2, 1.40840400, 6.72662600
7.05000000e2, 1.43258500, 6.76671600
7.10000000e2, 1.45882200, 6.80456100
7.15000000e2, 1.49213900, 6.83351000
7.20000000e2, 1.52911100, 6.85750000
7.25000000e2, 1.56909600, 6.87625100
7.30000000e2, 1.60877100, 6.89576700
7.35000000e2, 1.64277500, 6.92472500
7.40000000e2, 1.67658500, 6.95482000
7.45000000e2, 1.71428500, 6.98002900
7.50000000e2, 1.75469000, 7.00218600
7.55000000e2, 1.80132900, 7.02161800
7.60000000e2, 1.84414300, 7.03681800
7.65000000e2, 1.86835400, 7.04540700
7.70000000e2, 1.89164700, 7.05032100
7.75000000e2, 1.93104500, 7.05432500
7.80000000e2, 1.97376000, 7.05555700
7.85000000e2, 2.01179300, 7.05322700
7.90000000e2, 2.04779600, 7.04687500
7.95000000e2, 2.08299700, 7.03573400
8.00000000e2, 2.11367300, 7.01993000
8.05000000e2, 2.13635700, 6.99683200
8.10000000e2, 2.15151000, 6.97394000
8.15000000e2, 2.15792200, 6.96367500
8.20000000e2, 2.15714700, 6.94863900
8.25000000e2, 2.15129600, 6.90970200
8.30000000e2, 2.13749300, 6.86447000
8.35000000e2, 2.11209800, 6.82681300
8.40000000e2, 2.07950800, 6.78880700
8.45000000e2, 2.04494000, 6.74109100
8.50000000e2, 2.00229300, 6.70183800
8.55000000e2, 1.94275100, 6.69356600
8.60000000e2, 1.87968400, 6.69387400
8.65000000e2, 1.82532000, 6.68040800
8.70000000e2, 1.77427100, 6.67553700
8.75000000e2, 1.72527500, 6.70920100
8.80000000e2, 1.67818800, 6.73633100
8.85000000e2, 1.64153800, 6.71265200
8.90000000e2, 1.58805200, 6.66572300
8.95000000e2, 1.49940700, 6.60514600
9.00000000e2, 1.35728100, 6.54052200
