wavelength (nm), n, k
2.06641969e2, 1.42200000, 1.30600000
2.08378456e2, 1.42737500, 1.31925000
2.10144375e2, 1.43000000, 1.33400000
2.11940481e2, 1.43112500, 1.34925000
2.13767554e2, 1.43200000, 1.36400000
2.15626402e2, 1.43487500, 1.37600000
2.17517862e2, 1.43800000, 1.38800000
2.19442799e2, 1.43975000, 1.40300000
2.21402109e2, 1.44200000, 1.41800000
2.23396723e2, 1.44712500, 1.42962500
2.25427602e2, 1.45200000, 1.44200000
2.27495745e2, 1.45312500, 1.45950000
2.29602188e2, 1.45400000, 1.47800000
2.31748002e2, 1.45762500, 1.49375000
2.33934304e2, 1.46200000, 1.51000000
2.36162250e2, 1.46600000, 1.52950000
2.38433041e2, 1.47000000, 1.55000000
2.40747925e2, 1.47412500, 1.56962500
2.43108199e2, 1.47800000, 1.59000000
2.45515210e2, 1.48112500, 1.61162500
2.47970363e2, 1.48400000, 1.63600000
2.50475114e2, 1.48650000, 1.66675000
2.53030982e2, 1.49000000, 1.69800000
2.55639549e2, 1.49475000, 1.72462500
2.58302461e2, 1.50400000, 1.74800000
2.61021434e2, 1.52262500, 1.76675000
2.63798258e2, 1.54600000, 1.78400000
2.66634798e2, 1.57150000, 1.80337500
2.69533003e2, 1.59800000, 1.82200000
2.72494904e2, 1.62362500, 1.83750000
2.75522625e2, 1.64800000, 1.85200000
2.78618385e2, 1.66887500, 1.86775000
2.81784503e2, 1.69000000, 1.88200000
2.85023405e2, 1.71650000, 1.89175000
2.88337631e2, 1.74200000, 1.90000000
2.91729838e2, 1.76000000, 1.91000000
2.95202813e2, 1.77600000, 1.91800000
2.98759473e2, 1.79500000, 1.92037500
3.02402881e2, 1.81200000, 1.92000000
3.06136250e2, 1.82262500, 1.91887500
3.09962953e2, 1.83000000, 1.91600000
3.13886535e2, 1.83712500, 1.91137500
3.17910721e2, 1.84000000, 1.90400000
3.22039432e2, 1.83425000, 1.89137500
3.26276793e2, 1.82400000, 1.87800000
3.30627150e2, 1.81200000, 1.86825000
3.35095085e2, 1.79800000, 1.86000000
3.39685428e2, 1.78200000, 1.85175000
3.44403281e2, 1.76600000, 1.84600000
3.49254032e2, 1.75250000, 1.84525000
3.54243375e2, 1.74000000, 1.84800000
3.59377337e2, 1.72762500, 1.85237500
3.64662298e2, 1.71600000, 1.86200000
3.70105019e2, 1.70587500, 1.88300000
3.75712671e2, 1.69600000, 1.90600000
3.81492866e2, 1.68475000, 1.92250000
3.87453692e2, 1.67400000, 1.93600000
3.93603750e2, 1.66600000, 1.94775000
3.99952198e2, 1.65800000, 1.95600000
4.06508791e2, 1.64725000, 1.95937500
4.13283938e2, 1.63600000, 1.95800000
4.20288750e2, 1.62800000, 1.95137500
4.27535108e2, 1.61600000, 1.94000000
4.35035724e2, 1.59625000, 1.92450000
4.42804219e2, 1.56200000, 1.90400000
4.50855205e2, 1.50212500, 1.87587500
4.59204375e2, 1.42600000, 1.84600000
4.67868609e2, 1.34587500, 1.81462500
4.76866082e2, 1.24200000, 1.79600000
4.86216397e2, 1.08675000, 1.79737500
4.95940725e2, 9.16000000e-1, 1.84000000
5.06061964e2, 7.54500000e-1, 1.95650000
5.16604922e2, 6.08000000e-1, 2.12000000
5.27596516e2, 4.91750000e-1, 2.32625000
5.39066006e2, 4.02000000e-1, 2.54000000
5.51045250e2, 3.45500000e-1, 2.73062500
5.63569006e2, 3.06000000e-1, 2.88000000
5.76675262e2, 2.67625000e-1, 2.94062500
5.90405625e2, 2.36000000e-1, 2.97000000
6.04805762e2, 2.12375000e-1, 3.01500000
6.19925906e2, 1.94000000e-1, 3.06000000
6.35821443e2, 1.77750000e-1, 3.07000000
6.52553586e2, 1.66000000e-1, 3.15000000
6.70190169e2, 1.61000000e-1, 3.44581200
6.88806563e2, 1.60000000e-1, 3.80000000
7.08486750e2, 1.60875000e-1, 4.08768700
7.29324596e2, 1.64000000e-1, 4.35700000
7.51425341e2, 1.69500000e-1, 4.61018800
7.74907383e2, 1.76000000e-1, 4.86000000
7.99904395e2, 1.81375000e-1, 5.12581300
8.26567875e2, 1.88000000e-1, 5.39000000
8.55070216e2, 1.98125000e-1, 5.63125000
8.85608438e2, 2.10000000e-1, 5.88000000
9.18408750e2, 2.22125000e-1, 6.16812500
9.53732164e2, 2.36000000e-1, 6.47000000
9.91881450e2, 2.53125000e-1, 6.75312500
1.03320984e3, 2.72000000e-1, 7.07000000
1.07813201e3, 2.90500000e-1, 7.48500100
1.12713801e3, 3.12000000e-1, 7.93000000
1.18081125e3, 3.39375000e-1, 8.40375000
1.23985181e3, 3.72000000e-1, 8.77000000
1.30510717e3, 4.10188000e-1, 8.75750100
1.37761313e3, 4.54000000e-1, 8.77000000
1.45864919e3, 5.03063000e-1, 9.20312500
1.54981477e3, 5.59000000e-1, 9.81000000
1.65313575e3, 6.21563000e-1, 1.04575000e1
1.77121688e3, 6.96000000e-1, 1.12000000e1
1.90746433e3, 7.85250000e-1, 1.20306300e1
2.06641969e3, 8.96000000e-1, 1.30000000e1
2.25427602e3, 1.03400000, 1.41443800e1
2.47970363e3, 1.20500000, 1.55000000e1
