wavelength (nm), n, k
2.00000000e2, 1.56353000, 0.00000000
2.10000000e2, 1.55283900, 0.00000000
2.20000000e2, 1.54390800, 0.00000000
2.30000000e2, 1.53635600, 0.00000000
2.40000000e2, 1.52990600, 0.00000000
2.50000000e2, 1.52434600, 0.00000000
2.60000000e2, 1.51951600, 0.00000000
2.70000000e2, 1.51528900, 0.00000000
2.80000000e2, 1.51156700, 0.00000000
2.90000000e2, 1.50827000, 0.00000000
3.00000000e2, 1.50533400, 0.00000000
3.10000000e2, 1.50270900, 0.00000000
3.20000000e2, 1.50035000, 0.00000000
3.30000000e2, 1.49822100, 0.00000000
3.40000000e2, 1.49629500, 0.00000000
3.50000000e2, 1.49454400, 0.00000000
3.60000000e2, 1.49294800, 0.00000000
3.70000000e2, 1.49149000, 0.00000000
3.80000000e2, 1.49015300, 0.00000000
3.90000000e2, 1.48892400, 0.00000000
4.00000000e2, 1.48779200, 0.00000000
4.10000000e2, 1.48674600, 0.00000000
4.20000000e2, 1.48577800, 0.00000000
4.30000000e2, 1.48488100, 0.00000000
4.40000000e2, 1.48404700, 0.00000000
4.50000000e2, 1.48327100, 0.00000000
4.60000000e2, 1.48254700, 0.00000000
4.70000000e2, 1.48187100, 0.00000000
4.80000000e2, 1.48123900, 0.00000000
4.90000000e2, 1.48064600, 0.00000000
5.00000000e2, 1.48009000, 0.00000000
5.10000000e2, 1.47956800, 0.00000000
5.20000000e2, 1.47907600, 0.00000000
5.30000000e2, 1.47861300, 0.00000000
5.40000000e2, 1.47817700, 0.00000000
5.50000000e2, 1.47776400, 0.00000000
5.60000000e2, 1.47737400, 0.00000000
5.70000000e2, 1.47700600, 0.00000000
5.80000000e2, 1.47665600, 0.00000000
5.90000000e2, 1.47632500, 0.00000000
6.00000000e2, 1.47601100, 0.00000000
6.10000000e2, 1.47571200, 0.00000000
6.20000000e2, 1.47542800, 0.00000000
6.30000000e2, 1.47515800, 0.00000000
6.40000000e2, 1.47490000, 0.00000000
6.50000000e2, 1.47465500, 0.00000000
6.60000000e2, 1.47442100, 0.00000000
6.70000000e2, 1.47419800, 0.00000000
6.80000000e2, 1.47398400, 0.00000000
6.90000000e2, 1.47378100, 0.00000000
7.00000000e2, 1.47358500, 0.00000000
7.10000000e2, 1.47339900, 0.00000000
7.20000000e2, 1.47322000, 0.00000000
7.30000000e2, 1.47304800, 0.00000000
7.40000000e2, 1.47288400, 0.00000000
7.50000000e2, 1.47272600, 0.00000000
7.60000000e2, 1.47257400, 0.00000000
7.70000000e2, 1.47242900, 0.00000000
7.80000000e2, 1.47228900, 0.00000000
7.90000000e2, 1.47215400, 0.00000000
8.00000000e2, 1.47202500, 0.00000000
8.10000000e2, 1.47190000, 0.00000000
8.20000000e2, 1.47178000, 0.00000000
8.30000000e2, 1.47166400, 0.00000000
8.40000000e2, 1.47155300, 0.00000000
8.50000000e2, 1.47144500, 0.00000000
8.60000000e2, 1.47134200, 0.00000000
8.70000000e2, 1.47124100, 0.00000000
8.80000000e2, 1.47114500, 0.00000000
8.90000000e2, 1.47105100, 0.00000000
9.00000000e2, 1.47096100, 0.00000000
9.10000000e2, 1.47087400, 0.00000000
9.20000000e2, 1.47078900, 0.00000000
9.30000000e2, 1.47070800, 0.00000000
9.40000000e2, 1.47062800, 0.00000000
9.50000000e2, 1.47055200, 0.00000000
9.60000000e2, 1.47047800, 0.00000000
9.70000000e2, 1.47040600, 0.00000000
9.80000000e2, 1.47033600, 0.00000000
9.90000000e2, 1.47026900, 0.00000000
1.00000000e3, 1.47020300, 0.00000000
1.01000000e3, 1.47014000, 0.00000000
1.02000000e3, 1.47007800, 0.00000000
1.03000000e3, 1.47001800, 0.00000000
1.04000000e3, 1.46996000, 0.00000000
1.05000000e3, 1.46990300, 0.00000000
1.06000000e3, 1.46984900, 0.00000000
1.07000000e3, 1.46979500, 0.00000000
1.08000000e3, 1.46974300, 0.00000000
1.09000000e3, 1.46969300, 0.00000000
1.10000000e3, 1.46964400, 0.00000000
1.11000000e3, 1.46959600, 0.00000000
1.12000000e3, 1.46955000, 0.00000000
1.13000000e3, 1.46950500, 0.00000000
1.14000000e3, 1.46946100, 0.00000000
1.15000000e3, 1.46941800, 0.00000000
1.16000000e3, 1.46937600, 0.00000000
1.17000000e3, 1.46933500, 0.00000000
1.18000000e3, 1.46929600, 0.00000000
1.19000000e3, 1.46925700, 0.00000000
1.20000000e3, 1.46922000, 0.00000000
1.21000000e3, 1.46918300, 0.00000000
1.22000000e3, 1.46914700, 0.00000000
1.23000000e3, 1.46911200, 0.00000000
1.24000000e3, 1.46907800, 0.00000000
1.25000000e3, 1.46904500, 0.00000000
1.26000000e3, 1.46901200, 0.00000000
1.27000000e3, 1.46898100, 0.00000000
1.28000000e3, 1.46895000, 0.00000000
1.29000000e3, 1.46891900, 0.00000000
1.30000000e3, 1.46889000, 0.00000000
1.31000000e3, 1.46886100, 0.00000000
1.32000000e3, 1.46883300, 0.00000000
1.33000000e3, 1.46880500, 0.00000000
1.34000000e3, 1.46877800, 0.00000000
1.35000000e3, 1.46875200, 0.00000000
1.36000000e3, 1.46872600, 0.00000000
1.37000000e3, 1.46870100, 0.00000000
1.38000000e3, 1.46867600, 0.00000000
1.39000000e3, 1.46865200, 0.00000000
1.40000000e3, 1.46862900, 0.00000000
1.41000000e3, 1.46860600, 0.00000000
1.42000000e3, 1.46858300, 0.00000000
1.43000000e3, 1.46856100, 0.00000000
1.44000000e3, 1.46853900, 0.00000000
1.45000000e3, 1.46851800, 0.00000000
1.46000000e3, 1.46849700, 0.00000000
1.47000000e3, 1.46847700, 0.00000000
1.48000000e3, 1.46845700, 0.00000000
1.49000000e3, 1.46843700, 0.00000000
1.50000000e3, 1.46841800, 0.00000000
1.51000000e3, 1.46839900, 0.00000000
1.52000000e3, 1.46838100, 0.00000000
1.53000000e3, 1.46836300, 0.00000000
1.54000000e3, 1.46834500, 0.00000000
1.55000000e3, 1.46832800, 0.00000000
1.56000000e3, 1.46831100, 0.00000000
1.57000000e3, 1.46829400, 0.00000000
1.58000000e3, 1.46827800, 0.00000000
1.59000000e3, 1.46826200, 0.00000000
1.60000000e3, 1.46824600, 0.00000000
1.61000000e3, 1.46823000, 0.00000000
1.62000000e3, 1.46821500, 0.00000000
1.63000000e3, 1.46820000, 0.00000000
1.64000000e3, 1.46818600, 0.00000000
1.65000000e3, 1.46817100, 0.00000000
1.66000000e3, 1.46815700, 0.00000000
1.67000000e3, 1.46814300, 0.00000000
1.68000000e3, 1.46813000, 0.00000000
1.69000000e3, 1.46811600, 0.00000000
1.70000000e3, 1.46810300, 0.00000000
1.71000000e3, 1.46809000, 0.00000000
1.72000000e3, 1.46807800, 0.00000000
1.73000000e3, 1.46806500, 0.00000000
1.74000000e3, 1.46805300, 0.00000000
1.75000000e3, 1.46804100, 0.00000000
1.76000000e3, 1.46802900, 0.00000000
1.77000000e3, 1.46801700, 0.00000000
1.78000000e3, 1.46800600, 0.00000000
1.79000000e3, 1.46799500, 0.00000000
1.80000000e3, 1.46798400, 0.00000000
1.81000000e3, 1.46797300, 0.00000000
1.82000000e3, 1.46796200, 0.00000000
1.83000000e3, 1.46795200, 0.00000000
1.84000000e3, 1.46794100, 0.00000000
1.85000000e3, 1.46793100, 0.00000000
1.86000000e3, 1.46792100, 0.00000000
1.87000000e3, 1.46791100, 0.00000000
1.88000000e3, 1.46790200, 0.00000000
1.89000000e3, 1.46789200, 0.00000000
1.90000000e3, 1.46788300, 0.00000000
1.91000000e3, 1.46787300, 0.00000000
1.92000000e3, 1.46786500, 0.00000000
1.93000000e3, 1.46785500, 0.00000000
1.94000000e3, 1.46784700, 0.00000000
1.95000000e3, 1.46783800, 0.00000000
1.96000000e3, 1.46782900, 0.00000000
1.97000000e3, 1.46782100, 0.00000000
1.98000000e3, 1.46781300, 0.00000000
1.99000000e3, 1.46780500, 0.00000000
2.00000000e3, 1.46779700, 0.00000000
