wavelength (nm), n, k
1.90746433e2, 1.68543000, 0.00000000
1.93726846e2, 1.67459300, 0.00000000
1.96801875e2, 1.66450100, 0.00000000
1.99976099e2, 1.65509200, 0.00000000
2.03254396e2, 1.64632200, 0.00000000
2.06641969e2, 1.63816100, 0.00000000
2.10144375e2, 1.63056200, 0.00000000
2.13767554e2, 1.62348600, 0.00000000
2.17517862e2, 1.61689200, 0.00000000
2.21402109e2, 1.61073900, 0.00000000
2.25427602e2, 1.60499100, 0.00000000
2.29602188e2, 1.59961100, 0.00000000
2.33934304e2, 1.59456800, 0.00000000
2.38433041e2, 1.58983400, 0.00000000
2.43108199e2, 1.58538100, 0.00000000
2.47970363e2, 1.58118500, 0.00000000
2.53030982e2, 1.57722500, 0.00000000
2.58302461e2, 1.57348100, 0.00000000
2.63798258e2, 1.56993400, 0.00000000
2.69533003e2, 1.56657000, 0.00000000
2.75522625e2, 1.56337200, 0.00000000
2.81784503e2, 1.56032800, 0.00000000
2.88337631e2, 1.55742600, 0.00000000
2.95202813e2, 1.55465700, 0.00000000
3.02402881e2, 1.55201000, 0.00000000
3.09962953e2, 1.54947700, 0.00000000
3.17910721e2, 1.54705200, 0.00000000
3.26276793e2, 1.54472700, 0.00000000
3.35095085e2, 1.54249700, 0.00000000
3.44403281e2, 1.54035600, 0.00000000
3.54243375e2, 1.53830100, 0.00000000
3.64662298e2, 1.53632700, 0.00000000
3.75712671e2, 1.53442900, 0.00000000
3.87453692e2, 1.53260600, 0.00000000
3.99952198e2, 1.53085400, 0.00000000
4.13283938e2, 1.52917000, 0.00000000
4.27535108e2, 1.52755200, 0.00000000
4.42804219e2, 1.52599700, 0.00000000
4.59204375e2, 1.52450300, 0.00000000
4.76866082e2, 1.52306700, 0.00000000
4.95940725e2, 1.52168800, 0.00000000
5.16604922e2, 1.52036300, 0.00000000
5.39066006e2, 1.51908800, 0.00000000
5.63569006e2, 1.51786200, 0.00000000
5.90405625e2, 1.51668200, 0.00000000
6.19925906e2, 1.51554200, 0.00000000
6.52553586e2, 1.51444000, 0.00000000
6.88806563e2, 1.51336900, 0.00000000
7.29324596e2, 1.51232300, 0.00000000
7.74907383e2, 1.51129400, 0.00000000
8.26567875e2, 1.51027000, 0.00000000
8.85608438e2, 1.50923600, 0.00000000
9.53732164e2, 1.50817300, 0.00000000
1.03320984e3, 1.50705100, 0.00000000
1.12713801e3, 1.50582700, 0.00000000
1.23985181e3, 1.50443700, 0.00000000
