wavelength (nm), n, k
1.90746433e2, 1.50379500, 0.00000000
1.93726846e2, 1.50081900, 0.00000000
1.96801875e2, 1.49795400, 0.00000000
1.99976099e2, 1.49517800, 0.00000000
2.03254396e2, 1.49249100, 0.00000000
2.06641969e2, 1.48989100, 0.00000000
2.10144375e2, 1.48737500, 0.00000000
2.13767554e2, 1.48494000, 0.00000000
2.17517862e2, 1.48258300, 0.00000000
2.21402109e2, 1.48030100, 0.00000000
2.25427602e2, 1.47809100, 0.00000000
2.29602188e2, 1.47595100, 0.00000000
2.33934304e2, 1.47387800, 0.00000000
2.38433041e2, 1.47187100, 0.00000000
2.43108199e2, 1.46992700, 0.00000000
2.47970363e2, 1.46804400, 0.00000000
2.53030982e2, 1.46622000, 0.00000000
2.58302461e2, 1.46445400, 0.00000000
2.63798258e2, 1.46274400, 0.00000000
2.69533003e2, 1.46108800, 0.00000000
2.75522625e2, 1.45948400, 0.00000000
2.81784503e2, 1.45793200, 0.00000000
2.88337631e2, 1.45643000, 0.00000000
2.95202813e2, 1.45497600, 0.00000000
3.02402881e2, 1.45356900, 0.00000000
3.09962953e2, 1.45220800, 0.00000000
3.17910721e2, 1.45089200, 0.00000000
3.26276793e2, 1.44962000, 0.00000000
3.35095085e2, 1.44839100, 0.00000000
3.44403281e2, 1.44720300, 0.00000000
3.54243375e2, 1.44605600, 0.00000000
3.64662298e2, 1.44494900, 0.00000000
3.75712671e2, 1.44388100, 0.00000000
3.87453692e2, 1.44285000, 0.00000000
3.99952198e2, 1.44185700, 0.00000000
4.13283938e2, 1.44090000, 0.00000000
4.27535108e2, 1.43997900, 0.00000000
4.42804219e2, 1.43909200, 0.00000000
4.59204375e2, 1.43823900, 0.00000000
4.76866082e2, 1.43741900, 0.00000000
4.95940725e2, 1.43663200, 0.00000000
5.16604922e2, 1.43587500, 0.00000000
5.39066006e2, 1.43514900, 0.00000000
5.63569006e2, 1.43445200, 0.00000000
5.90405625e2, 1.43378200, 0.00000000
6.19925906e2, 1.43314000, 0.00000000
6.52553586e2, 1.43252300, 0.00000000
6.88806563e2, 1.43192900, 0.00000000
7.29324596e2, 1.43135600, 0.00000000
7.74907383e2, 1.43080200, 0.00000000
8.26567875e2, 1.43026200, 0.00000000
8.85608438e2, 1.42973100, 0.00000000
9.53732164e2, 1.42920300, 0.00000000
1.03320984e3, 1.42866800, 0.00000000
1.12713801e3, 1.42811100, 0.00000000
1.23985181e3, 1.42751200, 0.00000000
