wavelength (nm), n, k
3.00000000e2, 2.04101200, 4.80021000e-1
3.10000000e2, 2.04805100, 4.53087000e-1
3.20000000e2, 2.05486200, 4.26234000e-1
3.30000000e2, 2.06126500, 3.99551000e-1
3.40000000e2, 2.06708100, 3.73128000e-1
3.50000000e2, 2.07210600, 3.47051000e-1
3.60000000e2, 2.07622800, 3.21418000e-1
3.70000000e2, 2.07928300, 2.96324000e-1
3.80000000e2, 2.08122200, 2.71872000e-1
3.90000000e2, 2.08193500, 2.48164000e-1
4.00000000e2, 2.08143700, 2.25296000e-1
4.10000000e2, 2.07968200, 2.03372000e-1
4.20000000e2, 2.07674000, 1.82474000e-1
4.30000000e2, 2.07262800, 1.62699000e-1
4.40000000e2, 2.06745400, 1.44099000e-1
4.50000000e2, 2.06128900, 1.26754000e-1
4.60000000e2, 2.05426200, 1.10683000e-1
4.70000000e2, 2.04648200, 9.59360000e-2
4.80000000e2, 2.03808300, 8.24940000e-2
4.90000000e2, 2.02919300, 7.03730000e-2
5.00000000e2, 2.01993500, 5.95190000e-2
5.10000000e2, 2.01043900, 4.99120000e-2
5.20000000e2, 2.00080900, 4.14730000e-2
5.30000000e2, 1.99116500, 3.41470000e-2
5.40000000e2, 1.98158500, 2.78430000e-2
5.50000000e2, 1.97216900, 2.24820000e-2
5.60000000e2, 1.96297000, 1.79680000e-2
5.70000000e2, 1.95406300, 1.42100000e-2
5.80000000e2, 1.94547700, 1.11190000e-2
5.90000000e2, 1.93726400, 8.60200000e-3
6.00000000e2, 1.92943400, 6.58200000e-3
6.10000000e2, 1.92201700, 4.97300000e-3
6.20000000e2, 1.91500700, 3.71700000e-3
6.30000000e2, 1.90841500, 2.74000000e-3
6.40000000e2, 1.90222600, 1.99800000e-3
6.50000000e2, 1.89643600, 1.43400000e-3
6.60000000e2, 1.89102300, 1.01800000e-3
6.70000000e2, 1.88597200, 7.10000000e-4
6.80000000e2, 1.88125600, 4.91000000e-4
6.90000000e2, 1.87685500, 3.32000000e-4
7.00000000e2, 1.87274100, 2.23000000e-4
7.10000000e2, 1.86888600, 1.46000000e-4
7.20000000e2, 1.86526500, 9.50000000e-5
7.30000000e2, 1.86185000, 6.00000000e-5
7.40000000e2, 1.85861500, 3.80000000e-5
7.50000000e2, 1.85553400, 2.30000000e-5
7.60000000e2, 1.85258500, 1.40000000e-5
7.70000000e2, 1.84974500, 8.00000000e-6
7.80000000e2, 1.84699700, 5.00000000e-6
7.90000000e2, 1.84432000, 3.00000000e-6
8.00000000e2, 1.84170100, 2.00000000e-6
8.10000000e2, 1.83912300, 1.00000000e-6
8.20000000e2, 1.83657700, 0.00000000
8.30000000e2, 1.83405000, 0.00000000
8.40000000e2, 1.83153200, 0.00000000
