wavelength (nm), n, k
2.50000000e2, 1.49808800, 0.00000000
2.60000000e2, 1.49053200, 0.00000000
2.70000000e2, 1.48399600, 0.00000000
2.80000000e2, 1.47829800, 0.00000000
2.90000000e2, 1.47329600, 0.00000000
3.00000000e2, 1.46887800, 0.00000000
3.10000000e2, 1.46495200, 0.00000000
3.20000000e2, 1.46144700, 0.00000000
3.30000000e2, 1.45830300, 0.00000000
3.40000000e2, 1.45547100, 0.00000000
3.50000000e2, 1.45290900, 0.00000000
3.60000000e2, 1.45058300, 0.00000000
3.70000000e2, 1.44846500, 0.00000000
3.80000000e2, 1.44653100, 0.00000000
3.90000000e2, 1.44475800, 0.00000000
4.00000000e2, 1.44312900, 0.00000000
4.10000000e2, 1.44163000, 0.00000000
4.20000000e2, 1.44024500, 0.00000000
4.30000000e2, 1.43896400, 0.00000000
4.40000000e2, 1.43777500, 0.00000000
4.50000000e2, 1.43667200, 0.00000000
4.60000000e2, 1.43564400, 0.00000000
4.70000000e2, 1.43468600, 0.00000000
4.80000000e2, 1.43379200, 0.00000000
4.90000000e2, 1.43295400, 0.00000000
5.00000000e2, 1.43217000, 0.00000000
5.10000000e2, 1.43143400, 0.00000000
5.20000000e2, 1.43074200, 0.00000000
5.30000000e2, 1.43009100, 0.00000000
5.40000000e2, 1.42947800, 0.00000000
5.50000000e2, 1.42890000, 0.00000000
5.60000000e2, 1.42835400, 0.00000000
5.70000000e2, 1.42783700, 0.00000000
5.80000000e2, 1.42734900, 0.00000000
5.90000000e2, 1.42688600, 0.00000000
6.00000000e2, 1.42644700, 0.00000000
6.10000000e2, 1.42603000, 0.00000000
6.20000000e2, 1.42563400, 0.00000000
6.30000000e2, 1.42525700, 0.00000000
6.40000000e2, 1.42489900, 0.00000000
6.50000000e2, 1.42455700, 0.00000000
6.60000000e2, 1.42423200, 0.00000000
6.70000000e2, 1.42392100, 0.00000000
6.80000000e2, 1.42362500, 0.00000000
6.90000000e2, 1.42334100, 0.00000000
7.00000000e2, 1.42307000, 0.00000000
7.10000000e2, 1.42281100, 0.00000000
7.20000000e2, 1.42256300, 0.00000000
7.30000000e2, 1.42232500, 0.00000000
7.40000000e2, 1.42209700, 0.00000000
7.50000000e2, 1.42187800, 0.00000000
7.60000000e2, 1.42166900, 0.00000000
7.70000000e2, 1.42146700, 0.00000000
7.80000000e2, 1.42127300, 0.00000000
7.90000000e2, 1.42108700, 0.00000000
8.00000000e2, 1.42090800, 0.00000000
8.10000000e2, 1.42073600, 0.00000000
8.20000000e2, 1.42057000, 0.00000000
8.30000000e2, 1.42041000, 0.00000000
8.40000000e2, 1.42025600, 0.00000000
8.50000000e2, 1.42010700, 0.00000000
8.60000000e2, 1.41996400, 0.00000000
8.70000000e2, 1.41982600, 0.00000000
8.80000000e2, 1.41969200, 0.00000000
8.90000000e2, 1.41956300, 0.00000000
9.00000000e2, 1.41943900, 0.00000000
