wavelength (nm), n, k
1.90746433e2, 1.41403000, 8.86233000e-1
1.92225087e2, 1.41872700, 8.83381000e-1
1.93726846e2, 1.42102900, 8.80177000e-1
1.95252254e2, 1.42152700, 8.76859000e-1
1.96801875e2, 1.42080700, 8.73667000e-1
1.98376290e2, 1.41950500, 8.70837000e-1
1.99976099e2, 1.41878300, 8.68597000e-1
2.01601921e2, 1.41854800, 8.67192000e-1
2.03254396e2, 1.41817200, 8.66927000e-1
2.04934184e2, 1.41780100, 8.68102000e-1
2.06641969e2, 1.41718700, 8.70888000e-1
2.08378456e2, 1.41576600, 8.75379000e-1
2.10144375e2, 1.41293500, 8.81882000e-1
2.11940481e2, 1.40806000, 8.90706000e-1
2.13767554e2, 1.40287300, 9.00887000e-1
2.15626402e2, 1.39846900, 9.11703000e-1
2.17517862e2, 1.39541700, 9.23479000e-1
2.19442799e2, 1.39467000, 9.37075000e-1
2.21402109e2, 1.39545200, 9.58045000e-1
2.23396723e2, 1.39652200, 9.74059000e-1
2.25427602e2, 1.39710900, 9.89689000e-1
2.27495745e2, 1.39834800, 1.15267200
2.29602188e2, 1.64514400, 1.22426200
2.31748002e2, 1.94723800, 1.50037800
2.33934304e2, 1.97196600, 1.51121600
2.36162250e2, 1.96517300, 1.48817600
2.38433041e2, 1.96787200, 1.48115600
2.40747925e2, 1.96764600, 1.47970100
2.43108199e2, 1.97222800, 1.47684800
2.45515210e2, 1.98154600, 1.50035700
2.47970363e2, 2.00269200, 1.55167900
2.50475114e2, 2.03725500, 1.60305400
2.53030982e2, 2.09816000, 1.64323100
2.55639549e2, 2.18927600, 1.65975500
2.58302461e2, 2.27394200, 1.62632500
2.61021434e2, 2.35248000, 1.57392600
2.63798258e2, 2.41074700, 1.52393700
2.66634798e2, 2.44036800, 1.47613500
2.69533003e2, 2.44411600, 1.43387300
2.72494904e2, 2.42940700, 1.39889600
2.75522625e2, 2.42457100, 1.40926700
2.78618385e2, 2.45675900, 1.44536800
2.81784503e2, 2.53224500, 1.44187500
2.85023405e2, 2.60491500, 1.38975500
2.88337631e2, 2.62492800, 1.33165200
2.91729838e2, 2.60271300, 1.30557000
2.95202813e2, 2.61232100, 1.33720200
2.98759473e2, 2.72813400, 1.37842200
3.02402881e2, 2.82372500, 1.27619500
3.06136250e2, 2.85990900, 1.17748500
3.09962953e2, 2.87098100, 1.10094800
3.13886535e2, 2.87067000, 1.02927900
3.17910721e2, 2.86240600, 9.77102000e-1
3.22039432e2, 2.84882700, 9.36491000e-1
3.26276793e2, 2.83461800, 8.96711000e-1
3.30627150e2, 2.82080600, 8.64442000e-1
3.35095085e2, 2.80648700, 8.40506000e-1
3.39685428e2, 2.79366800, 8.15688000e-1
3.44403281e2, 2.78366900, 7.93027000e-1
3.49254032e2, 2.77383600, 7.75236000e-1
3.54243375e2, 2.76204600, 7.56717000e-1
3.59377337e2, 2.75475000, 7.43447000e-1
3.64662298e2, 2.74661800, 7.27326000e-1
3.70105019e2, 2.73774500, 7.09590000e-1
3.75712671e2, 2.72980000, 6.93796000e-1
3.81492866e2, 2.72292800, 6.79660000e-1
3.87453692e2, 2.71689000, 6.66238000e-1
3.93603750e2, 2.71169100, 6.53600000e-1
3.99952198e2, 2.70731200, 6.41896000e-1
4.06508791e2, 2.70447300, 6.30866000e-1
