wavelength (nm), n, k
2.47970363e2, 2.48000000, 2.20000000
2.50475114e2, 2.47690000, 2.12190000
2.53030982e2, 2.48000000, 2.04000000
2.55639549e2, 2.48560000, 1.96060000
2.58302461e2, 2.49000000, 1.89000000
2.61021434e2, 2.48750000, 1.84000000
2.63798258e2, 2.48000000, 1.80000000
2.66634798e2, 2.46560000, 1.76310000
2.69533003e2, 2.45000000, 1.73000000
2.72494904e2, 2.43940000, 1.69750000
2.75522625e2, 2.43000000, 1.67000000
2.78618385e2, 2.42060000, 1.65380000
2.81784503e2, 2.41000000, 1.64000000
2.85023405e2, 2.39500000, 1.62000000
2.88337631e2, 2.38000000, 1.60000000
2.91729838e2, 2.37000000, 1.58130000
2.95202813e2, 2.36000000, 1.57000000
2.98759473e2, 2.34000000, 1.57060000
3.02402881e2, 2.33000000, 1.59000000
3.06136250e2, 2.34690000, 1.63940000
3.09962953e2, 2.39000000, 1.71000000
3.13886535e2, 2.46940000, 1.82060000
3.17910721e2, 2.57000000, 1.90000000
3.22039432e2, 2.68870000, 1.85690000
3.26276793e2, 2.80000000, 1.77000000
3.30627150e2, 2.87380000, 1.68620000
3.35095085e2, 2.92000000, 1.61000000
3.39685428e2, 2.93500000, 1.56630000
3.44403281e2, 2.93000000, 1.54000000
3.49254032e2, 2.90940000, 1.51630000
3.54243375e2, 2.89000000, 1.52000000
3.59377337e2, 2.87310000, 1.59380000
3.64662298e2, 2.91000000, 1.67000000
3.70105019e2, 3.09750000, 1.71120000
3.75712671e2, 3.30000000, 1.67000000
3.81492866e2, 3.39500000, 1.42370000
3.87453692e2, 3.44000000, 1.16000000
3.93603750e2, 3.44750000, 1.06810000
3.99952198e2, 3.43000000, 1.02000000
4.06508791e2, 3.40410000, 9.40400000e-1
4.13283938e2, 3.37000000, 8.61000000e-1
4.20288750e2, 3.34010000, 7.98900000e-1
4.27535108e2, 3.31090000, 7.46700000e-1
4.35035724e2, 3.28250000, 7.03000000e-1
4.42804219e2, 3.25540000, 6.66600000e-1
4.50855205e2, 3.23000000, 6.36000000e-1
4.59204375e2, 3.20960000, 6.08400000e-1
4.67868609e2, 3.19080000, 5.84500000e-1
4.76866082e2, 3.17320000, 5.63200000e-1
4.86216397e2, 3.15640000, 5.43700000e-1
4.95940725e2, 3.14000000, 5.25000000e-1
5.06061964e2, 3.12100000, 5.00600000e-1
5.16604922e2, 3.10230000, 4.76600000e-1
5.27596516e2, 3.08410000, 4.53300000e-1
5.39066006e2, 3.06660000, 4.31300000e-1
5.51045250e2, 3.05000000, 4.11000000e-1
5.63569006e2, 3.03590000, 3.94900000e-1
5.76675262e2, 3.02300000, 3.80900000e-1
5.90405625e2, 3.01100000, 3.69000000e-1
6.04805762e2, 3.00010000, 3.59000000e-1
6.19925906e2, 2.99000000, 3.51000000e-1
6.35821443e2, 2.97880000, 3.46300000e-1
6.52553586e2, 2.96880000, 3.43100000e-1
6.70190169e2, 2.96040000, 3.41000000e-1
6.88806563e2, 2.95400000, 3.39400000e-1
7.08486750e2, 2.95000000, 3.38000000e-1
7.29324596e2, 2.96420000, 3.35000000e-1
7.51425341e2, 2.97770000, 3.31000000e-1
7.74907383e2, 2.98720000, 3.27000000e-1
7.99904395e2, 2.98910000, 3.23000000e-1
8.26567875e2, 2.98000000, 3.19000000e-1
8.55070216e2, 2.95650000, 3.15000000e-1
8.85608438e2, 2.92050000, 3.10999000e-1
9.18408750e2, 2.89400000, 3.06999000e-1
9.53732164e2, 2.87200000, 3.02998000e-1
9.91881450e2, 2.85270000, 2.98994000e-1
1.03320984e3, 2.83530000, 2.94992000e-1
1.07813201e3, 2.81950000, 2.91000000e-1
1.12713801e3, 2.80500000, 2.86989000e-1
1.18081125e3, 2.79170000, 2.82980000e-1
1.23985181e3, 2.77930000, 2.78971000e-1
1.30510717e3, 2.76790000, 2.74960000e-1
1.37761313e3, 2.75730000, 2.70945000e-1
1.45864919e3, 2.74750000, 2.66924000e-1
1.54981477e3, 2.73840000, 2.62895000e-1
1.65313575e3, 2.73010000, 2.58853000e-1
1.77121688e3, 2.72230000, 2.54805000e-1
1.90746433e3, 2.71520000, 2.50745000e-1
2.06641969e3, 2.70860000, 2.46657000e-1
2.25427602e3, 2.70270000, 2.42566000e-1
2.47970363e3, 2.69720000, 2.38428000e-1
