wavelength (nm), n, k
4.40000000e2, 1.54355700, 0.00000000
4.50000000e2, 1.54254000, 0.00000000
4.60000000e2, 1.54157500, 0.00000000
4.70000000e2, 1.54066100, 0.00000000
4.80000000e2, 1.53980000, 0.00000000
4.90000000e2, 1.53899200, 0.00000000
5.00000000e2, 1.53824300, 0.00000000
5.10000000e2, 1.53754800, 0.00000000
5.20000000e2, 1.53690100, 0.00000000
5.30000000e2, 1.53629700, 0.00000000
5.40000000e2, 1.53573000, 0.00000000
5.50000000e2, 1.53519100, 0.00000000
5.60000000e2, 1.53467400, 0.00000000
5.70000000e2, 1.53418300, 0.00000000
5.80000000e2, 1.53371600, 0.00000000
5.90000000e2, 1.53327000, 0.00000000
6.00000000e2, 1.53284700, 0.00000000
6.10000000e2, 1.53243700, 0.00000000
6.20000000e2, 1.53203800, 0.00000000
6.30000000e2, 1.53164400, 0.00000000
6.40000000e2, 1.53125000, 0.00000000
6.50000000e2, 1.53085400, 0.00000000
