wavelength (nm), n, k
2.58302461e2, 2.18400000, 2.40200000
2.63798258e2, 2.18300000, 2.40600000
2.69533003e2, 2.18600000, 2.40400000
2.75522625e2, 2.19200000, 2.39600000
2.81784503e2, 2.20100000, 2.38300000
2.88337631e2, 2.21500000, 2.36700000
2.95202813e2, 2.23200000, 2.34800000
3.02402881e2, 2.25300000, 2.32700000
3.09962953e2, 2.27800000, 2.30600000
3.17910721e2, 2.30500000, 2.28500000
3.26276793e2, 2.33400000, 2.26700000
3.35095085e2, 2.36200000, 2.25200000
3.44403281e2, 2.38600000, 2.24200000
3.54243375e2, 2.40700000, 2.23800000
3.64662298e2, 2.42600000, 2.24000000
3.75712671e2, 2.44400000, 2.24800000
3.87453692e2, 2.46900000, 2.26200000
3.99952198e2, 2.50700000, 2.28000000
4.13283938e2, 2.56000000, 2.29900000
4.27535108e2, 2.63100000, 2.31300000
4.42804219e2, 2.71800000, 2.31600000
4.59204375e2, 2.81300000, 2.30000000
4.76866082e2, 2.91100000, 2.25800000
4.95940725e2, 3.00000000, 2.18800000
5.16604922e2, 3.07100000, 2.10600000
5.39066006e2, 3.11500000, 2.02800000
5.63569006e2, 3.12400000, 1.95400000
5.90405625e2, 3.09400000, 1.88400000
6.19925906e2, 3.02400000, 1.81700000
6.52553586e2, 2.91700000, 1.75500000
6.88806563e2, 2.77800000, 1.70300000
7.29324596e2, 2.61400000, 1.67600000
7.74907383e2, 2.43200000, 1.70100000
8.26567875e2, 2.23800000, 1.81100000
8.85608438e2, 2.03700000, 2.03800000
9.53732164e2, 1.83400000, 2.40400000
1.03320984e3, 1.63000000, 2.91200000
1.12713801e3, 1.42800000, 3.56000000
1.23985181e3, 1.22700000, 4.34600000
