wavelength (nm), n, k
2.06641969e2, 1.46000000, 1.71000000
2.08378456e2, 1.45750000, 1.71687500
2.10144375e2, 1.46000000, 1.72000000
2.11940481e2, 1.46500000, 1.72062500
2.13767554e2, 1.47000000, 1.72000000
2.15626402e2, 1.47187500, 1.71937500
2.17517862e2, 1.47000000, 1.72000000
2.19442799e2, 1.46125000, 1.72437500
2.21402109e2, 1.45000000, 1.73000000
2.23396723e2, 1.44000000, 1.73437500
2.25427602e2, 1.43000000, 1.74000000
2.27495745e2, 1.42000000, 1.74937500
2.29602188e2, 1.41000000, 1.76000000
2.31748002e2, 1.40000000, 1.76937500
2.33934304e2, 1.39000000, 1.78000000
2.36162250e2, 1.37937500, 1.79375000
2.38433041e2, 1.37000000, 1.81000000
2.40747925e2, 1.36375000, 1.82875000
2.43108199e2, 1.36000000, 1.85000000
2.45515210e2, 1.35875000, 1.87437500
2.47970363e2, 1.36000000, 1.90000000
2.50475114e2, 1.36437500, 1.92500000
2.53030982e2, 1.37000000, 1.95000000
2.55639549e2, 1.37562500, 1.97500000
2.58302461e2, 1.38000000, 2.00000000
2.61021434e2, 1.38000000, 2.02562500
2.63798258e2, 1.38000000, 2.05000000
2.66634798e2, 1.38250000, 2.07000000
2.69533003e2, 1.39000000, 2.09000000
2.72494904e2, 1.41000000, 2.11437500
2.75522625e2, 1.43000000, 2.14000000
2.78618385e2, 1.43625000, 2.16500000
2.81784503e2, 1.44000000, 2.19000000
2.85023405e2, 1.44812500, 2.21437500
2.88337631e2, 1.46000000, 2.24000000
2.91729838e2, 1.47875000, 2.27000000
2.95202813e2, 1.50000000, 2.30000000
2.98759473e2, 1.52000000, 2.32562500
3.02402881e2, 1.54000000, 2.35000000
3.06136250e2, 1.55937500, 2.37500000
3.09962953e2, 1.58000000, 2.40000000
3.13886535e2, 1.60500000, 2.42500000
3.17910721e2, 1.63000000, 2.45000000
3.22039432e2, 1.65062500, 2.47500000
3.26276793e2, 1.67000000, 2.50000000
3.30627150e2, 1.68875000, 2.52562500
3.35095085e2, 1.71000000, 2.55000000
3.39685428e2, 1.73812500, 2.57000000
3.44403281e2, 1.77000000, 2.59000000
3.49254032e2, 1.80750000, 2.61500000
3.54243375e2, 1.84000000, 2.64000000
3.59377337e2, 1.85187500, 2.66062500
3.64662298e2, 1.86000000, 2.68000000
3.70105019e2, 1.87812500, 2.69937500
3.75712671e2, 1.90000000, 2.72000000
3.81492866e2, 1.92375000, 2.74250000
3.87453692e2, 1.95000000, 2.77000000
3.93603750e2, 1.97875000, 2.80812500
3.99952198e2, 2.01000000, 2.85000000
4.06508791e2, 2.04312500, 2.88937500
4.13283938e2, 2.08000000, 2.93000000
4.20288750e2, 2.12312500, 2.97500000
4.27535108e2, 2.17000000, 3.02000000
4.35035724e2, 2.21750000, 3.06062500
4.42804219e2, 2.27000000, 3.10000000
4.50855205e2, 2.33125000, 3.14000000
4.59204375e2, 2.40000000, 3.18000000
4.67868609e2, 2.47625000, 3.22250000
4.76866082e2, 2.56000000, 3.26000000
4.86216397e2, 2.65500000, 3.28312500
4.95940725e2, 2.75000000, 3.30000000
5.06061964e2, 2.82937500, 3.31750000
5.16604922e2, 2.91000000, 3.33000000
5.27596516e2, 3.01312500, 3.33250000
5.39066006e2, 3.11000000, 3.33000000
5.51045250e2, 3.17812500, 3.32625000
5.63569006e2, 3.22000000, 3.32000000
5.76675262e2, 3.22500000, 3.30937500
5.90405625e2, 3.21000000, 3.30000000
6.04805762e2, 3.18812500, 3.29687500
6.19925906e2, 3.16000000, 3.30000000
6.35821443e2, 3.12937500, 3.31250000
6.52553586e2, 3.10000000, 3.33000000
6.70190169e2, 3.07625000, 3.35000000
6.88806563e2, 3.06000000, 3.37000000
7.08486750e2, 3.05437500, 3.38500000
7.29324596e2, 3.06000000, 3.40000000
7.51425341e2, 3.07875000, 3.41937500
7.74907383e2, 3.11000000, 3.44000000
7.99904395e2, 3.15812500, 3.46000000
8.26567875e2, 3.21000000, 3.48000000
8.55070216e2, 3.25125000, 3.50000000
8.85608438e2, 3.29000000, 3.52000000
9.18408750e2, 3.32687500, 3.54125000
9.53732164e2, 3.37000000, 3.56000000
9.91881450e2, 3.43250000, 3.57250000
1.03320984e3, 3.50000000, 3.58000000
1.07813201e3, 3.56437500, 3.57875000
1.12713801e3, 3.62000000, 3.58000000
1.18081125e3, 3.66062500, 3.59125000
1.23985181e3, 3.68000000, 3.62000000
