wavelength (nm), n, k
2.10144375e2, 1.31100000, 9.28000000e-1
2.13767554e2, 1.31500000, 9.28000000e-1
2.17517862e2, 1.31700000, 9.31000000e-1
2.21402109e2, 1.31800000, 9.33000000e-1
2.25427602e2, 1.32000000, 9.39000000e-1
2.29602188e2, 1.32100000, 9.46000000e-1
2.33934304e2, 1.32300000, 9.56000000e-1
2.38433041e2, 1.32600000, 9.64000000e-1
2.43108199e2, 1.32700000, 9.74000000e-1
2.47970363e2, 1.33000000, 9.84000000e-1
2.53030982e2, 1.33100000, 9.94000000e-1
2.58302461e2, 1.33200000, 1.00500000
2.63798258e2, 1.33300000, 1.01700000
2.69533003e2, 1.33500000, 1.03000000
2.75522625e2, 1.33600000, 1.04300000
2.81784503e2, 1.34100000, 1.06400000
2.88337631e2, 1.34600000, 1.08200000
2.95202813e2, 1.34900000, 1.09500000
3.02402881e2, 1.35300000, 1.11000000
3.09962953e2, 1.35300000, 1.12600000
3.17910721e2, 1.35100000, 1.14600000
3.26276793e2, 1.34800000, 1.17400000
3.35095085e2, 1.34700000, 1.19900000
3.44403281e2, 1.34400000, 1.22200000
3.54243375e2, 1.34300000, 1.26200000
3.64662298e2, 1.34800000, 1.31100000
3.75712671e2, 1.35500000, 1.35900000
3.87453692e2, 1.36100000, 1.39900000
3.99952198e2, 1.37300000, 1.45100000
4.13283938e2, 1.39200000, 1.51300000
4.27535108e2, 1.41500000, 1.57300000
4.42804219e2, 1.44300000, 1.63200000
4.59204375e2, 1.47600000, 1.68600000
4.76866082e2, 1.50700000, 1.74300000
4.95940725e2, 1.55700000, 1.80700000
5.16604922e2, 1.59300000, 1.86000000
5.39066006e2, 1.63400000, 1.92900000
5.63569006e2, 1.68900000, 2.00400000
5.90405625e2, 1.74500000, 2.06900000
6.19925906e2, 1.80700000, 2.14200000
6.52553586e2, 1.87700000, 2.22900000
6.88806563e2, 1.95400000, 2.31600000
7.29324596e2, 2.04800000, 2.41100000
7.74907383e2, 2.17100000, 2.51200000
8.26567875e2, 2.32300000, 2.59500000
8.85608438e2, 2.47200000, 2.66700000
9.53732164e2, 2.66600000, 2.68500000
1.03320984e3, 2.80500000, 2.67600000
1.12713801e3, 2.93600000, 2.64000000
1.23985181e3, 2.99500000, 2.57600000
1.37761313e3, 2.91800000, 2.53100000
1.54981477e3, 2.67900000, 2.66900000
1.77121688e3, 2.46700000, 3.14000000
2.06641969e3, 2.47000000, 3.82500000
2.47970363e3, 2.59200000, 4.45600000
3.09962953e3, 2.81600000, 5.84900000
4.13283938e3, 3.46600000, 7.90400000
6.19925906e3, 5.16900000, 1.12300000e1
1.23985181e4, 8.61300000, 1.60900000e1
