wavelength (nm), n, k
5.36732387e1, 6.74000000e-1, 2.36000000e-1
5.39085538e1, 6.68000000e-1, 2.35000000e-1
5.41459413e1, 6.62000000e-1, 2.33000000e-1
5.43854288e1, 6.56000000e-1, 2.31000000e-1
5.46270442e1, 6.49000000e-1, 2.30000000e-1
5.48708160e1, 6.42000000e-1, 2.29000000e-1
5.51167732e1, 6.35000000e-1, 2.27000000e-1
5.53649453e1, 6.27000000e-1, 2.27000000e-1
5.56153624e1, 6.20000000e-1, 2.26000000e-1
5.58680551e1, 6.13000000e-1, 2.26000000e-1
5.61230545e1, 6.06000000e-1, 2.27000000e-1
5.63803924e1, 5.99000000e-1, 2.27000000e-1
5.66401011e1, 5.93000000e-1, 2.28000000e-1
5.69022135e1, 5.86000000e-1, 2.29000000e-1
5.71667631e1, 5.79000000e-1, 2.30000000e-1
5.74337840e1, 5.72000000e-1, 2.32000000e-1
5.77033112e1, 5.65000000e-1, 2.33000000e-1
5.79753799e1, 5.57000000e-1, 2.35000000e-1
5.82500264e1, 5.49000000e-1, 2.38000000e-1
5.85272875e1, 5.42000000e-1, 2.41000000e-1
5.88072006e1, 5.34000000e-1, 2.45000000e-1
5.90898040e1, 5.27000000e-1, 2.50000000e-1
5.93751367e1, 5.20000000e-1, 2.55000000e-1
5.96632384e1, 5.13000000e-1, 2.60000000e-1
5.99541496e1, 5.05000000e-1, 2.66000000e-1
6.02479115e1, 4.98000000e-1, 2.72000000e-1
6.05445664e1, 4.91000000e-1, 2.79000000e-1
6.08441572e1, 4.84000000e-1, 2.86000000e-1
6.11467276e1, 4.77000000e-1, 2.94000000e-1
6.14523223e1, 4.70000000e-1, 3.02000000e-1
6.17609869e1, 4.64000000e-1, 3.11000000e-1
6.20727680e1, 4.60000000e-1, 3.20000000e-1
6.23877128e1, 4.56000000e-1, 3.30000000e-1
6.27058699e1, 4.52000000e-1, 3.41000000e-1
6.30272886e1, 4.48000000e-1, 3.52000000e-1
6.33520194e1, 4.45000000e-1, 3.63000000e-1
6.36801137e1, 4.42000000e-1, 3.73000000e-1
6.40116240e1, 4.40000000e-1, 3.84000000e-1
6.43466039e1, 4.39000000e-1, 3.95000000e-1
6.46851083e1, 4.38000000e-1, 4.06000000e-1
6.50271930e1, 4.39000000e-1, 4.17000000e-1
6.53729151e1, 4.40000000e-1, 4.28000000e-1
6.57223330e1, 4.41000000e-1, 4.40000000e-1
6.60755063e1, 4.43000000e-1, 4.51000000e-1
6.64324958e1, 4.45000000e-1, 4.63000000e-1
6.67933637e1, 4.46000000e-1, 4.74000000e-1
6.71581735e1, 4.48000000e-1, 4.85000000e-1
6.75269902e1, 4.51000000e-1, 4.96000000e-1
6.78998802e1, 4.53000000e-1, 5.07000000e-1
6.82769114e1, 4.56000000e-1, 5.17000000e-1
6.86581530e1, 4.60000000e-1, 5.27000000e-1
6.90436761e1, 4.64000000e-1, 5.37000000e-1
6.94335531e1, 4.69000000e-1, 5.46000000e-1
6.98278582e1, 4.74000000e-1, 5.55000000e-1
7.02266674e1, 4.79000000e-1, 5.64000000e-1
7.06300582e1, 4.85000000e-1, 5.73000000e-1
7.10381100e1, 4.90000000e-1, 5.81000000e-1
7.14509041e1, 4.95000000e-1, 5.89000000e-1
7.18685236e1, 4.99000000e-1, 5.97000000e-1
7.22910537e1, 5.04000000e-1, 6.06000000e-1
7.27185814e1, 5.07000000e-1, 6.15000000e-1
7.31511960e1, 5.11000000e-1, 6.24000000e-1
7.35889888e1, 5.13000000e-1, 6.33000000e-1
7.40320533e1, 5.16000000e-1, 6.43000000e-1
7.44804854e1, 5.17000000e-1, 6.54000000e-1
7.49343831e1, 5.19000000e-1, 6.64000000e-1
