wavelength (nm), n, k
2.95202813e2, 1.97885200, 1.87676000
2.98759473e2, 1.99401300, 1.85723300
3.02402881e2, 2.01277700, 1.83512000
3.06136250e2, 2.03491800, 1.81051400
3.09962953e2, 2.06021400, 1.78350400
3.13886535e2, 2.08844100, 1.75418200
3.17910721e2, 2.11937500, 1.72263900
3.22039432e2, 2.15279300, 1.68896400
3.26276793e2, 2.18847100, 1.65325100
3.30627150e2, 2.22618400, 1.61558800
3.35095085e2, 2.26571100, 1.57606800
3.39685428e2, 2.30682600, 1.53478100
3.44403281e2, 2.34930700, 1.49181700
3.49254032e2, 2.39293000, 1.44726900
3.54243375e2, 2.43747000, 1.40122600
3.59377337e2, 2.48270400, 1.35378000
3.64662298e2, 2.52841000, 1.30502200
3.70105019e2, 2.57436200, 1.25504100
3.75712671e2, 2.62033800, 1.20393100
3.81492866e2, 2.66611300, 1.15178100
3.87453692e2, 2.71146400, 1.09868100
3.93603750e2, 2.75616700, 1.04472400
3.99952198e2, 2.80000000, 9.90000000e-1
4.06508791e2, 2.84520200, 9.31971000e-1
4.13283938e2, 2.88866300, 8.73808000e-1
4.20288750e2, 2.92990300, 8.15873000e-1
4.27535108e2, 2.96844400, 7.58531000e-1
4.35035724e2, 3.00380500, 7.02145000e-1
4.42804219e2, 3.03550800, 6.47078000e-1
4.50855205e2, 3.06253900, 5.93956000e-1
4.59204375e2, 3.08137300, 5.44624000e-1
4.67868609e2, 3.09622500, 4.97160000e-1
4.76866082e2, 3.10732200, 4.51581000e-1
4.86216397e2, 3.11489200, 4.07908000e-1
4.95940725e2, 3.11916400, 3.66157000e-1
5.06061964e2, 3.12143900, 3.24937000e-1
5.16604922e2, 3.12120200, 2.85244000e-1
5.27596516e2, 3.11747700, 2.48678000e-1
5.39066006e2, 3.11004400, 2.15848000e-1
5.51045250e2, 3.09866700, 1.87747000e-1
5.63569006e2, 3.08303600, 1.67556000e-1
5.76675262e2, 3.06309400, 1.51100000e-1
5.90405625e2, 3.03866600, 1.37625000e-1
6.04805762e2, 3.00764800, 1.26046000e-1
6.19925906e2, 2.96952600, 1.15553000e-1
6.35821443e2, 2.93087200, 1.06566000e-1
6.52553586e2, 2.89540100, 9.88500000e-2
6.70190169e2, 2.86854600, 9.21960000e-2
6.88806563e2, 2.84388200, 8.62460000e-2
7.08486750e2, 2.82000700, 8.05710000e-2
7.29324596e2, 2.79538600, 7.49870000e-2
7.51425341e2, 2.76795900, 6.96860000e-2
7.74907383e2, 2.73311100, 6.46330000e-2
7.99904395e2, 2.70000000, 6.00000000e-2
8.26567875e2, 2.67643800, 5.59590000e-2
8.55070216e2, 2.65634700, 5.24220000e-2
8.85608438e2, 2.63744800, 4.93480000e-2
9.18408750e2, 2.62138700, 4.60080000e-2
9.53732164e2, 2.60901600, 4.27440000e-2
9.91881450e2, 2.60120100, 4.04430000e-2
1.03320984e3, 2.59589900, 3.76910000e-2
1.07813201e3, 2.59181000, 3.45150000e-2
1.12713801e3, 2.58731100, 3.13470000e-2
1.18081125e3, 2.58194800, 2.81500000e-2
1.23985181e3, 2.57521800, 2.44510000e-2
1.30510717e3, 2.56986800, 2.07540000e-2
1.37761313e3, 2.56976900, 1.78270000e-2
1.45864919e3, 2.57004700, 1.45850000e-2
1.54981477e3, 2.56922700, 1.12370000e-2
1.65313575e3, 2.56695500, 8.15900000e-3
1.77121688e3, 2.56412300, 5.41700000e-3
1.90746433e3, 2.56136100, 3.11900000e-3
2.06641969e3, 2.55930000, 1.37600000e-3
2.25427602e3, 2.55856900, 2.96000000e-4
2.47970363e3, 2.55979800, 1.20000000e-5
