wavelength (nm), n, k
1.90746433e2, 9.58000000e-1, 1.37000000
1.92225087e2, 9.57093000e-1, 1.39224100
1.93726846e2, 9.58857000e-1, 1.41457100
1.95252254e2, 9.63050000e-1, 1.43693800
1.96801875e2, 9.69428000e-1, 1.45928600
1.98376290e2, 9.77750000e-1, 1.48156200
1.99976099e2, 9.87771000e-1, 1.50371400
2.01601921e2, 9.99250000e-1, 1.52568700
2.03254396e2, 1.01194300, 1.54742900
2.04934184e2, 1.02560700, 1.56888400
2.06641969e2, 1.04000000, 1.59000000
2.08378456e2, 1.05487900, 1.61072300
2.10144375e2, 1.07000000, 1.63100000
2.11940481e2, 1.08437500, 1.65062500
2.13767554e2, 1.10000000, 1.67000000
2.15626402e2, 1.11937500, 1.69000000
2.17517862e2, 1.14000000, 1.70900000
2.19442799e2, 1.15937500, 1.72550000
2.21402109e2, 1.18000000, 1.74000000
2.23396723e2, 1.20437500, 1.75237500
2.25427602e2, 1.23000000, 1.76300000
2.27495745e2, 1.25500000, 1.77175000
2.29602188e2, 1.28000000, 1.78000000
2.31748002e2, 1.30500000, 1.79050000
2.33934304e2, 1.33000000, 1.79900000
2.36162250e2, 1.35531300, 1.80075000
2.38433041e2, 1.38000000, 1.80000000
2.40747925e2, 1.40281200, 1.80075000
2.43108199e2, 1.42500000, 1.79900000
2.45515210e2, 1.44843700, 1.79087500
2.47970363e2, 1.47000000, 1.78000000
2.50475114e2, 1.48593800, 1.77025000
2.53030982e2, 1.50000000, 1.75700000
2.55639549e2, 1.51718700, 1.73381200
2.58302461e2, 1.53000000, 1.71000000
2.61021434e2, 1.52968800, 1.69381300
2.63798258e2, 1.52500000, 1.68200000
2.66634798e2, 1.52312500, 1.67562500
2.69533003e2, 1.52000000, 1.67000000
2.72494904e2, 1.51312500, 1.65875000
2.75522625e2, 1.50500000, 1.64800000
2.78618385e2, 1.49875000, 1.64331200
2.81784503e2, 1.49000000, 1.64000000
2.85023405e2, 1.47375000, 1.63331200
2.88337631e2, 1.45500000, 1.62900000
2.91729838e2, 1.43781300, 1.63087500
2.95202813e2, 1.42000000, 1.64000000
2.98759473e2, 1.40031300, 1.66212500
3.02402881e2, 1.38000000, 1.68700000
3.06136250e2, 1.35843800, 1.70331300
3.09962953e2, 1.34000000, 1.72000000
3.13886535e2, 1.32906300, 1.74456300
3.17910721e2, 1.32500000, 1.77000000
3.22039432e2, 1.33250000, 1.79162500
3.26276793e2, 1.34000000, 1.81000000
3.30627150e2, 1.33437500, 1.82212500
3.35095085e2, 1.32500000, 1.83400000
3.39685428e2, 1.31781200, 1.85175000
3.44403281e2, 1.31000000, 1.87200000
3.49254032e2, 1.30031300, 1.89425000
3.54243375e2, 1.29000000, 1.91600000
3.59377337e2, 1.28156300, 1.93168800
3.64662298e2, 1.27000000, 1.95000000
3.70105019e2, 1.24906200, 1.97243800
3.75712671e2, 1.22500000, 2.01500000
3.81492866e2, 1.20000000, 2.12156200
3.87453692e2, 1.18000000, 2.21000000
3.93603750e2, 1.17437500, 2.17718800
3.99952198e2, 1.17500000, 2.13000000
4.06508791e2, 1.17750000, 2.16006300
4.13283938e2, 1.18000000, 2.21000000
4.20288750e2, 1.17812500, 2.24993800
4.27535108e2, 1.17500000, 2.28900000
4.35035724e2, 1.17281200, 2.32600000
4.42804219e2, 1.17000000, 2.36200000
4.50855205e2, 1.16531200, 2.39762500
4.59204375e2, 1.16000000, 2.43300000
4.67868609e2, 1.15531200, 2.46918700
4.76866082e2, 1.15000000, 2.50400000
4.86216397e2, 1.14281200, 2.53587500
4.95940725e2, 1.13500000, 2.56400000
5.06061964e2, 1.13156200, 2.58962500
5.16604922e2, 1.12000000, 2.60500000
5.27596516e2, 1.09243700, 2.59556200
5.39066006e2, 1.04000000, 2.58300000
5.51045250e2, 9.50375000e-1, 2.57650000
5.63569006e2, 8.26000000e-1, 2.59900000
5.76675262e2, 6.45875000e-1, 2.67806200
5.90405625e2, 4.68000000e-1, 2.80900000
6.04805762e2, 3.51250000e-1, 3.01075000
6.19925906e2, 2.72000000e-1, 3.24000000
6.35821443e2, 2.30813000e-1, 3.45818700
6.52553586e2, 2.14000000e-1, 3.67000000
6.70190169e2, 2.09250000e-1, 3.86312500
6.88806563e2, 2.13000000e-1, 4.05000000
7.08486750e2, 2.16250000e-1, 4.23956300
7.29324596e2, 2.23000000e-1, 4.43000000
7.51425341e2, 2.36500000e-1, 4.61956300
7.74907383e2, 2.50000000e-1, 4.81700000
7.99904395e2, 2.54188000e-1, 5.03412500
8.26567875e2, 2.60000000e-1, 5.26000000
8.55070216e2, 2.80000000e-1, 5.48562500
8.85608438e2, 3.00000000e-1, 5.71700000
9.18408750e2, 3.06250000e-1, 5.95337400
9.53732164e2, 3.10000000e-1, 6.20600000
9.91881450e2, 3.16250000e-1, 6.48325000
1.03320984e3, 3.30000000e-1, 6.79300000
1.07813201e3, 3.64188000e-1, 7.14681300
1.12713801e3, 4.00000000e-1, 7.54200000
1.18081125e3, 4.14438000e-1, 8.11656300
1.23985181e3, 4.33000000e-1, 8.46000000
1.30510717e3, 4.82188000e-1, 7.91112500
1.37761313e3, 5.36000000e-1, 7.36000000
1.45864919e3, 5.70125000e-1, 7.66937500
1.54981477e3, 6.06000000e-1, 8.26000000
1.65313575e3, 6.58438000e-1, 8.79187500
1.77121688e3, 7.23000000e-1, 9.41000000
1.90746433e3, 7.97563000e-1, 1.01393800e1
2.06641969e3, 8.90000000e-1, 1.10000000e1
2.25427602e3, 1.00568700, 1.20131300e1
2.47970363e3, 1.15000000, 1.32000000e1
