wavelength (nm), n, k
2.95202813e2, 2.17858200, 1.58335000
2.98759473e2, 2.17953600, 1.52044600
3.02402881e2, 2.18110400, 1.46163700
3.06136250e2, 2.18328500, 1.40674600
3.09962953e2, 2.18607800, 1.35559300
3.13886535e2, 2.18948300, 1.30800000
3.17910721e2, 2.19349900, 1.26378700
3.22039432e2, 2.19812400, 1.22277500
3.26276793e2, 2.20335800, 1.18478600
3.30627150e2, 2.20919900, 1.14963900
3.35095085e2, 2.21564700, 1.11715700
3.39685428e2, 2.22270100, 1.08716000
3.44403281e2, 2.23036000, 1.05946900
3.49254032e2, 2.23862200, 1.03390500
3.54243375e2, 2.24748700, 1.01028900
3.59377337e2, 2.25695500, 9.88441000e-1
3.64662298e2, 2.26702300, 9.68184000e-1
3.70105019e2, 2.27769100, 9.49337000e-1
3.75712671e2, 2.28895900, 9.31723000e-1
3.81492866e2, 2.30082400, 9.15161000e-1
3.87453692e2, 2.31328700, 8.99472000e-1
3.93603750e2, 2.32634600, 8.84478000e-1
3.99952198e2, 2.34000000, 8.70000000e-1
4.06508791e2, 2.35498000, 8.55138000e-1
4.13283938e2, 2.37042800, 8.40557000e-1
4.20288750e2, 2.38626700, 8.26153000e-1
4.27535108e2, 2.40242100, 8.11821000e-1
4.35035724e2, 2.41881200, 7.97457000e-1
4.42804219e2, 2.43536300, 7.82956000e-1
4.50855205e2, 2.45214600, 7.68197000e-1
4.59204375e2, 2.46992100, 7.52970000e-1
4.67868609e2, 2.48732000, 7.37331000e-1
4.76866082e2, 2.50407100, 7.21201000e-1
4.86216397e2, 2.51990100, 7.04498000e-1
4.95940725e2, 2.53453900, 6.87143000e-1
5.06061964e2, 2.54507200, 6.68975000e-1
5.16604922e2, 2.55305800, 6.49970000e-1
5.27596516e2, 2.56118400, 6.30135000e-1
5.39066006e2, 2.57028500, 6.09426000e-1
5.51045250e2, 2.58153200, 5.87870000e-1
5.63569006e2, 2.59801900, 5.65932000e-1
5.76675262e2, 2.61637500, 5.42613000e-1
5.90405625e2, 2.63623900, 5.17596000e-1
6.04805762e2, 2.65469900, 4.90007000e-1
6.19925906e2, 2.67094300, 4.59431000e-1
6.35821443e2, 2.69354200, 4.27495000e-1
6.52553586e2, 2.72849100, 3.94976000e-1
6.70190169e2, 2.78619400, 3.63100000e-1
6.88806563e2, 2.84660700, 3.29994000e-1
7.08486750e2, 2.90211300, 2.95697000e-1
7.29324596e2, 2.94562100, 2.59105000e-1
7.51425341e2, 2.97068400, 2.16871000e-1
7.74907383e2, 2.96878900, 1.62816000e-1
7.99904395e2, 2.94000000, 1.10000000e-1
8.26567875e2, 2.87016100, 6.58560000e-2
8.55070216e2, 2.80065600, 3.74720000e-2
8.85608438e2, 2.75643600, 3.08960000e-2
9.18408750e2, 2.71976900, 2.62970000e-2
9.53732164e2, 2.68668200, 1.92220000e-2
9.91881450e2, 2.65560600, 1.14680000e-2
1.03320984e3, 2.63301800, 5.32000000e-3
1.07813201e3, 2.61663500, 1.20400000e-3
1.12713801e3, 2.60024200, 3.95000000e-4
1.18081125e3, 2.58438300, 1.88000000e-4
1.23985181e3, 2.57513500, 0.00000000
1.30510717e3, 2.56931400, 0.00000000
1.37761313e3, 2.56153100, 0.00000000
1.45864919e3, 2.55938600, 0.00000000
1.54981477e3, 2.55922700, 0.00000000
1.65313575e3, 2.55695500, 0.00000000
1.77121688e3, 2.55412300, 0.00000000
1.90746433e3, 2.55136100, 0.00000000
2.06641969e3, 2.54930000, 0.00000000
2.25427602e3, 2.54856900, 0.00000000
2.47970363e3, 2.54979800, 0.00000000
