wavelength (nm), n, k
2.13767554e2, 2.78000000, 5.00000000e-3
2.15626402e2, 2.77763500, 4.00600000e-3
2.17517862e2, 2.76882400, 2.87900000e-3
2.19442799e2, 2.75547900, 1.76900000e-3
2.21402109e2, 2.73947400, 8.39000000e-4
2.23396723e2, 2.72270700, 2.46000000e-4
2.25427602e2, 2.70787300, 4.20000000e-5
2.27495745e2, 2.69688100, 4.60000000e-5
2.29602188e2, 2.68978200, 0.00000000
2.31748002e2, 2.68580300, 0.00000000
2.33934304e2, 2.68071600, 0.00000000
2.36162250e2, 2.67372700, 0.00000000
2.38433041e2, 2.66634100, 0.00000000
2.40747925e2, 2.65892500, 0.00000000
2.43108199e2, 2.65176500, 0.00000000
2.45515210e2, 2.64501600, 0.00000000
2.47970363e2, 2.63891900, 0.00000000
2.50475114e2, 2.63328300, 0.00000000
2.53030982e2, 2.62799500, 0.00000000
2.55639549e2, 2.62270700, 0.00000000
2.58302461e2, 2.61707000, 0.00000000
2.61021434e2, 2.61095800, 0.00000000
2.63798258e2, 2.60415800, 0.00000000
2.66634798e2, 2.59714200, 0.00000000
2.69533003e2, 2.59020200, 0.00000000
2.72494904e2, 2.58369700, 0.00000000
2.75522625e2, 2.57784800, 0.00000000
2.78618385e2, 2.57259500, 0.00000000
2.81784503e2, 2.56787200, 0.00000000
2.85023405e2, 2.56353500, 0.00000000
2.88337631e2, 2.55934200, 0.00000000
2.91729838e2, 2.55485800, 0.00000000
2.95202813e2, 2.55004200, 0.00000000
2.98759473e2, 2.54488900, 0.00000000
3.02402881e2, 2.53955600, 0.00000000
3.06136250e2, 2.53414600, 0.00000000
3.09962953e2, 2.52899200, 0.00000000
3.13886535e2, 2.52464700, 0.00000000
3.17910721e2, 2.52054700, 0.00000000
3.22039432e2, 2.51632500, 0.00000000
3.26276793e2, 2.51208400, 0.00000000
3.30627150e2, 2.50781800, 0.00000000
3.35095085e2, 2.50378300, 0.00000000
3.39685428e2, 2.50008500, 0.00000000
3.44403281e2, 2.49643600, 0.00000000
3.49254032e2, 2.49274200, 0.00000000
3.54243375e2, 2.48904700, 0.00000000
3.59377337e2, 2.48535200, 0.00000000
3.64662298e2, 2.48160800, 0.00000000
3.70105019e2, 2.47792700, 0.00000000
3.75712671e2, 2.47459500, 0.00000000
3.81492866e2, 2.47147800, 0.00000000
3.87453692e2, 2.46832500, 0.00000000
3.93603750e2, 2.46515800, 0.00000000
3.99952198e2, 2.46192900, 0.00000000
4.06508791e2, 2.45884500, 0.00000000
4.13283938e2, 2.45615600, 0.00000000
4.20288750e2, 2.45357600, 0.00000000
4.27535108e2, 2.45093700, 0.00000000
4.35035724e2, 2.44829800, 0.00000000
4.42804219e2, 2.44565900, 0.00000000
4.50855205e2, 2.44302000, 0.00000000
4.59204375e2, 2.44038100, 0.00000000
4.67868609e2, 2.43770200, 0.00000000
4.76866082e2, 2.43505100, 0.00000000
4.86216397e2, 2.43271100, 0.00000000
4.95940725e2, 2.43063300, 0.00000000
5.06061964e2, 2.42854900, 0.00000000
5.16604922e2, 2.42643700, 0.00000000
5.27596516e2, 2.42432600, 0.00000000
5.39066006e2, 2.42221500, 0.00000000
5.51045250e2, 2.42010400, 0.00000000
5.63569006e2, 2.41799200, 0.00000000
5.76675262e2, 2.41581800, 0.00000000
5.90405625e2, 2.41381000, 0.00000000
6.04805762e2, 2.41218700, 0.00000000
6.19925906e2, 2.41066100, 0.00000000
6.35821443e2, 2.40907700, 0.00000000
6.52553586e2, 2.40749400, 0.00000000
6.70190169e2, 2.40591000, 0.00000000
6.88806563e2, 2.40432700, 0.00000000
7.08486750e2, 2.40274400, 0.00000000
7.29324596e2, 2.40111700, 0.00000000
7.51425341e2, 2.39953000, 0.00000000
7.74907383e2, 2.39826700, 0.00000000
7.99904395e2, 2.39725100, 0.00000000
8.26567875e2, 2.39627300, 0.00000000
8.55070216e2, 2.39518600, 0.00000000
8.85608438e2, 2.39366400, 0.00000000
9.18408750e2, 2.39207200, 0.00000000
9.53732164e2, 2.39087000, 0.00000000
9.91881450e2, 2.38996500, 0.00000000
1.03320984e3, 2.38944700, 0.00000000
1.07813201e3, 2.38885300, 0.00000000
1.12713801e3, 2.38782800, 0.00000000
1.18081125e3, 2.38669400, 0.00000000
1.23985181e3, 2.38560000, 0.00000000
1.30510717e3, 2.38478700, 0.00000000
1.37761313e3, 2.38429000, 0.00000000
1.45864919e3, 2.38347100, 0.00000000
1.54981477e3, 2.38237200, 0.00000000
1.65313575e3, 2.38192600, 0.00000000
1.77121688e3, 2.38198900, 0.00000000
1.90746433e3, 2.38169900, 0.00000000
2.06641969e3, 2.38112600, 0.00000000
2.25427602e3, 2.38052300, 0.00000000
2.47970363e3, 2.38003700, 0.00000000
