wavelength (nm), n, k
5.36732387e1, 6.87000000e-1, 2.47000000e-1
5.39066006e1, 6.80000000e-1, 2.46000000e-1
5.41420006e1, 6.72000000e-1, 2.46000000e-1
5.43794655e1, 6.65000000e-1, 1.45000000e-1
5.46190226e1, 6.57000000e-1, 2.44000000e-1
5.48606997e1, 6.49000000e-1, 2.43000000e-1
5.51045250e1, 6.40000000e-1, 2.41000000e-1
5.53505274e1, 6.31000000e-1, 2.40000000e-1
5.55987360e1, 6.23000000e-1, 2.40000000e-1
5.58491808e1, 6.14000000e-1, 2.39000000e-1
5.61018920e1, 6.06000000e-1, 2.39000000e-1
5.63569006e1, 5.98000000e-1, 2.40000000e-1
5.66142380e1, 5.90000000e-1, 2.41000000e-1
5.68739364e1, 5.82000000e-1, 2.42000000e-1
5.71360282e1, 5.75000000e-1, 2.44000000e-1
5.74005469e1, 5.68000000e-1, 2.45000000e-1
5.76675262e1, 5.61000000e-1, 2.47000000e-1
5.79370006e1, 5.53000000e-1, 2.49000000e-1
5.82090053e1, 5.44000000e-1, 2.50000000e-1
5.84835761e1, 5.35000000e-1, 2.52000000e-1
5.87607494e1, 5.26000000e-1, 2.54000000e-1
5.90405625e1, 5.17000000e-1, 2.58000000e-1
5.93230532e1, 5.09000000e-1, 2.62000000e-1
5.96082602e1, 5.00000000e-1, 2.67000000e-1
5.98962228e1, 4.92000000e-1, 2.72000000e-1
6.01869812e1, 4.83000000e-1, 2.77000000e-1
6.04805762e1, 4.75000000e-1, 2.83000000e-1
6.07770497e1, 4.66000000e-1, 2.89000000e-1
6.10764440e1, 4.57000000e-1, 2.95000000e-1
6.13788026e1, 4.48000000e-1, 3.03000000e-1
6.16841698e1, 4.39000000e-1, 3.10000000e-1
6.19925906e1, 4.31000000e-1, 3.18000000e-1
6.23041112e1, 4.23000000e-1, 3.28000000e-1
6.26187784e1, 4.16000000e-1, 3.38000000e-1
6.29366402e1, 4.10000000e-1, 3.49000000e-1
6.32577456e1, 4.05000000e-1, 3.60000000e-1
6.35821443e1, 4.00000000e-1, 3.71000000e-1
6.39098873e1, 3.96000000e-1, 3.82000000e-1
6.42410266e1, 3.93000000e-1, 3.94000000e-1
6.45756153e1, 3.90000000e-1, 4.06000000e-1
6.49137075e1, 3.87000000e-1, 4.18000000e-1
6.52553586e1, 3.85000000e-1, 4.30000000e-1
6.56006250e1, 3.84000000e-1, 4.43000000e-1
6.59495645e1, 3.82000000e-1, 4.56000000e-1
6.63022360e1, 3.81000000e-1, 4.70000000e-1
6.66586996e1, 3.80000000e-1, 4.83000000e-1
6.70190169e1, 3.79000000e-1, 4.96000000e-1
6.73832507e1, 3.80000000e-1, 5.09000000e-1
6.77514652e1, 3.82000000e-1, 5.21000000e-1
6.81237260e1, 3.84000000e-1, 5.32000000e-1
6.85001002e1, 3.88000000e-1, 5.43000000e-1
6.88806563e1, 3.92000000e-1, 5.53000000e-1
6.92654644e1, 3.96000000e-1, 5.63000000e-1
6.96545962e1, 4.01000000e-1, 5.72000000e-1
7.00481250e1, 4.06000000e-1, 5.80000000e-1
7.04461257e1, 4.11000000e-1, 5.88000000e-1
7.08486750e1, 4.15000000e-1, 5.97000000e-1
7.12558513e1, 4.20000000e-1, 6.05000000e-1
7.16677349e1, 4.23000000e-1, 6.14000000e-1
7.20844077e1, 4.24000000e-1, 6.23000000e-1
7.25059540e1, 4.24000000e-1, 6.32000000e-1
7.29324596e1, 4.23000000e-1, 6.43000000e-1
7.33640126e1, 4.21000000e-1, 6.55000000e-1
7.38007031e1, 4.17000000e-1, 6.67000000e-1
7.42426235e1, 4.13000000e-1, 6.81000000e-1
7.46898682e1, 4.07000000e-1, 6.95000000e-1
7.51425341e1, 4.02000000e-1, 7.11000000e-1
7.56007203e1, 3.95000000e-1, 7.29000000e-1
7.60645284e1, 3.89000000e-1, 7.48000000e-1
7.65340625e1, 3.83000000e-1, 7.69000000e-1
7.70094294e1, 3.79000000e-1, 7.90000000e-1
7.74907383e1, 3.75000000e-1, 8.12000000e-1
7.79781014e1, 3.74000000e-1, 8.33000000e-1
7.84716337e1, 3.74000000e-1, 8.54000000e-1
7.89714531e1, 3.76000000e-1, 8.74000000e-1
7.94776803e1, 3.79000000e-1, 8.93000000e-1
7.99904395e1, 3.82000000e-1, 9.11000000e-1
8.05098580e1, 3.85000000e-1, 9.29000000e-1
8.10360662e1, 3.89000000e-1, 9.46000000e-1
8.15691982e1, 3.92000000e-1, 9.64000000e-1
8.21093916e1, 3.95000000e-1, 9.83000000e-1
8.26567875e1, 3.98000000e-1, 1.00100000
8.32115311e1, 4.02000000e-1, 1.01800000
8.37737711e1, 4.07000000e-1, 1.03400000
8.43436607e1, 4.13000000e-1, 1.04800000
8.49213570e1, 4.21000000e-1, 1.05800000
8.55070216e1, 4.28000000e-1, 1.06500000
8.61008203e1, 4.36000000e-1, 1.06700000
8.67029240e1, 4.42000000e-1, 1.06600000
8.73135080e1, 4.48000000e-1, 1.06000000
8.79327527e1, 4.51000000e-1, 1.04900000
8.85608438e1, 4.54000000e-1, 1.03400000
8.91979722e1, 4.54000000e-1, 1.01400000
8.98443343e1, 4.52000000e-1, 9.93000000e-1
9.05001323e1, 4.48000000e-1, 9.70000000e-1
9.11655745e1, 4.40000000e-1, 9.48000000e-1
9.18408750e1, 4.19000000e-1, 9.24000000e-1
9.25262547e1, 4.15000000e-1, 8.99000000e-1
9.32219408e1, 3.99000000e-1, 8.72000000e-1
9.39281676e1, 3.83000000e-1, 8.40000000e-1
9.46451766e1, 3.66000000e-1, 8.05000000e-1
9.53732164e1, 3.50000000e-1, 7.66000000e-1
9.61125436e1, 3.36000000e-1, 7.22000000e-1
9.68634229e1, 3.25000000e-1, 6.75000000e-1
9.76261270e1, 3.15000000e-1, 6.25000000e-1
9.84009375e1, 3.07000000e-1, 5.74000000e-1
9.91881450e1, 3.01000000e-1, 5.22000000e-1
9.99880494e1, 2.96000000e-1, 4.71000000e-1
1.00800960e2, 2.92000000e-1, 4.21000000e-1
1.01627198e2, 2.91000000e-1, 3.73000000e-1
1.02467092e2, 2.92000000e-1, 3.29000000e-1
1.03320984e2, 2.96000000e-1, 2.90000000e-1
1.04189228e2, 3.03000000e-1, 2.58000000e-1
1.05072188e2, 3.09000000e-1, 2.33000000e-1
1.05970240e2, 3.14000000e-1, 2.13000000e-1
1.06883777e2, 3.14000000e-1, 2.01000000e-1
