wavelength (nm), n, k
2.34000000e2, 1.52390000, 3.37010000
2.36000000e2, 1.57230000, 3.44730000
2.38000000e2, 1.58760000, 3.56670000
2.40000000e2, 1.65530000, 3.66130000
2.42000000e2, 1.76010000, 3.78910000
2.44000000e2, 1.89070000, 3.92310000
2.46000000e2, 2.07510000, 4.04440000
2.48000000e2, 2.29620000, 4.13910000
2.50000000e2, 2.54660000, 4.17750000
2.52000000e2, 2.79260000, 4.16680000
2.54000000e2, 3.02110000, 4.09170000
2.56000000e2, 3.22280000, 3.98290000
2.58000000e2, 3.37860000, 3.86210000
2.60000000e2, 3.50970000, 3.74840000
2.62000000e2, 3.61740000, 3.61700000
2.64000000e2, 3.68730000, 3.49340000
2.66000000e2, 3.75460000, 3.38880000
2.68000000e2, 3.82230000, 3.27250000
2.70000000e2, 3.86560000, 3.17520000
2.72000000e2, 3.90040000, 3.07870000
2.74000000e2, 3.95530000, 2.98380000
2.76000000e2, 3.99580000, 2.88430000
2.78000000e2, 4.03650000, 2.77160000
2.80000000e2, 4.05260000, 2.64830000
2.82000000e2, 4.04920000, 2.53880000
2.84000000e2, 4.02910000, 2.42970000
2.86000000e2, 4.00030000, 2.34080000
2.88000000e2, 3.96470000, 2.26210000
2.90000000e2, 3.92660000, 2.20520000
2.92000000e2, 3.89310000, 2.14560000
2.94000000e2, 3.85160000, 2.09910000
2.96000000e2, 3.81450000, 2.06140000
2.98000000e2, 3.77710000, 2.03080000
3.00000000e2, 3.74340000, 2.00420000
3.02000000e2, 3.70900000, 1.98520000
3.04000000e2, 3.68090000, 1.96950000
3.06000000e2, 3.65450000, 1.95820000
3.08000000e2, 3.62930000, 1.94830000
3.10000000e2, 3.60970000, 1.93820000
3.12000000e2, 3.59100000, 1.93140000
3.14000000e2, 3.57510000, 1.92790000
3.16000000e2, 3.55200000, 1.92930000
3.18000000e2, 3.54680000, 1.92630000
3.20000000e2, 3.53500000, 1.92650000
3.22000000e2, 3.52680000, 1.92570000
3.24000000e2, 3.52380000, 1.92400000
3.26000000e2, 3.51190000, 1.93050000
3.28000000e2, 3.50670000, 1.93490000
3.30000000e2, 3.50140000, 1.93880000
3.32000000e2, 3.50090000, 1.94130000
3.34000000e2, 3.50370000, 1.94580000
3.36000000e2, 3.49900000, 1.95330000
3.38000000e2, 3.50110000, 1.95940000
3.40000000e2, 3.50390000, 1.96620000
3.42000000e2, 3.50930000, 1.97290000
3.44000000e2, 3.51240000, 1.98170000
3.46000000e2, 3.51520000, 1.99370000
3.48000000e2, 3.52040000, 2.00390000
3.50000000e2, 3.52990000, 2.01060000
3.52000000e2, 3.53760000, 2.02140000
3.54000000e2, 3.54590000, 2.03200000
3.56000000e2, 3.55290000, 2.04520000
3.58000000e2, 3.56600000, 2.05560000
3.60000000e2, 3.58110000, 2.06770000
3.62000000e2, 3.59340000, 2.08120000
3.64000000e2, 3.60790000, 2.09560000
3.66000000e2, 3.62650000, 2.10990000
3.68000000e2, 3.63920000, 2.12510000
3.70000000e2, 3.66110000, 2.14150000
3.72000000e2, 3.68150000, 2.15640000
3.74000000e2, 3.70490000, 2.17400000
3.76000000e2, 3.72960000, 2.19220000
3.78000000e2, 3.75950000, 2.20810000
3.80000000e2, 3.79040000, 2.23380000
3.82000000e2, 3.83270000, 2.25820000
3.84000000e2, 3.87280000, 2.28570000
3.86000000e2, 3.91930000, 2.30440000
3.88000000e2, 3.98630000, 2.32360000
3.90000000e2, 4.06410000, 2.33600000
3.92000000e2, 4.15130000, 2.33120000
3.94000000e2, 4.24010000, 2.30350000
3.96000000e2, 4.31580000, 2.25870000
3.98000000e2, 4.37610000, 2.20370000
4.00000000e2, 4.42080000, 2.14740000
4.02000000e2, 4.45160000, 2.09320000
4.04000000e2, 4.47470000, 2.04700000
4.06000000e2, 4.48920000, 2.00900000
4.08000000e2, 4.50490000, 1.97990000
4.10000000e2, 4.51650000, 1.96100000
4.12000000e2, 4.53370000, 1.94790000
4.14000000e2, 4.55910000, 1.94250000
4.16000000e2, 4.59130000, 1.94820000
4.18000000e2, 4.63900000, 1.95910000
4.20000000e2, 4.72390000, 1.96270000
4.22000000e2, 4.82570000, 1.94070000
4.24000000e2, 4.93310000, 1.88890000
4.26000000e2, 5.06360000, 1.73560000
4.28000000e2, 5.11480000, 1.61500000
4.30000000e2, 5.13480000, 1.49120000
4.32000000e2, 5.13410000, 1.37100000
4.34000000e2, 5.11480000, 1.26730000
4.36000000e2, 5.08900000, 1.18040000
4.38000000e2, 5.05730000, 1.10330000
4.40000000e2, 5.02020000, 1.03450000
4.42000000e2, 4.98030000, 9.72900000e-1
4.44000000e2, 4.94170000, 9.19000000e-1
4.46000000e2, 4.90470000, 8.71300000e-1
4.48000000e2, 4.86720000, 8.29600000e-1
4.50000000e2, 4.84220000, 7.94400000e-1
4.52000000e2, 4.80936100, 7.61540000e-1
4.54000000e2, 4.77776700, 7.31416000e-1
4.56000000e2, 4.74730200, 7.03772000e-1
4.58000000e2, 4.71785100, 6.78352000e-1
4.60000000e2, 4.68930000, 6.54900000e-1
4.62000000e2, 4.66119700, 6.32902000e-1
4.64000000e2, 4.63414700, 6.12655000e-1
4.66000000e2, 4.60859700, 5.94408000e-1
4.68000000e2, 4.58463800, 5.77988000e-1
4.70000000e2, 4.56200000, 5.62800000e-1
4.72000000e2, 4.54095800, 5.48186000e-1
4.74000000e2, 4.52064300, 5.34349000e-1
4.76000000e2, 4.50016500, 5.21235000e-1
4.78000000e2, 4.47940200, 5.08758000e-1
4.80000000e2, 4.45900000, 4.96800000e-1
4.82000000e2, 4.43949100, 4.84972000e-1
4.84000000e2, 4.42056200, 4.73784000e-1
4.86000000e2, 4.40191700, 4.63691000e-1
4.88000000e2, 4.38376100, 4.54685000e-1
4.90000000e2, 4.36680000, 4.46300000e-1
4.92000000e2, 4.35246100, 4.38075000e-1
4.94000000e2, 4.33911000, 4.30254000e-1
4.96000000e2, 4.32577900, 4.22950000e-1
4.98000000e2, 4.31211900, 4.16089000e-1
5.00000000e2, 4.29840000, 4.09400000e-1
5.02000000e2, 4.28424400, 4.02465000e-1
5.04000000e2, 4.27034400, 3.95638000e-1
5.06000000e2, 4.25736900, 3.89023000e-1
5.08000000e2, 4.24535300, 3.82734000e-1
5.10000000e2, 4.23370000, 3.76900000e-1
5.12000000e2, 4.22167300, 3.72028000e-1
5.14000000e2, 4.20996200, 3.67412000e-1
5.16000000e2, 4.19897200, 3.62476000e-1
5.18000000e2, 4.18877200, 3.57156000e-1
5.20000000e2, 4.17910000, 3.51900000e-1
5.22000000e2, 4.16995500, 3.47062000e-1
5.24000000e2, 4.16103700, 3.42487000e-1
5.26000000e2, 4.15214500, 3.38235000e-1
5.28000000e2, 4.14307100, 3.34258000e-1
5.30000000e2, 4.13360000, 3.30400000e-1
5.32000000e2, 4.12274200, 3.26401000e-1
5.34000000e2, 4.11195600, 3.22495000e-1
5.36000000e2, 4.10241900, 3.18854000e-1
5.38000000e2, 4.09431100, 3.15459000e-1
5.40000000e2, 4.08680000, 3.12100000e-1
5.42000000e2, 4.07937700, 3.08414000e-1
5.44000000e2, 4.07211000, 3.04815000e-1
5.46000000e2, 4.06479300, 3.01645000e-1
5.48000000e2, 4.05740200, 2.98894000e-1
5.50000000e2, 4.05010000, 2.96200000e-1
5.52000000e2, 4.04305900, 2.93059000e-1
5.54000000e2, 4.03613300, 2.89970000e-1
5.56000000e2, 4.02921100, 2.87328000e-1
5.58000000e2, 4.02231500, 2.85096000e-1
5.60000000e2, 4.01560000, 2.82800000e-1
5.62000000e2, 4.00921900, 2.79691000e-1
5.64000000e2, 4.00312900, 2.76570000e-1
5.66000000e2, 3.99744900, 2.74085000e-1
5.68000000e2, 3.99209900, 2.72202000e-1
5.70000000e2, 3.98680000, 2.70200000e-1
5.72000000e2, 3.98132200, 2.66991000e-1
5.74000000e2, 3.97559500, 2.63722000e-1
5.76000000e2, 3.96922500, 2.61223000e-1
5.78000000e2, 3.96236200, 2.59534000e-1
5.80000000e2, 3.95570000, 2.57900000e-1
5.82000000e2, 3.95015000, 2.55435000e-1
5.84000000e2, 3.94508900, 2.52910000e-1
5.86000000e2, 3.94039600, 2.50774000e-1
5.88000000e2, 3.93592400, 2.49065000e-1
5.90000000e2, 3.93150000, 2.47400000e-1
5.92000000e2, 3.92660500, 2.45344000e-1
5.94000000e2, 3.92184900, 2.43288000e-1
5.96000000e2, 3.91787300, 2.41488000e-1
5.98000000e2, 3.91453400, 2.39944000e-1
6.00000000e2, 3.91090000, 2.38400000e-1
6.02000000e2, 3.90538700, 2.36543000e-1
6.04000000e2, 3.89970200, 2.34642000e-1
6.06000000e2, 3.89494100, 2.32833000e-1
6.08000000e2, 3.89132600, 2.31146000e-1
6.10000000e2, 3.88820000, 2.29500000e-1
6.12000000e2, 3.88526800, 2.27831000e-1
6.14000000e2, 3.88248000, 2.26198000e-1
6.16000000e2, 3.87976900, 2.24702000e-1
6.18000000e2, 3.87694500, 2.23279000e-1
6.20000000e2, 3.87370000, 2.21700000e-1
6.22000000e2, 3.86932300, 2.19470000e-1
6.24000000e2, 3.86454900, 2.17185000e-1
6.26000000e2, 3.85951700, 2.15265000e-1
6.28000000e2, 3.85463800, 2.13790000e-1
6.30000000e2, 3.85060000, 2.12500000e-1
6.32000000e2, 3.84938800, 2.11329000e-1
6.34000000e2, 3.84848000, 2.10138000e-1
6.36000000e2, 3.84583100, 2.08695000e-1
6.38000000e2, 3.84131000, 2.07002000e-1
6.40000000e2, 3.83670000, 2.05300000e-1
6.42000000e2, 3.83383900, 2.03833000e-1
6.44000000e2, 3.83138200, 2.02458000e-1
6.46000000e2, 3.82878000, 2.01202000e-1
6.48000000e2, 3.82591600, 2.00001000e-1
6.50000000e2, 3.82310000, 1.98700000e-1
6.52000000e2, 3.82054000, 1.96978000e-1
6.54000000e2, 3.81809200, 1.95183000e-1
6.56000000e2, 3.81579100, 1.93522000e-1
6.58000000e2, 3.81353800, 1.92057000e-1
6.60000000e2, 3.81110000, 1.90700000e-1
6.62000000e2, 3.80776100, 1.89557000e-1
6.64000000e2, 3.80453100, 1.88362000e-1
6.66000000e2, 3.80237800, 1.86768000e-1
6.68000000e2, 3.80125700, 1.84828000e-1
6.70000000e2, 3.80010000, 1.83000000e-1
6.72000000e2, 3.79747200, 1.81943000e-1
6.74000000e2, 3.79470000, 1.81050000e-1
6.76000000e2, 3.79258400, 1.80025000e-1
6.78000000e2, 3.79122000, 1.78754000e-1
6.80000000e2, 3.79000000, 1.77300000e-1
6.82000000e2, 3.78841600, 1.75582000e-1
6.84000000e2, 3.78675200, 1.73695000e-1
6.86000000e2, 3.78508500, 1.71638000e-1
6.88000000e2, 3.78340200, 1.69489000e-1
6.90000000e2, 3.78160000, 1.67400000e-1
6.92000000e2, 3.77955000, 1.65739000e-1
6.94000000e2, 3.77734900, 1.64082000e-1
6.96000000e2, 3.77491500, 1.62152000e-1
6.98000000e2, 3.77238100, 1.59880000e-1
7.00000000e2, 3.77010000, 1.57400000e-1
7.02000000e2, 3.76880800, 1.54638000e-1
7.04000000e2, 3.76769200, 1.51853000e-1
7.06000000e2, 3.76642900, 1.49263000e-1
7.08000000e2, 3.76470200, 1.46958000e-1
7.10000000e2, 3.76220000, 1.44900000e-1
7.12000000e2, 3.75741800, 1.43214000e-1
7.14000000e2, 3.75259700, 1.41711000e-1
7.16000000e2, 3.74985600, 1.40237000e-1
7.18000000e2, 3.74917600, 1.38766000e-1
7.20000000e2, 3.74840000, 1.37400000e-1
7.22000000e2, 3.74479900, 1.36324000e-1
7.24000000e2, 3.74080200, 1.35264000e-1
7.26000000e2, 3.73777000, 1.33974000e-1
7.28000000e2, 3.73591700, 1.32443000e-1
7.30000000e2, 3.73430000, 1.30900000e-1
7.32000000e2, 3.73217400, 1.29475000e-1
7.34000000e2, 3.72999100, 1.28230000e-1
7.36000000e2, 3.72791300, 1.27406000e-1
7.38000000e2, 3.72591900, 1.26929000e-1
7.40000000e2, 3.72380000, 1.26400000e-1
7.42000000e2, 3.72126700, 1.25258000e-1
7.44000000e2, 3.71857800, 1.23963000e-1
7.46000000e2, 3.71577900, 1.22690000e-1
7.48000000e2, 3.71299100, 1.21533000e-1
7.50000000e2, 3.71040000, 1.20500000e-1
7.52000000e2, 3.70838600, 1.19755000e-1
7.54000000e2, 3.70662100, 1.19110000e-1
7.56000000e2, 3.70492600, 1.18486000e-1
7.58000000e2, 3.70327700, 1.17809000e-1
7.60000000e2, 3.70180000, 1.17000000e-1
7.62000000e2, 3.70082200, 1.15765000e-1
7.64000000e2, 3.69980500, 1.14494000e-1
7.66000000e2, 3.69817000, 1.13458000e-1
7.68000000e2, 3.69597300, 1.12731000e-1
7.70000000e2, 3.69390000, 1.12200000e-1
7.72000000e2, 3.69292800, 1.12007000e-1
7.74000000e2, 3.69213200, 1.11786000e-1
7.76000000e2, 3.69098700, 1.11132000e-1
7.78000000e2, 3.68937800, 1.10040000e-1
7.80000000e2, 3.68760000, 1.08900000e-1
7.82000000e2, 3.68551200, 1.08274000e-1
7.84000000e2, 3.68369600, 1.07561000e-1
7.86000000e2, 3.68306100, 1.06205000e-1
7.88000000e2, 3.68340200, 1.04302000e-1
7.90000000e2, 3.68340000, 1.02600000e-1
7.92000000e2, 3.68078800, 1.02178000e-1
7.94000000e2, 3.67803200, 1.02053000e-1
7.96000000e2, 3.67698800, 1.01678000e-1
7.98000000e2, 3.67772000, 1.00949000e-1
8.00000000e2, 3.67850000, 1.00200000e-1
8.02000000e2, 3.67748800, 9.99110000e-2
8.04000000e2, 3.67601200, 9.94180000e-2
8.06000000e2, 3.67459300, 9.79060000e-2
8.08000000e2, 3.67335100, 9.55890000e-2
8.10000000e2, 3.67200000, 9.37000000e-2
8.12000000e2, 3.67037300, 9.41950000e-2
8.14000000e2, 3.66856600, 9.51580000e-2
8.16000000e2, 3.66641100, 9.55500000e-2
8.18000000e2, 3.66410200, 9.50410000e-2
8.20000000e2, 3.66220000, 9.40000000e-2
8.22000000e2, 3.66144600, 9.21620000e-2
8.24000000e2, 3.66143700, 9.01570000e-2
8.26000000e2, 3.66278100, 8.86100000e-2
8.28000000e2, 3.66479500, 8.75870000e-2
8.30000000e2, 3.66550000, 8.66000000e-2
8.32000000e2, 3.66065300, 8.49220000e-2
8.34000000e2, 3.65516200, 8.34450000e-2
8.36000000e2, 3.65102600, 8.25470000e-2
8.38000000e2, 3.65023900, 8.26060000e-2
8.40000000e2, 3.65480000, 8.40000000e-2
