wavelength (nm), n, k
2.75829102e2, 3.17910000, 3.29140000
2.76752637e2, 3.22110000, 3.27460000
2.77682377e2, 3.25610000, 3.25640000
2.78618385e2, 3.29480000, 3.23550000
2.79560724e2, 3.34370000, 3.21120000
2.80509460e2, 3.38430000, 3.17200000
2.81464657e2, 3.43320000, 3.13220000
2.82426381e2, 3.45980000, 3.10170000
2.83394700e2, 3.47390000, 3.07140000
2.84369682e2, 3.49610000, 3.03080000
2.85351395e2, 3.53050000, 2.99510000
2.86339911e2, 3.55010000, 2.96140000
2.87335298e2, 3.56910000, 2.93190000
2.88337631e2, 3.58860000, 2.90350000
2.89346981e2, 3.61580000, 2.86590000
2.90363422e2, 3.63590000, 2.82160000
2.91387030e2, 3.65800000, 2.78480000
2.92417880e2, 3.66470000, 2.74840000
2.93456050e2, 3.67200000, 2.71560000
2.94501618e2, 3.68240000, 2.68420000
2.95554663e2, 3.69490000, 2.64700000
2.96615266e2, 3.69210000, 2.61520000
2.97683509e2, 3.69340000, 2.58450000
2.98759473e2, 3.68890000, 2.55500000
2.99843244e2, 3.69560000, 2.52370000
3.00934906e2, 3.69640000, 2.49380000
3.02034546e2, 3.69920000, 2.47130000
3.03142253e2, 3.69960000, 2.44640000
3.04258114e2, 3.70790000, 2.42460000
3.05382220e2, 3.71340000, 2.40250000
3.06514663e2, 3.71340000, 2.37730000
3.07655537e2, 3.71090000, 2.35500000
3.08804935e2, 3.70670000, 2.33160000
3.09962953e2, 3.70030000, 2.30420000
3.11129690e2, 3.69530000, 2.28150000
3.12305243e2, 3.68450000, 2.25660000
3.13489712e2, 3.68080000, 2.23300000
3.14683201e2, 3.67880000, 2.20980000
3.15885812e2, 3.68170000, 2.19500000
3.17097650e2, 3.68000000, 2.18340000
3.18318822e2, 3.67440000, 2.17350000
3.19549436e2, 3.67020000, 2.16380000
3.20789602e2, 3.66660000, 2.15350000
3.22039432e2, 3.66410000, 2.13640000
3.23299039e2, 3.65800000, 2.11910000
3.24568537e2, 3.64820000, 2.10470000
3.25848045e2, 3.64150000, 2.08970000
3.27137682e2, 3.64280000, 2.07380000
3.28437566e2, 3.63910000, 2.06840000
3.29747823e2, 3.63540000, 2.05620000
3.31068575e2, 3.63230000, 2.04730000
3.32399950e2, 3.63220000, 2.03980000
3.33742076e2, 3.63050000, 2.03340000
3.35095085e2, 3.62910000, 2.02520000
3.36459108e2, 3.62680000, 2.01640000
3.37834281e2, 3.62360000, 2.01290000
3.39220742e2, 3.62370000, 2.00580000
3.40618630e2, 3.62890000, 1.99910000
3.42028086e2, 3.62700000, 1.99450000
3.43449256e2, 3.62760000, 1.98360000
3.44882285e2, 3.62810000, 1.97770000
3.46327322e2, 3.62880000, 1.97240000
3.47784520e2, 3.62800000, 1.96900000
3.49254032e2, 3.62740000, 1.96640000
3.50736015e2, 3.62820000, 1.96170000
3.52230629e2, 3.63000000, 1.95920000
3.53738035e2, 3.63080000, 1.95590000
3.55258399e2, 3.63090000, 1.95510000
3.56791889e2, 3.63050000, 1.95350000
3.58338674e2, 3.63040000, 1.95100000
3.59898930e2, 3.63320000, 1.94930000
3.61472832e2, 3.63570000, 1.94860000
3.63060560e2, 3.63930000, 1.94900000
3.64662298e2, 3.64260000, 1.94870000
3.66278231e2, 3.64770000, 1.94800000
3.67908550e2, 3.65320000, 1.94640000
3.69553446e2, 3.65820000, 1.94610000
