wavelength (nm), n, k
2.06641969e2, 1.99000000, 6.64000000e-1
2.08378456e2, 1.98756200, 6.56250000e-1
2.10144375e2, 1.99900000, 6.47000000e-1
2.11940481e2, 2.02168800, 6.35750000e-1
2.13767554e2, 2.05300000, 6.22000000e-1
2.15626402e2, 2.09018800, 6.05000000e-1
2.17517862e2, 2.13100000, 5.85000000e-1
2.19442799e2, 2.17325000, 5.62313000e-1
2.21402109e2, 2.21400000, 5.36000000e-1
2.23396723e2, 2.25212500, 5.06125000e-1
2.25427602e2, 2.28000000, 4.70000000e-1
2.27495745e2, 2.28612500, 4.22812000e-1
2.29602188e2, 2.28100000, 3.71000000e-1
2.31748002e2, 2.27100000, 3.18562000e-1
2.33934304e2, 2.25700000, 2.68000000e-1
2.36162250e2, 2.24200000, 2.23250000e-1
2.38433041e2, 2.22600000, 1.84000000e-1
2.40747925e2, 2.21018800, 1.52063000e-1
2.43108199e2, 2.19400000, 1.25000000e-1
2.45515210e2, 2.17687500, 1.00875000e-1
2.47970363e2, 2.16000000, 8.00000000e-2
2.50475114e2, 2.14475000, 6.20620000e-2
2.53030982e2, 2.13000000, 4.70000000e-2
2.55639549e2, 2.11525000, 3.46870000e-2
2.58302461e2, 2.10000000, 2.50000000e-2
2.61021434e2, 2.08325000, 1.79370000e-2
2.63798258e2, 2.06600000, 1.30000000e-2
2.66634798e2, 2.04887500, 9.75000000e-3
2.69533003e2, 2.03200000, 8.00000000e-3
2.72494904e2, 2.01531300, 7.81300000e-3
2.75522625e2, 2.00000000, 8.00000000e-3
2.78618385e2, 1.98762500, 7.12500000e-3
2.81784503e2, 1.97700000, 6.00000000e-3
2.85023405e2, 1.96756200, 4.87500000e-3
2.88337631e2, 1.95900000, 4.00000000e-3
2.91729838e2, 1.95062500, 3.87500000e-3
2.95202813e2, 1.94300000, 4.00000000e-3
2.98759473e2, 1.93668700, 3.93800000e-3
3.02402881e2, 1.93100000, 4.00000000e-3
3.06136250e2, 1.92550000, 4.56200000e-3
3.09962953e2, 1.92000000, 5.00000000e-3
3.13886535e2, 1.91393800, 4.56300000e-3
3.17910721e2, 1.90800000, 4.00000000e-3
3.22039432e2, 1.90287500, 4.00000000e-3
3.26276793e2, 1.89800000, 4.00000000e-3
3.30627150e2, 1.89293700, 3.50000000e-3
3.35095085e2, 1.88800000, 3.00000000e-3
3.39685428e2, 1.88343700, 3.00000000e-3
3.44403281e2, 1.87900000, 3.00000000e-3
3.49254032e2, 1.87443800, 2.56300000e-3
3.54243375e2, 1.87000000, 2.00000000e-3
3.59377337e2, 1.86600000, 1.43800000e-3
3.64662298e2, 1.86200000, 1.00000000e-3
3.70105019e2, 1.85750000, 9.37000000e-4
3.75712671e2, 1.85300000, 1.00000000e-3
3.81492866e2, 1.84887500, 1.06300000e-3
3.87453692e2, 1.84500000, 1.00000000e-3
3.93603750e2, 1.84150000, 5.00000000e-4
3.99952198e2, 1.83800000, 0.00000000
4.06508791e2, 1.83412500, 6.20000000e-5
4.13283938e2, 1.83000000, 0.00000000
4.20288750e2, 1.82556300, 0.00000000
4.27535108e2, 1.82100000, 0.00000000
4.35035724e2, 1.81643700, 0.00000000
4.42804219e2, 1.81200000, 0.00000000
4.50855205e2, 1.80787500, 0.00000000
4.59204375e2, 1.80400000, 0.00000000
4.67868609e2, 1.80043700, 0.00000000
4.76866082e2, 1.79700000, 0.00000000
4.86216397e2, 1.79325000, 0.00000000
4.95940725e2, 1.79000000, 0.00000000
5.06061964e2, 1.78825000, 0.00000000
5.16604922e2, 1.78700000, 0.00000000
5.27596516e2, 1.78537500, 0.00000000
5.39066006e2, 1.78400000, 0.00000000
5.51045250e2, 1.78343700, 0.00000000
5.63569006e2, 1.78300000, 0.00000000
5.76675262e2, 1.78200000, 0.00000000
5.90405625e2, 1.78100000, 0.00000000
6.04805762e2, 1.78056200, 0.00000000
6.19925906e2, 1.78000000, 0.00000000
6.35821443e2, 1.77862500, 0.00000000
6.52553586e2, 1.77700000, 0.00000000
6.70190169e2, 1.77550000, 0.00000000
6.88806563e2, 1.77400000, 0.00000000
7.08486750e2, 1.77250000, 0.00000000
7.29324596e2, 1.77100000, 0.00000000
7.51425341e2, 1.76950000, 0.00000000
7.74907383e2, 1.76800000, 0.00000000
7.99904395e2, 1.76650000, 0.00000000
8.26567875e2, 1.76500000, 0.00000000
8.55070216e2, 1.76343800, 0.00000000
8.85608438e2, 1.76200000, 0.00000000
9.18408750e2, 1.76093700, 0.00000000
9.53732164e2, 1.76000000, 0.00000000
9.91881450e2, 1.75900000, 0.00000000
1.03320984e3, 1.75800000, 0.00000000
1.07813201e3, 1.75693800, 0.00000000
1.12713801e3, 1.75600000, 0.00000000
1.18081125e3, 1.75531300, 0.00000000
1.23985181e3, 1.75500000, 0.00000000
