wavelength (nm), n, k
2.06641969e2, 2.05800000, 6.34300000e-1
2.10144375e2, 2.12700000, 6.16900000e-1
2.13767554e2, 2.19600000, 5.81400000e-1
2.17517862e2, 2.25600000, 5.27500000e-1
2.21402109e2, 2.30200000, 4.58700000e-1
2.25427602e2, 2.32800000, 3.81800000e-1
2.29602188e2, 2.33500000, 3.04600000e-1
2.33934304e2, 2.32400000, 2.33700000e-1
2.38433041e2, 2.30100000, 1.73000000e-1
2.43108199e2, 2.27100000, 1.23400000e-1
2.47970363e2, 2.23700000, 8.45200000e-2
2.53030982e2, 2.20300000, 5.47900000e-2
2.58302461e2, 2.16900000, 3.25300000e-2
2.63798258e2, 2.13800000, 1.61700000e-2
2.69533003e2, 2.10900000, 4.34500000e-3
2.75522625e2, 2.08300000, 0.00000000
2.81784503e2, 2.05800000, 0.00000000
2.88337631e2, 2.03600000, 0.00000000
2.95202813e2, 2.01600000, 0.00000000
3.02402881e2, 1.99800000, 0.00000000
3.09962953e2, 1.98200000, 0.00000000
3.17910721e2, 1.96700000, 0.00000000
3.26276793e2, 1.95300000, 0.00000000
3.35095085e2, 1.94000000, 0.00000000
3.44403281e2, 1.92800000, 0.00000000
3.54243375e2, 1.91800000, 0.00000000
3.64662298e2, 1.90800000, 0.00000000
3.75712671e2, 1.89800000, 0.00000000
3.87453692e2, 1.89000000, 0.00000000
3.99952198e2, 1.88100000, 0.00000000
4.13283938e2, 1.87400000, 0.00000000
4.27535108e2, 1.86700000, 0.00000000
4.42804219e2, 1.86000000, 0.00000000
4.59204375e2, 1.85400000, 0.00000000
4.76866082e2, 1.84800000, 0.00000000
4.95940725e2, 1.84200000, 0.00000000
5.16604922e2, 1.83700000, 0.00000000
5.39066006e2, 1.83200000, 0.00000000
5.63569006e2, 1.82700000, 0.00000000
5.90405625e2, 1.82200000, 0.00000000
6.19925906e2, 1.81700000, 0.00000000
6.52553586e2, 1.81300000, 0.00000000
6.88806563e2, 1.80900000, 0.00000000
7.29324596e2, 1.80500000, 0.00000000
7.74907383e2, 1.80100000, 0.00000000
