wavelength (nm), n, k
2.06641969e2, 9.10000000e-1, 2.28000000
2.07506580e2, 1.17405100, 2.58462400
2.08378456e2, 1.30331000, 2.73417600
2.09257690e2, 1.34022400, 2.79142300
2.10144375e2, 1.32960300, 2.80210400
2.11038606e2, 1.33096100, 2.83326100
2.11940481e2, 1.34014000, 2.86391100
2.12850097e2, 1.34112400, 2.89431500
2.13767554e2, 1.35202200, 2.92652600
2.14692955e2, 1.36016000, 2.96751600
2.15626402e2, 1.36132300, 3.01071000
2.16568002e2, 1.37462300, 3.06009700
2.17517862e2, 1.39316700, 3.10002800
2.18476090e2, 1.40282800, 3.14356000
2.19442799e2, 1.41258400, 3.19522300
2.20418100e2, 1.42639500, 3.24582000
2.21402109e2, 1.44359200, 3.30075100
2.22394944e2, 1.45622800, 3.35858100
2.23396723e2, 1.48165900, 3.41174700
2.24407568e2, 1.50776200, 3.48234100
2.25427602e2, 1.53552300, 3.56049100
2.26456952e2, 1.58158200, 3.63587800
2.27495745e2, 1.63745400, 3.71826700
2.28544113e2, 1.70376500, 3.79939300
2.29602188e2, 1.77986800, 3.88698500
2.30670105e2, 1.87250700, 3.97472100
2.31748002e2, 1.98032700, 4.05080700
2.32836021e2, 2.10392100, 4.11709000
2.33934304e2, 2.25087000, 4.16673800
2.35042998e2, 2.39817900, 4.19494100
2.36162250e2, 2.54794900, 4.20164300
2.37292213e2, 2.69544000, 4.19497400
2.38433041e2, 2.83092000, 4.17004400
2.39584891e2, 2.96387100, 4.13847200
2.40747925e2, 3.08855800, 4.10949900
2.41922305e2, 3.21961200, 4.05654000
2.43108199e2, 3.33731500, 3.97805600
2.44305776e2, 3.44172600, 3.89609900
2.45515210e2, 3.52710300, 3.80591200
2.46736679e2, 3.60000200, 3.71328600
2.47970363e2, 3.66274500, 3.62986200
2.49216445e2, 3.71504900, 3.55773600
2.50475114e2, 3.75642400, 3.47657200
2.51746561e2, 3.80703500, 3.41348700
2.53030982e2, 3.83857400, 3.36209400
2.54328577e2, 3.88884500, 3.31115200
2.55639549e2, 3.94002700, 3.24997300
2.56964106e2, 4.01124600, 3.17834200
2.58302461e2, 4.06233200, 3.09620100
2.59654830e2, 4.11235500, 3.00422500
2.61021434e2, 4.14290000, 2.91154900
2.62402500e2, 4.17187700, 2.80894500
2.63798258e2, 4.18056800, 2.70787500
2.65208944e2, 4.17912100, 2.61603400
2.66634798e2, 4.16723800, 2.52535400
2.68076068e2, 4.14491200, 2.44582000
2.69533003e2, 4.11144700, 2.37406000
2.71005861e2, 4.07228100, 2.30658100
2.72494904e2, 4.04216700, 2.25899600
2.74000401e2, 4.01151700, 2.21825500
2.75522625e2, 3.98086300, 2.17980400
2.77061858e2, 3.95020400, 2.15334200
2.78618385e2, 3.91904400, 2.12915900
2.80192500e2, 3.89197000, 2.10556700
2.81784503e2, 3.87217000, 2.09170300
2.83394700e2, 3.85173700, 2.07928900
2.85023405e2, 3.83130000, 2.07629100
2.86670939e2, 3.81086200, 2.06482800
2.88337631e2, 3.78919900, 2.05936700
2.90023816e2, 3.77937600, 2.06000000
2.91729838e2, 3.77539300, 2.06000000
2.93456050e2, 3.76456000, 2.06000000
2.95202813e2, 3.75370300, 2.05935900
2.96970494e2, 3.74942900, 2.06530200
2.98759473e2, 3.75000000, 2.07608900
3.00570136e2, 3.75000000, 2.08567200
3.02402881e2, 3.74937600, 2.10316500
3.04258114e2, 3.75625800, 2.11661600
3.06136250e2, 3.76696000, 2.13345900
3.08037717e2, 3.77717600, 2.15435200
3.09962953e2, 3.78683800, 2.17479200
3.11912406e2, 3.80431800, 2.19469400
3.13886535e2, 3.83365000, 2.22264100
3.15885812e2, 3.85546100, 2.26187300
3.17910721e2, 3.89249100, 2.30261500
3.19961758e2, 3.93314100, 2.35177300
3.22039432e2, 3.99107300, 2.41163800
3.24144265e2, 4.06945700, 2.48193600
3.26276793e2, 4.19701100, 2.56343000
3.28437566e2, 4.36734500, 2.62690500
3.30627150e2, 4.59916400, 2.65999800
3.32846124e2, 4.87412100, 2.61210000
3.35095085e2, 5.15010200, 2.44991300
3.37374643e2, 5.36335700, 2.19366200
3.39685428e2, 5.46165400, 1.88711600
3.42028086e2, 5.45870700, 1.60343700
3.44403281e2, 5.41340100, 1.37178700
3.46811696e2, 5.32017900, 1.18186800
3.49254032e2, 5.22823100, 1.03281700
3.51731011e2, 5.13602900, 9.13460000e-1
3.54243375e2, 5.04531800, 8.15161000e-1
3.56791889e2, 4.96579500, 7.33050000e-1
3.59377337e2, 4.89475300, 6.59609000e-1
3.62000529e2, 4.82323700, 6.18561000e-1
3.64662298e2, 4.75130800, 5.66128000e-1
3.67363500e2, 4.68199100, 5.20340000e-1
3.70105019e2, 4.62415800, 4.90854000e-1
3.72887763e2, 4.57367400, 4.60204000e-1
3.75712671e2, 4.52259200, 4.29045000e-1
3.78580706e2, 4.47096900, 4.02499000e-1
3.81492866e2, 4.42368400, 3.77776000e-1
3.84450175e2, 4.38345700, 3.55153000e-1
3.87453692e2, 4.34259100, 3.41937000e-1
3.90504508e2, 4.30112300, 3.20260000e-1
3.93603750e2, 4.26562100, 3.05195000e-1
3.96752580e2, 4.22997400, 2.89987000e-1
3.99952198e2, 4.19371700, 2.74796000e-1
4.03203842e2, 4.16368200, 2.59085000e-1
4.06508791e2, 4.13303300, 2.43757000e-1
4.09868368e2, 4.10173500, 2.34125000e-1
4.13283938e2, 4.07726100, 2.23907000e-1
4.16756912e2, 4.05801300, 2.13690000e-1
4.20288750e2, 4.02968100, 2.03474000e-1
4.23880962e2, 4.01290000, 1.93257000e-1
4.27535108e2, 3.99653500, 1.82440000e-1
4.31252804e2, 3.97563900, 1.81306000e-1
4.35035724e2, 3.95464800, 1.57906000e-1
4.38885597e2, 3.94307800, 1.42703000e-1
4.42804219e2, 3.91618900, 1.16189000e-1
4.46793446e2, 3.90226900, 1.04629000e-1
4.50855205e2, 3.87532200, 3.14620000e-2
4.54991491e2, 3.85357800, 3.41030000e-2
4.59204375e2, 3.81562400, 6.90600000e-2
4.63496005e2, 3.77433200, 1.62750000e-2
4.67868609e2, 3.73244500, 9.14400000e-3
4.72324500e2, 3.73035000, 1.00000000e-2
4.76866082e2, 3.69186800, 1.01340000e-2
4.81495850e2, 3.66053400, 1.79000000e-4
4.86216397e2, 3.63999500, 0.00000000
4.91030421e2, 3.62969800, 0.00000000
4.95940725e2, 3.60843600, 0.00000000
5.00950227e2, 3.56739100, 0.00000000
5.06061964e2, 3.54029200, 0.00000000
5.11279098e2, 3.54855200, 0.00000000
5.16604922e2, 3.52725900, 0.00000000
5.22042869e2, 3.52760400, 0.00000000
5.27596516e2, 3.54558200, 0.00000000
5.33269597e2, 3.45737800, 0.00000000
5.39066006e2, 3.46883200, 0.00000000
5.44989808e2, 3.45760100, 0.00000000
5.51045250e2, 3.44779100, 0.00000000
5.57236770e2, 3.43448300, 0.00000000
5.63569006e2, 3.41589100, 0.00000000
5.70046811e2, 3.41133200, 0.00000000
5.76675262e2, 3.39702500, 0.00000000
5.83459677e2, 3.36386500, 0.00000000
5.90405625e2, 3.35991500, 0.00000000
5.97518946e2, 3.35650300, 0.00000000
6.04805762e2, 3.34564300, 0.00000000
6.12272500e2, 3.33542700, 0.00000000
6.19925906e2, 3.32459500, 0.00000000
6.27773070e2, 3.32062700, 0.00000000
6.35821443e2, 3.31014600, 0.00000000
6.44078864e2, 3.29331600, 0.00000000
6.52553586e2, 3.29069500, 0.00000000
6.61254300e2, 3.27810500, 0.00000000
6.70190169e2, 3.26889700, 0.00000000
6.79370856e2, 3.27190000, 0.00000000
6.88806563e2, 3.24944300, 0.00000000
6.98508064e2, 3.24541900, 0.00000000
7.08486750e2, 3.25105700, 0.00000000
7.18754674e2, 3.24325300, 0.00000000
7.29324596e2, 3.23260400, 0.00000000
7.40210038e2, 3.22185100, 0.00000000
7.51425341e2, 3.21965600, 0.00000000
7.62985731e2, 3.22047200, 0.00000000
7.74907383e2, 3.21288600, 0.00000000
7.87207500e2, 3.18384400, 0.00000000
7.99904395e2, 3.17901100, 0.00000000
8.13017582e2, 3.18935000, 0.00000000
8.26567875e2, 3.18114800, 0.00000000
8.40577500e2, 3.17064600, 0.00000000
8.55070216e2, 3.16029300, 0.00000000
8.70071448e2, 3.16003300, 0.00000000
8.85608438e2, 3.14999200, 0.00000000
9.01710409e2, 3.13973800, 0.00000000
9.18408750e2, 3.12986300, 0.00000000
9.35737217e2, 3.13011000, 0.00000000
9.53732164e2, 3.12923100, 0.00000000
9.72432794e2, 3.12005300, 0.00000000
9.91881450e2, 3.11851600, 0.00000000
1.01212393e3, 3.09418300, 0.00000000
1.03320984e3, 3.05477500, 0.00000000
1.05519303e3, 3.04054200, 0.00000000
1.07813201e3, 3.05235600, 0.00000000
1.10209050e3, 3.06139100, 0.00000000
1.12713801e3, 3.06672000, 0.00000000
1.15335052e3, 3.07405500, 0.00000000
1.18081125e3, 3.08093200, 0.00000000
1.20961152e3, 3.08540500, 0.00000000
1.23985181e3, 3.08480000, 0.00000000
1.27164289e3, 3.08229000, 0.00000000
1.30510717e3, 3.07832800, 0.00000000
1.34038034e3, 3.07336400, 0.00000000
1.37761313e3, 3.06785000, 0.00000000
1.41697350e3, 3.06219700, 0.00000000
1.45864919e3, 3.05717500, 0.00000000
1.50285068e3, 3.05405800, 0.00000000
1.54981477e3, 3.05212700, 0.00000000
1.59980879e3, 3.05090400, 0.00000000
1.65313575e3, 3.05052600, 0.00000000
1.71014043e3, 3.04928300, 0.00000000
1.77121688e3, 3.04597200, 0.00000000
1.83681750e3, 3.04202800, 0.00000000
1.90746433e3, 3.03966300, 0.00000000
1.98376290e3, 3.03815300, 0.00000000
2.06641969e3, 3.03760400, 0.00000000
2.15626402e3, 3.03528600, 0.00000000
2.25427602e3, 3.03147200, 0.00000000
2.36162250e3, 3.02996300, 0.00000000
2.47970363e3, 3.02864000, 0.00000000
