wavelength (nm), n, k
2.06641969e2, 1.82500000, 5.33200000e-3
2.10144375e2, 1.81200000, 3.94700000e-3
2.13767554e2, 1.79900000, 2.78900000e-3
2.17517862e2, 1.78700000, 1.83300000e-3
2.21402109e2, 1.77500000, 1.05500000e-3
2.25427602e2, 1.76400000, 4.36000000e-4
2.29602188e2, 1.75400000, 0.00000000
2.33934304e2, 1.74400000, 0.00000000
2.38433041e2, 1.73400000, 0.00000000
2.43108199e2, 1.72500000, 0.00000000
2.47970363e2, 1.71600000, 0.00000000
2.53030982e2, 1.70700000, 0.00000000
2.58302461e2, 1.69900000, 0.00000000
2.63798258e2, 1.69200000, 0.00000000
2.69533003e2, 1.68400000, 0.00000000
2.75522625e2, 1.67700000, 0.00000000
2.81784503e2, 1.67100000, 0.00000000
2.88337631e2, 1.66400000, 0.00000000
2.95202813e2, 1.65800000, 0.00000000
3.02402881e2, 1.65300000, 0.00000000
3.09962953e2, 1.64700000, 0.00000000
3.17910721e2, 1.64200000, 0.00000000
3.26276793e2, 1.63700000, 0.00000000
3.35095085e2, 1.63300000, 0.00000000
3.44403281e2, 1.62800000, 0.00000000
3.54243375e2, 1.62400000, 0.00000000
3.64662298e2, 1.62000000, 0.00000000
3.75712671e2, 1.61700000, 0.00000000
3.87453692e2, 1.61300000, 0.00000000
3.99952198e2, 1.61000000, 0.00000000
4.13283938e2, 1.60700000, 0.00000000
4.27535108e2, 1.60400000, 0.00000000
4.42804219e2, 1.60100000, 0.00000000
4.59204375e2, 1.59900000, 0.00000000
4.76866082e2, 1.59600000, 0.00000000
4.95940725e2, 1.59400000, 0.00000000
5.16604922e2, 1.59200000, 0.00000000
5.39066006e2, 1.59000000, 0.00000000
5.63569006e2, 1.58900000, 0.00000000
5.90405625e2, 1.58700000, 0.00000000
6.19925906e2, 1.58600000, 0.00000000
6.52553586e2, 1.58400000, 0.00000000
6.88806563e2, 1.58300000, 0.00000000
7.29324596e2, 1.58200000, 0.00000000
7.74907383e2, 1.58100000, 0.00000000
