wavelength (nm), n, k
2.06641969e2, 9.35000000e-1, 2.41600000
2.08378456e2, 9.62625000e-1, 2.43000000
2.10144375e2, 9.85000000e-1, 2.44400000
2.11940481e2, 1.00412500, 2.45975000
2.13767554e2, 1.02200000, 2.47900000
2.15626402e2, 1.04025000, 2.50500000
2.17517862e2, 1.06200000, 2.53500000
2.19442799e2, 1.09168700, 2.56931200
2.21402109e2, 1.12700000, 2.60200000
2.23396723e2, 1.16812500, 2.62718700
2.25427602e2, 1.21200000, 2.64500000
2.27495745e2, 1.25793800, 2.65262500
2.29602188e2, 1.29900000, 2.65300000
2.31748002e2, 1.32675000, 2.64556200
2.33934304e2, 1.34500000, 2.63800000
2.36162250e2, 1.35325000, 2.63806300
2.38433041e2, 1.35600000, 2.64500000
2.40747925e2, 1.35700000, 2.66131200
2.43108199e2, 1.35800000, 2.68500000
2.45515210e2, 1.36250000, 2.71562500
2.47970363e2, 1.36900000, 2.75100000
2.50475114e2, 1.37737500, 2.78793800
2.53030982e2, 1.38700000, 2.82900000
2.55639549e2, 1.39637500, 2.87543800
2.58302461e2, 1.40800000, 2.92800000
2.61021434e2, 1.42362500, 2.98812500
2.63798258e2, 1.44400000, 3.05500000
2.66634798e2, 1.47056200, 3.12793700
2.69533003e2, 1.50300000, 3.20800000
2.72494904e2, 1.53962500, 3.29481200
2.75522625e2, 1.58600000, 3.39200000
2.78618385e2, 1.64306300, 3.50306300
2.81784503e2, 1.72300000, 3.62800000
2.85023405e2, 1.83125100, 3.77731300
2.88337631e2, 1.98900000, 3.92300000
2.91729838e2, 2.23600000, 4.05456300
2.95202813e2, 2.52200000, 4.13000000
2.98759473e2, 2.82243600, 4.08675000
3.02402881e2, 3.10000000, 3.97600000
3.06136250e2, 3.30049900, 3.81987600
3.09962953e2, 3.45000000, 3.64300000
3.13886535e2, 3.55181300, 3.47806300
3.17910721e2, 3.62000000, 3.32300000
3.22039432e2, 3.66818700, 3.18893700
3.26276793e2, 3.70100000, 3.06900000
3.30627150e2, 3.72793700, 2.96037500
3.35095085e2, 3.74800000, 2.86200000
3.39685428e2, 3.76325000, 2.77212500
3.44403281e2, 3.77400000, 2.69000000
3.49254032e2, 3.78056300, 2.61393800
3.54243375e2, 3.78500000, 2.54500000
3.59377337e2, 3.78931300, 2.48537500
3.64662298e2, 3.79400000, 2.43000000
3.70105019e2, 3.80206300, 2.37412500
3.75712671e2, 3.80800000, 2.31900000
3.81492866e2, 3.80700000, 2.26231200
3.87453692e2, 3.80000000, 2.21000000
3.93603750e2, 3.78462500, 2.16675000
3.99952198e2, 3.76600000, 2.13400000
4.06508791e2, 3.74712500, 2.11600000
4.13283938e2, 3.73200000, 2.10900000
4.20288750e2, 3.72587500, 2.11118800
4.27535108e2, 3.72800000, 2.12100000
4.35035724e2, 3.73900000, 2.13637500
4.42804219e2, 3.76000000, 2.15700000
4.50855205e2, 3.79075000, 2.18193700
4.59204375e2, 3.83600000, 2.21100000
4.67868609e2, 3.89425000, 2.24856200
4.76866082e2, 3.98400000, 2.28000000
4.86216397e2, 4.14468800, 2.30700000
4.95940725e2, 4.31200000, 2.28500000
5.06061964e2, 4.43431200, 2.13462500
5.16604922e2, 4.51300000, 1.96200000
5.27596516e2, 4.51325000, 1.85793700
5.39066006e2, 4.49200000, 1.78900000
5.51045250e2, 4.49368800, 1.75368800
5.63569006e2, 4.52100000, 1.74700000
5.76675262e2, 4.58077400, 1.79893700
5.90405625e2, 4.70500000, 1.80300000
6.04805762e2, 5.02663900, 1.77502100
6.19925906e2, 5.24960000, 1.37800000
6.35821443e2, 5.21238700, 1.06244600
6.52553586e2, 5.04350000, 8.29000000e-1
6.70190169e2, 4.93178700, 6.93563000e-1
6.88806563e2, 4.82470000, 6.11000000e-1
7.08486750e2, 4.73480000, 5.38688000e-1
7.29324596e2, 4.65560000, 4.85000000e-1
7.51425341e2, 4.58795600, 4.47125000e-1
7.74907383e2, 4.52240000, 4.16000000e-1
7.99904395e2, 4.44659800, 3.79006000e-1
8.26567875e2, 4.37000000, 3.44000000e-1
8.55070216e2, 4.29660700, 3.13723000e-1
8.85608438e2, 4.23042200, 2.90912000e-1
9.18408750e2, 4.17545000, 2.78307000e-1
9.53732164e2, 4.13569100, 2.78648000e-1
9.91881450e2, 4.11515000, 2.94672000e-1
