wavelength (nm), n, k
2.06641969e2, 1.89400000, 9.75300000e-1
2.10144375e2, 1.93100000, 9.76200000e-1
2.13767554e2, 1.97300000, 9.75100000e-1
2.17517862e2, 2.01900000, 9.71100000e-1
2.21402109e2, 2.07000000, 9.62700000e-1
2.25427602e2, 2.12600000, 9.48300000e-1
2.29602188e2, 2.18600000, 9.25900000e-1
2.33934304e2, 2.24900000, 8.93300000e-1
2.38433041e2, 2.31300000, 8.48400000e-1
2.43108199e2, 2.37400000, 7.89600000e-1
2.47970363e2, 2.42700000, 7.17000000e-1
2.53030982e2, 2.46800000, 6.32200000e-1
2.58302461e2, 2.49200000, 5.39500000e-1
2.63798258e2, 2.49800000, 4.44700000e-1
2.69533003e2, 2.48600000, 3.53800000e-1
2.75522625e2, 2.45800000, 2.71700000e-1
2.81784503e2, 2.42000000, 2.01500000e-1
2.88337631e2, 2.37600000, 1.44100000e-1
2.95202813e2, 2.32900000, 9.88800000e-2
3.02402881e2, 2.28300000, 6.45000000e-2
3.09962953e2, 2.23900000, 3.91200000e-2
3.17910721e2, 2.19900000, 2.09200000e-2
3.26276793e2, 2.16200000, 8.31200000e-3
3.35095085e2, 2.12900000, 0.00000000
3.44403281e2, 2.10000000, 0.00000000
3.54243375e2, 2.07400000, 0.00000000
3.64662298e2, 2.05200000, 0.00000000
3.75712671e2, 2.03300000, 0.00000000
3.87453692e2, 2.01600000, 0.00000000
3.99952198e2, 2.00200000, 0.00000000
4.13283938e2, 1.99000000, 0.00000000
4.27535108e2, 1.97900000, 0.00000000
4.42804219e2, 1.97100000, 0.00000000
4.59204375e2, 1.96300000, 0.00000000
4.76866082e2, 1.95700000, 0.00000000
4.95940725e2, 1.95300000, 0.00000000
5.16604922e2, 1.94900000, 0.00000000
5.39066006e2, 1.94600000, 0.00000000
5.63569006e2, 1.94400000, 0.00000000
5.90405625e2, 1.94200000, 0.00000000
6.19925906e2, 1.94100000, 0.00000000
6.52553586e2, 1.94100000, 0.00000000
6.88806563e2, 1.94100000, 0.00000000
7.29324596e2, 1.94200000, 0.00000000
7.74907383e2, 1.94300000, 0.00000000
