wavelength (nm), n, k
2.34000000e2, 1.44390000, 3.00940000
2.36000000e2, 1.47450000, 3.03650000
2.38000000e2, 1.42140000, 3.04660000
2.40000000e2, 1.41350000, 3.08460000
2.42000000e2, 1.43110000, 3.14360000
2.44000000e2, 1.44130000, 3.18060000
2.46000000e2, 1.45650000, 3.23160000
2.48000000e2, 1.47250000, 3.28610000
2.50000000e2, 1.48800000, 3.34340000
2.52000000e2, 1.50690000, 3.39440000
2.54000000e2, 1.52920000, 3.45550000
2.56000000e2, 1.55170000, 3.52080000
2.58000000e2, 1.57580000, 3.58360000
2.60000000e2, 1.60830000, 3.66030000
2.62000000e2, 1.64710000, 3.72890000
2.64000000e2, 1.68360000, 3.80620000
2.66000000e2, 1.72390000, 3.88450000
2.68000000e2, 1.78260000, 3.97650000
2.70000000e2, 1.84160000, 4.06850000
2.72000000e2, 1.90170000, 4.17210000
2.74000000e2, 1.99870000, 4.29240000
2.76000000e2, 2.10730000, 4.41220000
2.78000000e2, 2.26290000, 4.54520000
2.80000000e2, 2.46830000, 4.66460000
2.82000000e2, 2.71950000, 4.73100000
2.84000000e2, 2.99600000, 4.73060000
2.86000000e2, 3.24760000, 4.65620000
2.88000000e2, 3.46050000, 4.52970000
2.90000000e2, 3.62440000, 4.38530000
2.92000000e2, 3.75640000, 4.23390000
2.94000000e2, 3.83060000, 4.08710000
2.96000000e2, 3.89100000, 3.95350000
2.98000000e2, 3.92560000, 3.83560000
3.00000000e2, 3.95650000, 3.72490000
3.02000000e2, 3.97280000, 3.62700000
3.04000000e2, 3.98640000, 3.54080000
3.06000000e2, 3.98940000, 3.46570000
3.08000000e2, 3.99290000, 3.39840000
3.10000000e2, 4.00150000, 3.33290000
3.12000000e2, 4.00960000, 3.27300000
3.14000000e2, 4.01590000, 3.22180000
3.16000000e2, 4.00850000, 3.17960000
3.18000000e2, 4.01630000, 3.13520000
3.20000000e2, 4.01930000, 3.09780000
3.22000000e2, 4.02430000, 3.06190000
3.24000000e2, 4.03100000, 3.02470000
3.26000000e2, 4.03120000, 2.99260000
3.28000000e2, 4.03510000, 2.96030000
3.30000000e2, 4.03790000, 2.93230000
3.32000000e2, 4.04640000, 2.90430000
3.34000000e2, 4.05660000, 2.87580000
3.36000000e2, 4.05570000, 2.85270000
3.38000000e2, 4.06360000, 2.82760000
3.40000000e2, 4.06650000, 2.80220000
3.42000000e2, 4.07650000, 2.77900000
3.44000000e2, 4.08190000, 2.75780000
3.46000000e2, 4.08190000, 2.73960000
3.48000000e2, 4.09070000, 2.71950000
3.50000000e2, 4.10060000, 2.69700000
3.52000000e2, 4.10650000, 2.67870000
3.54000000e2, 4.11170000, 2.66290000
3.56000000e2, 4.11780000, 2.64530000
3.58000000e2, 4.12750000, 2.62690000
3.60000000e2, 4.13710000, 2.60950000
3.62000000e2, 4.14670000, 2.59150000
3.64000000e2, 4.16080000, 2.56960000
3.66000000e2, 4.17170000, 2.55260000
3.68000000e2, 4.18430000, 2.53250000
3.70000000e2, 4.18960000, 2.51420000
3.72000000e2, 4.20130000, 2.49440000
3.74000000e2, 4.21080000, 2.47150000
3.76000000e2, 4.22270000, 2.44620000
3.78000000e2, 4.23000000, 2.42300000
3.80000000e2, 4.23180000, 2.40050000
3.82000000e2, 4.23830000, 2.37540000
3.84000000e2, 4.23810000, 2.35510000
3.86000000e2, 4.24180000, 2.33200000
3.88000000e2, 4.24460000, 2.30860000
3.90000000e2, 4.24670000, 2.28510000
3.92000000e2, 4.24540000, 2.26320000
3.94000000e2, 4.23850000, 2.23860000
3.96000000e2, 4.23350000, 2.21840000
3.98000000e2, 4.23080000, 2.19540000
4.00000000e2, 4.22280000, 2.18060000
4.02000000e2, 4.21530000, 2.16530000
4.04000000e2, 4.20330000, 2.15150000
4.06000000e2, 4.19310000, 2.13960000
4.08000000e2, 4.18080000, 2.12950000
4.10000000e2, 4.16950000, 2.12230000
4.12000000e2, 4.15960000, 2.11620000
4.14000000e2, 4.15540000, 2.10810000
4.16000000e2, 4.14570000, 2.10580000
4.18000000e2, 4.13840000, 2.10150000
4.20000000e2, 4.13040000, 2.10180000
4.22000000e2, 4.12530000, 2.10200000
4.24000000e2, 4.11970000, 2.10350000
4.26000000e2, 4.10120000, 2.11080000
4.28000000e2, 4.09740000, 2.11280000
4.30000000e2, 4.09890000, 2.11560000
4.32000000e2, 4.09660000, 2.12190000
4.34000000e2, 4.09510000, 2.12720000
4.36000000e2, 4.09710000, 2.13170000
4.38000000e2, 4.09960000, 2.13650000
4.40000000e2, 4.10190000, 2.14340000
4.42000000e2, 4.10360000, 2.14980000
4.44000000e2, 4.10630000, 2.15740000
4.46000000e2, 4.11140000, 2.16280000
4.48000000e2, 4.11440000, 2.17060000
4.50000000e2, 4.12110000, 2.17670000
4.52000000e2, 4.12763600, 2.18417600
4.54000000e2, 4.13457000, 2.19165200
4.56000000e2, 4.14194500, 2.19916000
4.58000000e2, 4.14980700, 2.20673200
4.60000000e2, 4.15820000, 2.21440000
4.62000000e2, 4.16725300, 2.22215100
4.64000000e2, 4.17683000, 2.23011400
4.66000000e2, 4.18674000, 2.23863600
4.68000000e2, 4.19707300, 2.24753600
4.70000000e2, 4.20820000, 2.25610000
4.72000000e2, 4.22093300, 2.26317400
4.74000000e2, 4.23425400, 2.26982300
4.76000000e2, 4.24711800, 2.27659000
4.78000000e2, 4.25970100, 2.28364900
4.80000000e2, 4.27340000, 2.29080000
4.82000000e2, 4.29049800, 2.29781300
4.84000000e2, 4.30857900, 2.30514200
4.86000000e2, 4.32598800, 2.31347000
4.88000000e2, 4.34253500, 2.32258900
4.90000000e2, 4.35950000, 2.33140000
4.92000000e2, 4.37794500, 2.33823800
4.94000000e2, 4.39729800, 2.34462100
4.96000000e2, 4.41741300, 2.35145500
4.98000000e2, 4.43833500, 2.35884600
5.00000000e2, 4.46030000, 2.36610000
5.02000000e2, 4.48336500, 2.37265300
5.04000000e2, 4.50785100, 2.37878600
5.06000000e2, 4.53437400, 2.38442400
5.08000000e2, 4.56279300, 2.38966800
5.10000000e2, 4.59220000, 2.39480000
5.12000000e2, 4.62094100, 2.40065100
5.14000000e2, 4.65091200, 2.40604300
5.16000000e2, 4.68337000, 2.41042800
5.18000000e2, 4.71859700, 2.41328000
5.20000000e2, 4.75590000, 2.41410000
5.22000000e2, 4.79559700, 2.41192200
5.24000000e2, 4.83636400, 2.40720700
5.26000000e2, 4.87682000, 2.40065800
5.28000000e2, 4.91674600, 2.39158500
5.30000000e2, 4.95710000, 2.37790000
5.32000000e2, 5.00063600, 2.35542100
5.34000000e2, 5.04262100, 2.32874700
5.36000000e2, 5.07928000, 2.30037300
5.38000000e2, 5.10969200, 2.27141400
5.40000000e2, 5.13580000, 2.24160000
5.42000000e2, 5.15775200, 2.21070000
5.44000000e2, 5.17684000, 2.18053700
5.46000000e2, 5.19437300, 2.15307700
5.48000000e2, 5.21089700, 2.12869800
5.50000000e2, 5.22620000, 2.10620000
5.52000000e2, 5.23988100, 2.08454800
5.54000000e2, 5.25331800, 2.06467300
5.56000000e2, 5.26764500, 2.04731200
5.58000000e2, 5.28335600, 2.03234400
5.60000000e2, 5.30030000, 2.01880000
5.62000000e2, 5.31807000, 2.00553100
5.64000000e2, 5.33808700, 1.99328900
5.66000000e2, 5.36134200, 1.98306100
5.68000000e2, 5.38852100, 1.97415400
5.70000000e2, 5.42000000, 1.96420000
5.72000000e2, 5.45774000, 1.95215200
5.74000000e2, 5.49921000, 1.93544800
5.76000000e2, 5.54364900, 1.91080500
5.78000000e2, 5.58962000, 1.87734500
5.80000000e2, 5.63500000, 1.83660000
5.82000000e2, 5.67772200, 1.78818800
5.84000000e2, 5.71662900, 1.73395000
5.86000000e2, 5.74986900, 1.67479200
5.88000000e2, 5.77640200, 1.61207400
5.90000000e2, 5.79600000, 1.54760000
5.92000000e2, 5.80672000, 1.48366500
5.94000000e2, 5.81073600, 1.42031800
5.96000000e2, 5.80868100, 1.35822300
5.98000000e2, 5.80165100, 1.29823800
6.00000000e2, 5.79120000, 1.24140000
6.02000000e2, 5.78001900, 1.19014900
6.04000000e2, 5.76650600, 1.14223900
6.06000000e2, 5.74978900, 1.09630600
6.08000000e2, 5.73026600, 1.05220400
6.10000000e2, 5.70960000, 1.01100000
6.12000000e2, 5.68978000, 9.73908000e-1
6.14000000e2, 5.66978400, 9.39777000e-1
6.16000000e2, 5.64961800, 9.08093000e-1
6.18000000e2, 5.62914900, 8.78578000e-1
6.20000000e2, 5.60810000, 8.51200000e-1
6.22000000e2, 5.58588600, 8.26176000e-1
6.24000000e2, 5.56311900, 8.02560000e-1
6.26000000e2, 5.53969000, 7.79178000e-1
6.28000000e2, 5.51616700, 7.56051000e-1
6.30000000e2, 5.49380000, 7.34400000e-1
6.32000000e2, 5.47505900, 7.15892000e-1
6.34000000e2, 5.45750600, 6.98904000e-1
6.36000000e2, 5.43971500, 6.82617000e-1
6.38000000e2, 5.42135900, 6.66697000e-1
6.40000000e2, 5.40320000, 6.51300000e-1
6.42000000e2, 5.38576000, 6.35976000e-1
6.44000000e2, 5.36860800, 6.21404000e-1
6.46000000e2, 5.35148400, 6.08313000e-1
6.48000000e2, 5.33439300, 5.96615000e-1
6.50000000e2, 5.31760000, 5.85400000e-1
6.52000000e2, 5.30113700, 5.73435000e-1
6.54000000e2, 5.28535700, 5.61794000e-1
