wavelength (nm), n, k
2.50000000e2, 2.12220000, 0.00000000
2.62500000e2, 2.10482500, 0.00000000
2.75000000e2, 2.08870000, 0.00000000
2.87500000e2, 2.07377500, 0.00000000
3.00000000e2, 2.06000000, 0.00000000
3.12500000e2, 2.04734400, 0.00000000
3.25000000e2, 2.03570000, 0.00000000
3.37500000e2, 2.02496300, 0.00000000
3.50000000e2, 2.01510000, 0.00000000
3.62500000e2, 2.00608800, 0.00000000
3.75000000e2, 1.99780000, 0.00000000
3.87500000e2, 1.99010000, 0.00000000
4.00000000e2, 1.98300000, 0.00000000
4.12500000e2, 1.97650000, 0.00000000
4.25000000e2, 1.97050000, 0.00000000
4.37500000e2, 1.96490000, 0.00000000
4.50000000e2, 1.95970000, 0.00000000
4.62500000e2, 1.95488100, 0.00000000
4.75000000e2, 1.95040000, 0.00000000
4.87500000e2, 1.94620600, 0.00000000
5.00000000e2, 1.94230000, 0.00000000
5.12500000e2, 1.93868100, 0.00000000
5.25000000e2, 1.93530000, 0.00000000
5.37500000e2, 1.93210000, 0.00000000
5.50000000e2, 1.92910000, 0.00000000
5.62500000e2, 1.92631200, 0.00000000
5.75000000e2, 1.92370000, 0.00000000
5.87500000e2, 1.92123100, 0.00000000
6.00000000e2, 1.91890000, 0.00000000
6.12500000e2, 1.91668800, 0.00000000
6.25000000e2, 1.91460000, 0.00000000
6.37500000e2, 1.91265000, 0.00000000
6.50000000e2, 1.91080000, 0.00000000
6.62500000e2, 1.90900000, 0.00000000
6.75000000e2, 1.90730000, 0.00000000
6.87500000e2, 1.90575600, 0.00000000
7.00000000e2, 1.90430000, 0.00000000
7.12500000e2, 1.90286900, 0.00000000
7.25000000e2, 1.90150000, 0.00000000
7.37500000e2, 1.90021900, 0.00000000
7.50000000e2, 1.89900000, 0.00000000
7.62500000e2, 1.89782500, 0.00000000
7.75000000e2, 1.89670000, 0.00000000
7.87500000e2, 1.89562500, 0.00000000
8.00000000e2, 1.89460000, 0.00000000
8.12500000e2, 1.89363100, 0.00000000
8.25000000e2, 1.89270000, 0.00000000
8.37500000e2, 1.89177500, 0.00000000
8.50000000e2, 1.89090000, 0.00000000
8.62500000e2, 1.89013100, 0.00000000
8.75000000e2, 1.88940000, 0.00000000
8.87500000e2, 1.88866900, 0.00000000
9.00000000e2, 1.88790000, 0.00000000
