wavelength (nm), n, k
1.30510717e2, 4.48000000e-1, 1.24800000
1.31201250e2, 4.61562000e-1, 1.25593700
1.31899129e2, 4.78000000e-1, 1.26200000
1.32604472e2, 4.93687000e-1, 1.26781200
1.33317399e2, 5.05000000e-1, 1.27500000
1.34038034e2, 5.04375000e-1, 1.28725000
1.34766501e2, 5.00000000e-1, 1.30000000
1.35502930e2, 4.97000000e-1, 1.30712500
1.36247452e2, 4.97000000e-1, 1.31700000
1.37000200e2, 5.05750000e-1, 1.34025000
1.37761313e2, 5.16000000e-1, 1.36400000
1.38530929e2, 5.21188000e-1, 1.37625000
1.39309192e2, 5.25000000e-1, 1.38500000
1.40096250e2, 5.29437000e-1, 1.39206200
1.40892251e2, 5.33000000e-1, 1.40400000
1.41697350e2, 5.33000000e-1, 1.43443800
1.42511703e2, 5.35000000e-1, 1.46400000
1.43335470e2, 5.45438000e-1, 1.47287500
1.44168815e2, 5.59000000e-1, 1.47600000
1.45011908e2, 5.73375000e-1, 1.48150000
1.45864919e2, 5.86000000e-1, 1.49000000
1.46728025e2, 5.91063000e-1, 1.50675000
1.47601406e2, 5.96000000e-1, 1.52600000
1.48485247e2, 6.09062000e-1, 1.54437500
1.49379736e2, 6.22000000e-1, 1.56000000
1.50285068e2, 6.27313000e-1, 1.56787500
1.51201441e2, 6.31000000e-1, 1.57400000
1.52129057e2, 6.37000000e-1, 1.58300000
1.53068125e2, 6.44000000e-1, 1.59400000
1.54018859e2, 6.52563000e-1, 1.60918700
1.54981477e2, 6.61000000e-1, 1.62400000
1.55956203e2, 6.67438000e-1, 1.63350000
1.56943267e2, 6.73000000e-1, 1.64100000
1.57942906e2, 6.77688000e-1, 1.64731300
1.58955361e2, 6.83000000e-1, 1.65500000
1.59980879e2, 6.91188000e-1, 1.66756300
1.61019716e2, 7.00000000e-1, 1.68300000
1.62072132e2, 7.06500000e-1, 1.70068700
1.63138396e2, 7.15000000e-1, 1.72000000
1.64218783e2, 7.30687000e-1, 1.74112500
1.65313575e2, 7.48000000e-1, 1.76100000
1.66423062e2, 7.63063000e-1, 1.77531300
1.67547542e2, 7.76000000e-1, 1.78800000
1.68687321e2, 7.84000000e-1, 1.80181300
1.69842714e2, 7.92000000e-1, 1.81600000
1.71014043e2, 8.05063000e-1, 1.83118800
1.72201641e2, 8.20000000e-1, 1.84600000
1.73405848e2, 8.35687000e-1, 1.85862500
1.74627016e2, 8.51000000e-1, 1.87100000
1.75865505e2, 8.64000000e-1, 1.88525000
1.77121688e2, 8.76000000e-1, 1.89900000
1.78395944e2, 8.87750000e-1, 1.91012500
1.79688669e2, 8.99000000e-1, 1.92000000
1.81000265e2, 9.10063000e-1, 1.92800000
1.82331149e2, 9.20000000e-1, 1.93800000
1.83681750e2, 9.26250000e-1, 1.95637500
1.85052509e2, 9.34000000e-1, 1.97500000
1.86443882e2, 9.49687000e-1, 1.98556200
1.87856335e2, 9.67000000e-1, 1.99500000
1.89290353e2, 9.80938000e-1, 2.00931200
1.90746433e2, 9.94000000e-1, 2.02300000
1.92225087e2, 1.00687500, 2.03056300
1.93726846e2, 1.02000000, 2.03800000
1.95252254e2, 1.03437500, 2.05087500
1.96801875e2, 1.04900000, 2.06500000
1.98376290e2, 1.06356300, 2.07781300
1.99976099e2, 1.07700000, 2.09000000
2.01601921e2, 1.08662500, 2.10025000
2.03254396e2, 1.09700000, 2.11200000
2.04934184e2, 1.11293700, 2.12975000
2.06641969e2, 1.13100000, 2.14900000
2.08378456e2, 1.14956300, 2.16718800
2.10144375e2, 1.16800000, 2.18300000
2.11940481e2, 1.18531300, 2.19150000
2.13767554e2, 1.20100000, 2.20100000
2.15626402e2, 1.21312500, 2.22125000
2.17517862e2, 1.22500000, 2.24300000
2.19442799e2, 1.23950000, 2.25818700
2.21402109e2, 1.25600000, 2.27300000
2.23396723e2, 1.27550000, 2.29337500
2.25427602e2, 1.29600000, 2.31200000
2.27495745e2, 1.31493800, 2.32062500
2.29602188e2, 1.33500000, 2.32800000
2.31748002e2, 1.35975000, 2.34118800
2.33934304e2, 1.38400000, 2.35700000
2.36162250e2, 1.40331300, 2.37593800
2.38433041e2, 1.41900000, 2.39400000
2.40747925e2, 1.42950000, 2.40612500
2.43108199e2, 1.43900000, 2.41600000
2.45515210e2, 1.45181200, 2.42356200
2.47970363e2, 1.46600000, 2.43500000
2.50475114e2, 1.48075000, 2.45837500
2.53030982e2, 1.49700000, 2.48800000
2.55639549e2, 1.51475000, 2.52112500
2.58302461e2, 1.53600000, 2.55700000
2.61021434e2, 1.56412500, 2.59437500
2.63798258e2, 1.59500000, 2.63200000
2.66634798e2, 1.62437500, 2.66912500
2.69533003e2, 1.65600000, 2.70300000
2.72494904e2, 1.69156200, 2.72750000
2.75522625e2, 1.73300000, 2.75200000
