wavelength (nm), n, k
2.00000000e2, 1.42000000, 1.71500000
2.05426357e2, 1.39040000, 1.71253000
2.10852713e2, 1.38449000, 1.74254000
2.16279070e2, 1.37837000, 1.81765000
2.21705426e2, 1.41347000, 1.91943000
2.27131783e2, 1.48102000, 2.01879000
2.32558140e2, 1.58918000, 2.09709000
2.37984496e2, 1.70315000, 2.14953000
2.43410853e2, 1.82532000, 2.18488000
2.48837209e2, 1.94871000, 2.20017000
2.54263566e2, 2.08103000, 2.19847000
2.59689922e2, 2.21539000, 2.17140000
2.65116279e2, 2.34176000, 2.11254000
2.70542636e2, 2.44053000, 2.01983000
2.75968992e2, 2.49683000, 1.91966000
2.81395349e2, 2.51859000, 1.83246000
2.86821705e2, 2.52100000, 1.76408000
2.92248062e2, 2.51925000, 1.71771000
2.97674419e2, 2.51648000, 1.68160000
3.03100775e2, 2.51345000, 1.65464000
3.08527132e2, 2.51123000, 1.63549000
3.13953488e2, 2.51000000, 1.62078000
3.19379845e2, 2.51039000, 1.61202000
3.24806202e2, 2.51158000, 1.60664000
3.30232558e2, 2.51350000, 1.60575000
3.35658915e2, 2.51747000, 1.60860000
3.41085271e2, 2.52470000, 1.61474000
3.46511628e2, 2.53302000, 1.62202000
3.51937984e2, 2.54433000, 1.63229000
3.57364341e2, 2.55804000, 1.64453000
3.62790698e2, 2.57339000, 1.65844000
3.68217054e2, 2.59289000, 1.67429000
3.73643411e2, 2.61570000, 1.69188000
3.79069767e2, 2.64136000, 1.71023000
3.84496124e2, 2.67095000, 1.72884000
3.89922481e2, 2.70695000, 1.74946000
3.95348837e2, 2.75034000, 1.76942000
4.00775194e2, 2.80238000, 1.78589000
4.06201550e2, 2.86520000, 1.79412000
4.11627907e2, 2.93182000, 1.78390000
4.17054264e2, 2.99654000, 1.76297000
4.22480620e2, 3.04698000, 1.72866000
4.27906977e2, 3.08510000, 1.69040000
4.33333333e2, 3.11366000, 1.65377000
4.38759690e2, 3.13428000, 1.62194000
4.44186047e2, 3.15031000, 1.59522000
4.49612403e2, 3.16321000, 1.57269000
4.55038760e2, 3.17572000, 1.55353000
4.60465116e2, 3.18712000, 1.53936000
4.65891473e2, 3.19823000, 1.52963000
4.71317829e2, 3.21092000, 1.52247000
4.76744186e2, 3.22608000, 1.51694000
4.82170543e2, 3.24308000, 1.51613000
4.87596899e2, 3.26424000, 1.51730000
4.93023256e2, 3.28933000, 1.52098000
4.98449612e2, 3.31924000, 1.52666000
5.03875969e2, 3.35641000, 1.53335000
5.09302326e2, 3.40460000, 1.53671000
5.14728682e2, 3.46631000, 1.52820000
5.20155039e2, 3.53257000, 1.51092000
5.25581395e2, 3.59716000, 1.46959000
