wavelength (nm), n, k
2.06641969e2, 1.34397000, 2.26768000
2.07333079e2, 1.32507400, 2.21423200
2.08028828e2, 1.30659100, 2.28755600
2.08729261e2, 1.32171100, 2.27333100
2.09434428e2, 1.30442300, 2.26295000
2.10144375e2, 1.32016000, 2.26940800
2.10859152e2, 1.31253700, 2.29052200
2.11578808e2, 1.30740500, 2.27934000
2.12303393e2, 1.30553400, 2.28757600
2.13032958e2, 1.29928400, 2.29994000
2.13767554e2, 1.30330300, 2.30906800
2.14507234e2, 1.30076600, 2.32569300
2.15252051e2, 1.29999400, 2.34121100
2.16002058e2, 1.30202400, 2.35360700
2.16757310e2, 1.30283400, 2.36387200
2.17517862e2, 1.30442400, 2.37707300
2.18283770e2, 1.30217900, 2.39367500
2.19055091e2, 1.30813400, 2.41140200
2.19831882e2, 1.31017800, 2.42464300
2.20614202e2, 1.31237300, 2.44459800
2.21402109e2, 1.31638200, 2.46171700
2.22195665e2, 1.32161600, 2.47672900
2.22994930e2, 1.32793600, 2.49320600
2.23799966e2, 1.33254300, 2.51129600
2.24610836e2, 1.33799300, 2.52966900
2.25427602e2, 1.34493400, 2.54683200
2.26250331e2, 1.35233000, 2.56456000
2.27079087e2, 1.35965700, 2.58621700
2.27913936e2, 1.36851100, 2.60514800
2.28754947e2, 1.37694000, 2.62469600
2.29602188e2, 1.38765200, 2.64568400
2.30455727e2, 1.39773300, 2.66476100
2.31315637e2, 1.40781900, 2.68540100
2.32181987e2, 1.41962300, 2.70580300
2.33054852e2, 1.43123400, 2.72687600
2.33934304e2, 1.44339200, 2.74887600
2.34820419e2, 1.45720700, 2.77050600
2.35713272e2, 1.46905300, 2.79506000
2.36612941e2, 1.48339000, 2.81685600
2.37519504e2, 1.49751300, 2.84004200
2.38433041e2, 1.51388100, 2.86469300
2.39353632e2, 1.52987900, 2.88952700
2.40281359e2, 1.54701300, 2.91427600
2.41216306e2, 1.56428900, 2.93965000
2.42158557e2, 1.58293100, 2.96647700
2.43108199e2, 1.60152400, 2.99456900
2.44065318e2, 1.62311500, 3.02329300
2.45030003e2, 1.64555000, 3.05216300
2.46002344e2, 1.66907500, 3.08311700
2.46982433e2, 1.69531000, 3.11456300
2.47970363e2, 1.72477700, 3.14811600
2.48966227e2, 1.75653900, 3.18263700
2.49970124e2, 1.79092000, 3.21683100
2.50982148e2, 1.82933200, 3.25205600
2.52002401e2, 1.87043000, 3.28789100
2.53030982e2, 1.91612800, 3.32218800
2.54067994e2, 1.96416300, 3.35544900
2.55113542e2, 2.01833400, 3.38754600
2.56167730e2, 2.07516100, 3.41707300
2.57230667e2, 2.13717700, 3.44420700
2.58302461e2, 2.20266800, 3.46763500
2.59383224e2, 2.27250600, 3.48721000
2.60473070e2, 2.34523400, 3.50236800
2.61572112e2, 2.42046500, 3.51255800
2.62680469e2, 2.49696500, 3.51680500
2.63798258e2, 2.57661300, 3.51560900
2.64925601e2, 2.65660200, 3.50794100
2.66062621e2, 2.73621900, 3.49468300
2.67209442e2, 2.81506700, 3.47508600
2.68366193e2, 2.89260700, 3.44887600
2.69533003e2, 2.96635900, 3.41743700
2.70710003e2, 3.03706200, 3.38078200
2.71897327e2, 3.10389200, 3.34045100
2.73095113e2, 3.16647600, 3.29728800
2.74303498e2, 3.22578800, 3.25144100
2.75522625e2, 3.28061100, 3.20224600
2.76752637e2, 3.33488900, 3.15125600
2.77993680e2, 3.38340500, 3.09688900
2.79245904e2, 3.42996500, 3.03956400
2.80509460e2, 3.46999500, 2.97941600
2.81784503e2, 3.50597500, 2.91657000
2.83071190e2, 3.53593000, 2.85238600
2.84369682e2, 3.55897500, 2.78683900
2.85680141e2, 3.57536900, 2.72290900
2.87002734e2, 3.58657000, 2.66101900
2.88337631e2, 3.59335000, 2.60210000
2.89685003e2, 3.59634500, 2.54592600
2.91045027e2, 3.59574200, 2.49228600
2.92417880e2, 3.59314500, 2.44250500
2.93803747e2, 3.58781900, 2.39555600
2.95202813e2, 3.58047300, 2.35199600
2.96615266e2, 3.57192000, 2.31094200
2.98041301e2, 3.56176100, 2.27303600
2.99481114e2, 3.54972600, 2.23793200
3.00934906e2, 3.53728900, 2.20516700
3.02402881e2, 3.52495700, 2.17462800
3.03885248e2, 3.51277000, 2.14648100
3.05382220e2, 3.50047200, 2.12027800
3.06894013e2, 3.48852100, 2.09630100
3.08420849e2, 3.47656900, 2.07436900
3.09962953e2, 3.46458000, 2.05398200
3.11520556e2, 3.45324700, 2.03510400
3.13093892e2, 3.44209000, 2.01768200
3.14683201e2, 3.43118900, 2.00163900
3.16288728e2, 3.42143700, 1.98733100
3.17910721e2, 3.41132200, 1.97446900
3.19549436e2, 3.40180100, 1.96255700
3.21205133e2, 3.39319000, 1.95124000
3.22878076e2, 3.38505900, 1.94079300
3.24568537e2, 3.37710600, 1.93163900
3.26276793e2, 3.36931600, 1.92341800
3.28003125e2, 3.36231700, 1.91603300
3.29747823e2, 3.35582000, 1.90972100
3.31511180e2, 3.35086000, 1.90327500
3.33293498e2, 3.34530900, 1.89838900
3.35095085e2, 3.34038600, 1.89371700
3.36916254e2, 3.33627300, 1.89003800
3.38757326e2, 3.33272700, 1.88648300
3.40618630e2, 3.32913600, 1.88360500
3.42500501e2, 3.32691900, 1.88143000
3.44403281e2, 3.32490800, 1.87948200
3.46327322e2, 3.32338900, 1.87836100
3.48272981e2, 3.32235600, 1.87760400
3.50240625e2, 3.32164900, 1.87729800
3.52230629e2, 3.32135000, 1.87777200
3.54243375e2, 3.32204500, 1.87843100
3.56279257e2, 3.32333300, 1.87983700
3.58338674e2, 3.32489500, 1.88141800
3.60422039e2, 3.32690100, 1.88354500
3.62529770e2, 3.32953400, 1.88620400
3.64662298e2, 3.33331700, 1.88911500
3.66820063e2, 3.33733200, 1.89298900
3.69003516e2, 3.34215600, 1.89674600
3.71213118e2, 3.34783000, 1.90122900
3.73449341e2, 3.35423800, 1.90652900
3.75712671e2, 3.36156700, 1.91220800
3.78003601e2, 3.36940100, 1.91810200
3.80322642e2, 3.37817600, 1.92415100
3.82670313e2, 3.38804000, 1.93101500
3.85047147e2, 3.39862900, 1.93829500
3.87453692e2, 3.41090600, 1.94603000
3.89890507e2, 3.42440200, 1.95435900
3.92358169e2, 3.43886300, 1.96323000
3.94857265e2, 3.45520800, 1.97237400
3.97388402e2, 3.47250600, 1.98160700
3.99952198e2, 3.49152500, 1.99125600
4.02549290e2, 3.51257900, 2.00129300
4.05180331e2, 3.53598900, 2.01149900
4.07845991e2, 3.56233500, 2.02195300
4.10546958e2, 3.59025700, 2.03271400
4.13283938e2, 3.62273700, 2.04320700
4.16057655e2, 3.65712100, 2.05259400
4.18868856e2, 3.69564800, 2.06134500
4.21718304e2, 3.73916100, 2.06632800
4.24606785e2, 3.78650400, 2.06919700
4.27535108e2, 3.83862300, 2.06685600
4.30504102e2, 3.89416400, 2.05783300
4.33514620e2, 3.95099300, 2.04099600
4.36567540e2, 4.00576700, 2.01713600
4.39663763e2, 4.05676700, 1.98654900
4.42804219e2, 4.10278600, 1.95175500
4.45989861e2, 4.14327100, 1.91446800
4.49221671e2, 4.17919300, 1.87672000
4.52500662e2, 4.21227600, 1.83900800
4.55827872e2, 4.24313100, 1.80403900
4.59204375e2, 4.27283600, 1.77201100
4.62631273e2, 4.30467700, 1.74160600
4.66109704e2, 4.33934600, 1.71272800
4.69640838e2, 4.38244200, 1.67774900
