wavelength (nm), n, k
2.25000000e2, 1.24859900, 2.67284400
2.30000000e2, 1.31493500, 2.68245100
2.35000000e2, 1.34615400, 2.69452300
2.40000000e2, 1.35366700, 2.73065100
2.45000000e2, 1.35611900, 2.79711200
2.50000000e2, 1.36699400, 2.88989900
2.55000000e2, 1.39336600, 3.00288600
2.60000000e2, 1.43907900, 3.13124200
2.65000000e2, 1.50743200, 3.27154100
2.70000000e2, 1.60259900, 3.42069500
2.75000000e2, 1.73008700, 3.57478700
2.80000000e2, 1.89695700, 3.72613900
2.85000000e2, 2.10973000, 3.86276700
2.90000000e2, 2.37105800, 3.96540400
2.95000000e2, 2.67281300, 4.00899500
3.00000000e2, 2.98954600, 3.96996800
3.05000000e2, 3.27952700, 3.84315100
3.10000000e2, 3.50278900, 3.65209200
3.15000000e2, 3.64342700, 3.43999400
3.20000000e2, 3.71466600, 3.24593800
3.25000000e2, 3.74482500, 3.08886500
3.30000000e2, 3.76040500, 2.96751800
3.35000000e2, 3.77650200, 2.86927000
3.40000000e2, 3.79535700, 2.78053200
3.45000000e2, 3.81128400, 2.69429000
3.50000000e2, 3.81831900, 2.61162100
3.55000000e2, 3.81533300, 2.53765900
3.60000000e2, 3.80612400, 2.47639000
3.65000000e2, 3.79635500, 2.42795400
3.70000000e2, 3.79031400, 2.38892400
3.75000000e2, 3.78906600, 2.35436400
3.80000000e2, 3.79046500, 2.32035300
3.85000000e2, 3.79081800, 2.28570400
3.90000000e2, 3.78709900, 2.25195900
3.95000000e2, 3.77826400, 2.22199000
4.00000000e2, 3.76517600, 2.19843400
4.05000000e2, 3.74973800, 2.18290000
4.10000000e2, 3.73405800, 2.17595900
4.15000000e2, 3.72000800, 2.17748800
4.20000000e2, 3.70913000, 2.18704300
4.25000000e2, 3.70272900, 2.20409700
4.30000000e2, 3.70205500, 2.22814800
4.35000000e2, 3.70849600, 2.25869000
4.40000000e2, 3.72374200, 2.29507000
4.45000000e2, 3.74970000, 2.33689900
4.50000000e2, 3.78934700, 2.38095000
4.55000000e2, 3.84503500, 2.42449700
4.60000000e2, 3.91861700, 2.46227700
4.65000000e2, 4.00978200, 2.48710000
4.70000000e2, 4.11436800, 2.49100900
4.75000000e2, 4.22355700, 2.46796400
4.80000000e2, 4.32538100, 2.41707800
4.85000000e2, 4.40865400, 2.34408700
4.90000000e2, 4.46698000, 2.25945800
4.95000000e2, 4.49973500, 2.17486000
5.00000000e2, 4.51203600, 2.09795600
5.05000000e2, 4.50979800, 2.03413400
5.10000000e2, 4.49922400, 1.98522100
5.15000000e2, 4.48551700, 1.95105700
5.20000000e2, 4.47274300, 1.93044500
5.25000000e2, 4.46405000, 1.92173300
5.30000000e2, 4.46138900, 1.92292500
5.35000000e2, 4.46807300, 1.93229700
5.40000000e2, 4.48536800, 1.94737700
5.45000000e2, 4.51485700, 1.96545600
5.50000000e2, 4.55767300, 1.98327900
5.55000000e2, 4.61420100, 1.99702100
5.60000000e2, 4.68370300, 2.00245400
5.65000000e2, 4.76398400, 1.99536400
5.70000000e2, 4.85128200, 1.97221300
5.75000000e2, 4.94054300, 1.93087700
5.80000000e2, 5.02611400, 1.87121700
5.85000000e2, 5.10270300, 1.79519500
5.90000000e2, 5.16626800, 1.70646800
5.95000000e2, 5.21453700, 1.60959600
6.00000000e2, 5.24702700, 1.50917800
6.05000000e2, 5.26469800, 1.40918300
6.10000000e2, 5.26940800, 1.31262400
6.15000000e2, 5.26341500, 1.22149100
6.20000000e2, 5.24900000, 1.13689900
6.25000000e2, 5.22823400, 1.05928800
6.30000000e2, 5.20288200, 9.88636000e-1
6.35000000e2, 5.17438000, 9.24630000e-1
6.40000000e2, 5.14385300, 8.66800000e-1
6.45000000e2, 5.11216600, 8.14605000e-1
6.50000000e2, 5.07996600, 7.67487000e-1
6.55000000e2, 5.04773000, 7.24910000e-1
6.60000000e2, 5.01580200, 6.86376000e-1
6.65000000e2, 4.98442400, 6.51429000e-1
6.70000000e2, 4.95376300, 6.19663000e-1
6.75000000e2, 4.92392900, 5.90719000e-1
6.80000000e2, 4.89498900, 5.64279000e-1
6.85000000e2, 4.86698000, 5.40064000e-1
6.90000000e2, 4.83991600, 5.17829000e-1
6.95000000e2, 4.81379400, 4.97362000e-1
7.00000000e2, 4.78860200, 4.78475000e-1
7.05000000e2, 4.76431800, 4.61003000e-1
7.10000000e2, 4.74091500, 4.44805000e-1
7.15000000e2, 4.71776600, 4.29543000e-1
7.20000000e2, 4.69604400, 4.15534000e-1
7.25000000e2, 4.67510800, 4.02460000e-1
7.30000000e2, 4.65492500, 3.90235000e-1
7.35000000e2, 4.63546100, 3.78782000e-1
7.40000000e2, 4.61668600, 3.68032000e-1
7.45000000e2, 4.59856700, 3.57925000e-1
7.50000000e2, 4.58107500, 3.48406000e-1
7.55000000e2, 4.56418100, 3.39426000e-1
7.60000000e2, 4.54785800, 3.30942000e-1
7.65000000e2, 4.53207800, 3.22915000e-1
7.70000000e2, 4.51681800, 3.15309000e-1
7.75000000e2, 4.50205400, 3.08092000e-1
7.80000000e2, 4.48776200, 3.01237000e-1
7.85000000e2, 4.47392300, 2.94716000e-1
7.90000000e2, 4.46051500, 2.88506000e-1
7.95000000e2, 4.44751900, 2.82585000e-1
8.00000000e2, 4.43491800, 2.76934000e-1
8.05000000e2, 4.42269400, 2.71534000e-1
8.10000000e2, 4.41083200, 2.66370000e-1
8.15000000e2, 4.39931500, 2.61426000e-1
8.20000000e2, 4.38812900, 2.56688000e-1
8.25000000e2, 4.37726200, 2.52144000e-1
