wavelength (nm), n, k
2.06641969e2, 1.33600000, 2.11300000
2.08378456e2, 1.30787500, 2.14868800
2.10144375e2, 1.30100000, 2.18300000
2.11940481e2, 1.29618800, 2.22943800
2.13767554e2, 1.29900000, 2.28000000
2.15626402e2, 1.30875000, 2.33125000
2.17517862e2, 1.32500000, 2.38300000
2.19442799e2, 1.34843700, 2.43506200
2.21402109e2, 1.37500000, 2.48400000
2.23396723e2, 1.40181200, 2.52368700
2.25427602e2, 1.42600000, 2.56200000
2.27495745e2, 1.44200000, 2.60250000
2.29602188e2, 1.45500000, 2.65200000
2.31748002e2, 1.46556300, 2.71925000
2.33934304e2, 1.48200000, 2.80200000
2.36162250e2, 1.51000000, 2.90118800
2.38433041e2, 1.55800000, 3.01600000
2.40747925e2, 1.63212400, 3.15412400
2.43108199e2, 1.74500000, 3.29100000
2.45515210e2, 1.92374900, 3.40899900
2.47970363e2, 2.13100000, 3.49500000
2.50475114e2, 2.33525100, 3.51706200
2.53030982e2, 2.54600000, 3.51400000
2.55639549e2, 2.75493900, 3.53506200
2.58302461e2, 2.98400000, 3.51700000
2.61021434e2, 3.28437500, 3.40681300
2.63798258e2, 3.56000000, 3.22300000
2.66634798e2, 3.72243600, 2.93981400
2.69533003e2, 3.80000000, 2.63700000
2.72494904e2, 3.77412500, 2.38975100
2.75522625e2, 3.69700000, 2.18600000
2.78618385e2, 3.61450000, 2.04643700
2.81784503e2, 3.52700000, 1.94800000
2.85023405e2, 3.45168700, 1.87612500
2.88337631e2, 3.38400000, 1.82600000
2.91729838e2, 3.32550000, 1.78806300
2.95202813e2, 3.27500000, 1.76200000
2.98759473e2, 3.23212500, 1.74481200
3.02402881e2, 3.19600000, 1.73500000
3.06136250e2, 3.16562500, 1.72993800
3.09962953e2, 3.14100000, 1.73000000
3.13886535e2, 3.12187500, 1.73487500
3.17910721e2, 3.10800000, 1.74400000
3.22039432e2, 3.09893800, 1.75668700
3.26276793e2, 3.09500000, 1.77300000
3.30627150e2, 3.09631200, 1.79281200
3.35095085e2, 3.10300000, 1.81600000
3.39685428e2, 3.11475000, 1.84193700
3.44403281e2, 3.13300000, 1.87200000
3.49254032e2, 3.15825000, 1.90650000
3.54243375e2, 3.19300000, 1.94800000
3.59377337e2, 3.23243800, 1.99943800
3.64662298e2, 3.29900000, 2.06000000
3.70105019e2, 3.41912500, 2.14562500
3.75712671e2, 3.57600000, 2.20900000
3.81492866e2, 3.76587500, 2.21081200
3.87453692e2, 3.97600000, 2.14300000
3.93603750e2, 4.22174900, 1.96537500
3.99952198e2, 4.41500000, 1.73500000
4.06508791e2, 4.44112500, 1.48318800
4.13283938e2, 4.39500000, 1.24700000
4.20288750e2, 4.33268800, 1.08612500
4.27535108e2, 4.25600000, 9.64000000e-1
4.35035724e2, 4.18712500, 8.64750000e-1
4.42804219e2, 4.12100000, 7.86000000e-1
4.50855205e2, 4.06037500, 7.20875000e-1
4.59204375e2, 4.00400000, 6.67000000e-1
4.67868609e2, 3.95150000, 6.19813000e-1
4.76866082e2, 3.90300000, 5.79000000e-1
4.86216397e2, 3.85875000, 5.42875000e-1
4.95940725e2, 3.81800000, 5.11000000e-1
5.06061964e2, 3.78012500, 4.82313000e-1
5.16604922e2, 3.74500000, 4.57000000e-1
5.27596516e2, 3.71225000, 4.35375000e-1
5.39066006e2, 3.68200000, 4.16000000e-1
5.51045250e2, 3.65431200, 3.97500000e-1
5.63569006e2, 3.62900000, 3.80000000e-1
5.76675262e2, 3.60593700, 3.63125000e-1
5.90405625e2, 3.58500000, 3.47000000e-1
6.04805762e2, 3.56625000, 3.31438000e-1
6.19925906e2, 3.54900000, 3.17000000e-1
6.35821443e2, 3.53231200, 3.04563000e-1
6.52553586e2, 3.51700000, 2.93000000e-1
6.70190169e2, 3.50350000, 2.81750000e-1
6.88806563e2, 3.49200000, 2.70000000e-1
7.08486750e2, 3.48300000, 2.56063000e-1
7.29324596e2, 3.47600000, 2.42000000e-1
7.51425341e2, 3.47118800, 2.29188000e-1
7.74907383e2, 3.46700000, 2.18000000e-1
7.99904395e2, 3.46327500, 2.14875000e-1
8.26567875e2, 3.45600000, 2.03000000e-1
8.55070216e2, 3.44015000, 1.61858000e-1
8.85608438e2, 3.41860000, 1.09000000e-1
9.18408750e2, 3.39202500, 4.87830000e-2
9.53732164e2, 3.36200000, 2.81000000e-4
9.91881450e2, 3.32865000, 6.65400000e-3
1.03320984e3, 3.29700000, 0.00000000
1.07813201e3, 3.27356200, 1.80000000e-5
1.12713801e3, 3.25400000, 0.00000000
1.18081125e3, 3.23612500, 0.00000000
1.23985181e3, 3.22000000, 0.00000000
1.30510717e3, 3.20487500, 0.00000000
1.37761313e3, 3.19100000, 0.00000000
1.45864919e3, 3.17850000, 0.00000000
1.54981477e3, 3.16700000, 0.00000000
1.65313575e3, 3.15606200, 0.00000000
1.77121688e3, 3.14600000, 0.00000000
1.90746433e3, 3.13720000, 0.00000000
2.06641969e3, 3.12900000, 0.00000000
2.25427602e3, 3.12100000, 0.00000000
2.47970363e3, 3.11400000, 0.00000000
