wavelength (nm), n, k
2.06641969e2, 1.23000000, 1.91000000
2.07506580e2, 1.01339200, 2.08071000
2.08378456e2, 9.15925000e-1, 2.16373700
2.09257690e2, 8.97122000e-1, 2.18978700
2.10144375e2, 9.11309000e-1, 2.19391900
2.11038606e2, 9.34750000e-1, 2.19271800
2.11940481e2, 9.46825000e-1, 2.20006800
2.12850097e2, 9.57597000e-1, 2.20625000
2.13767554e2, 9.68598000e-1, 2.21041200
2.14692955e2, 9.79602000e-1, 2.21670600
2.15626402e2, 9.88776000e-1, 2.22351600
2.16568002e2, 9.94910000e-1, 2.22963500
2.17517862e2, 1.00080100, 2.23584600
2.18476090e2, 1.00695100, 2.24293700
2.19442799e2, 1.01310100, 2.25229400
2.20418100e2, 1.01921500, 2.26301500
2.21402109e2, 1.02536000, 2.27476000
2.22394944e2, 1.03176200, 2.28764000
2.23396723e2, 1.03887200, 2.30169000
2.24407568e2, 1.04720700, 2.31698600
2.25427602e2, 1.05689100, 2.33250300
2.26456952e2, 1.06826800, 2.34787800
2.27495745e2, 1.08203600, 2.36325000
2.28544113e2, 1.09798700, 2.37874000
2.29602188e2, 1.11579500, 2.39426500
2.30670105e2, 1.13396900, 2.40819100
2.31748002e2, 1.15268200, 2.41983000
2.32836021e2, 1.17340900, 2.42850900
2.33934304e2, 1.19437800, 2.43535700
2.35042998e2, 1.21466400, 2.44083200
2.36162250e2, 1.23431500, 2.44459800
2.37292213e2, 1.25289700, 2.44591900
2.38433041e2, 1.26991600, 2.44378500
2.39584891e2, 1.28508700, 2.44030400
2.40747925e2, 1.29751100, 2.43654400
2.41922305e2, 1.30484100, 2.43312400
2.43108199e2, 1.30873500, 2.43044800
2.44305776e2, 1.31071200, 2.42899600
2.45515210e2, 1.31109600, 2.42998100
2.46736679e2, 1.31004500, 2.43386800
2.47970363e2, 1.30716000, 2.44084000
2.49216445e2, 1.30395300, 2.45097700
2.50475114e2, 1.30148000, 2.46403800
2.51746561e2, 1.30056500, 2.47851300
2.53030982e2, 1.30111500, 2.49472100
2.54328577e2, 1.30281900, 2.51345200
2.55639549e2, 1.30492400, 2.53364100
2.56964106e2, 1.30749500, 2.55469700
2.58302461e2, 1.31166100, 2.57601400
2.59654830e2, 1.31745300, 2.59785800
2.61021434e2, 1.32479000, 2.62051000
2.62402500e2, 1.33247200, 2.64430800
2.63798258e2, 1.34071200, 2.66918000
2.65208944e2, 1.35082700, 2.69475200
2.66634798e2, 1.36163200, 2.72107700
2.68076068e2, 1.37269200, 2.74816000
2.69533003e2, 1.38487300, 2.77605800
2.71005861e2, 1.39826300, 2.80454500
2.72494904e2, 1.41287000, 2.83325300
2.74000401e2, 1.42797600, 2.86284900
2.75522625e2, 1.44342300, 2.89380100
2.77061858e2, 1.45959300, 2.92682800
2.78618385e2, 1.47669100, 2.96131300
2.80192500e2, 1.49495300, 2.99675700
2.81784503e2, 1.51502000, 3.03434200
2.83394700e2, 1.53706100, 3.07432100
2.85023405e2, 1.56073600, 3.11644100
2.86670939e2, 1.58724300, 3.16133300
2.88337631e2, 1.61742200, 3.20936300
2.90023816e2, 1.65133200, 3.26036200
2.91729838e2, 1.69041000, 3.31454700
2.93456050e2, 1.73642800, 3.37229100
2.95202813e2, 1.79101500, 3.43332300
2.96970494e2, 1.85579700, 3.49628300
2.98759473e2, 1.93247000, 3.55854600
3.00570136e2, 2.02270700, 3.61616100
3.02402881e2, 2.12780700, 3.66505900
3.04258114e2, 2.24571300, 3.70038600
3.06136250e2, 2.37267000, 3.71859600
3.08037717e2, 2.50359300, 3.71562500
3.09962953e2, 2.63174400, 3.69376800
3.11912406e2, 2.75175500, 3.65520800
3.13886535e2, 2.86111100, 3.60423900
3.15885812e2, 2.95869800, 3.54443800
3.17910721e2, 3.04384700, 3.47950200
3.19961758e2, 3.11730300, 3.41122300
3.22039432e2, 3.18053400, 3.34150300
3.24144265e2, 3.23712600, 3.27237300
3.26276793e2, 3.28726200, 3.20351500
3.28437566e2, 3.33099700, 3.13456200
3.30627150e2, 3.36906200, 3.06611200
3.32846124e2, 3.40135400, 2.99877600
3.35095085e2, 3.42679200, 2.93322700
3.37374643e2, 3.44692000, 2.87053400
3.39685428e2, 3.46284600, 2.81149300
3.42028086e2, 3.47497800, 2.75645200
3.44403281e2, 3.48462600, 2.70468300
3.46811696e2, 3.49357300, 2.65497500
3.49254032e2, 3.50113700, 2.60721200
3.51731011e2, 3.50708500, 2.56134700
3.54243375e2, 3.51099900, 2.51762600
3.56791889e2, 3.51327000, 2.47662700
3.59377337e2, 3.51441500, 2.43885400
3.62000529e2, 3.51643600, 2.40357800
3.64662298e2, 3.51975400, 2.36926300
3.67363500e2, 3.52435700, 2.33293000
3.70105019e2, 3.52760000, 2.29508300
3.72887763e2, 3.52764400, 2.25624200
3.75712671e2, 3.52431700, 2.21815100
3.78580706e2, 3.51748800, 2.18204900
3.81492866e2, 3.50694900, 2.14929300
3.84450175e2, 3.49476900, 2.11968600
3.87453692e2, 3.48171300, 2.09295900
3.90504508e2, 3.46693900, 2.06763600
3.93603750e2, 3.45117200, 2.04548000
3.96752580e2, 3.43519300, 2.02834400
3.99952198e2, 3.41896000, 2.01519900
4.03203842e2, 3.40311400, 2.00557900
4.06508791e2, 3.38890600, 1.99895400
4.09868368e2, 3.37647800, 1.99519200
4.13283938e2, 3.36600000, 1.99398400
4.16756912e2, 3.35747000, 1.99434400
4.20288750e2, 3.35069700, 1.99612200
4.23880962e2, 3.34531900, 1.99941200
4.27535108e2, 3.34177900, 2.00425600
4.31252804e2, 3.34013600, 2.01056600
4.35035724e2, 3.33992800, 2.01799600
4.38885597e2, 3.34141300, 2.02657400
4.42804219e2, 3.34487400, 2.03633400
4.46793446e2, 3.34980600, 2.04643600
4.50855205e2, 3.35637500, 2.05708100
4.54991491e2, 3.36530400, 2.06950300
4.59204375e2, 3.37648900, 2.08296500
4.63496005e2, 3.38995400, 2.09707500
4.67868609e2, 3.40598900, 2.11241300
4.72324500e2, 3.42483100, 2.12866100
4.76866082e2, 3.44676300, 2.14510500
4.81495850e2, 3.47155700, 2.16208700
4.86216397e2, 3.49955100, 2.18000700
4.91030421e2, 3.53171400, 2.20023600
4.95940725e2, 3.56960300, 2.22136500
5.00950227e2, 3.61487600, 2.24175400
5.06061964e2, 3.66937900, 2.26316200
5.11279098e2, 3.73625300, 2.28093500
5.16604922e2, 3.82408400, 2.28614600
5.22042869e2, 3.91938500, 2.26509400
5.27596516e2, 4.00938100, 2.21025800
5.33269597e2, 4.07332600, 2.13756300
5.39066006e2, 4.11085400, 2.05968900
5.44989808e2, 4.12855600, 1.99257200
5.51045250e2, 4.13503900, 1.93509100
5.57236770e2, 4.13621900, 1.88806600
5.63569006e2, 4.13535600, 1.85045700
