wavelength (nm), n, k
1.90746433e2, 9.50000000e-1, 1.54000000
1.92225087e2, 9.43125000e-1, 1.56750000
1.93726846e2, 9.40000000e-1, 1.59000000
1.95252254e2, 9.39375000e-1, 1.61000000
1.96801875e2, 9.40000000e-1, 1.63000000
1.98376290e2, 9.40000000e-1, 1.65437500
1.99976099e2, 9.40000000e-1, 1.68000000
2.01601921e2, 9.39375000e-1, 1.70500000
2.03254396e2, 9.40000000e-1, 1.73000000
2.04934184e2, 9.43750000e-1, 1.75562500
2.06641969e2, 9.50000000e-1, 1.78000000
2.08378456e2, 9.61250000e-1, 1.80062500
2.10144375e2, 9.70000000e-1, 1.82000000
2.11940481e2, 9.65625000e-1, 1.83875000
2.13767554e2, 9.60000000e-1, 1.86000000
2.15626402e2, 9.63750000e-1, 1.88875000
2.17517862e2, 9.70000000e-1, 1.92000000
2.19442799e2, 9.75000000e-1, 1.95062500
2.21402109e2, 9.80000000e-1, 1.98000000
2.23396723e2, 9.85000000e-1, 2.00500000
2.25427602e2, 9.90000000e-1, 2.03000000
2.27495745e2, 9.94375000e-1, 2.05937500
2.29602188e2, 1.00000000, 2.09000000
2.31748002e2, 1.00937500, 2.11937500
2.33934304e2, 1.02000000, 2.15000000
2.36162250e2, 1.02937500, 2.18437500
2.38433041e2, 1.04000000, 2.22000000
2.40747925e2, 1.05437500, 2.25562500
2.43108199e2, 1.07000000, 2.29000000
2.45515210e2, 1.08500000, 2.32000000
2.47970363e2, 1.10000000, 2.35000000
2.50475114e2, 1.11375000, 2.38437500
2.53030982e2, 1.13000000, 2.42000000
2.55639549e2, 1.15312500, 2.45500000
2.58302461e2, 1.18000000, 2.49000000
2.61021434e2, 1.20875000, 2.52687500
2.63798258e2, 1.24000000, 2.56000000
2.66634798e2, 1.27500000, 2.58125000
2.69533003e2, 1.31000000, 2.60000000
2.72494904e2, 1.33937500, 2.62562500
2.75522625e2, 1.37000000, 2.65000000
2.78618385e2, 1.41000000, 2.66687500
2.81784503e2, 1.45000000, 2.68000000
2.85023405e2, 1.48062500, 2.69125000
2.88337631e2, 1.51000000, 2.70000000
2.91729838e2, 1.54625000, 2.70687500
2.95202813e2, 1.58000000, 2.71000000
2.98759473e2, 1.60312500, 2.70687500
3.02402881e2, 1.62000000, 2.70000000
3.06136250e2, 1.63250000, 2.69000000
3.09962953e2, 1.64000000, 2.68000000
3.13886535e2, 1.64312500, 2.67250000
3.17910721e2, 1.64000000, 2.67000000
3.22039432e2, 1.62750000, 2.67750000
3.26276793e2, 1.61000000, 2.69000000
3.30627150e2, 1.59125000, 2.70062500
3.35095085e2, 1.57000000, 2.72000000
3.39685428e2, 1.54375000, 2.75937500
3.44403281e2, 1.52000000, 2.81000000
3.49254032e2, 1.50500000, 2.86812500
3.54243375e2, 1.50000000, 2.93000000
3.59377337e2, 1.51125000, 2.99125000
3.64662298e2, 1.53000000, 3.05000000
3.70105019e2, 1.54875000, 3.10062500
3.75712671e2, 1.57000000, 3.15000000
3.81492866e2, 1.59375000, 3.20562500
3.87453692e2, 1.62000000, 3.26000000
3.93603750e2, 1.65000000, 3.30687500
3.99952198e2, 1.68000000, 3.35000000
4.06508791e2, 1.70625000, 3.39062500
4.13283938e2, 1.73000000, 3.43000000
4.20288750e2, 1.75062500, 3.46875000
4.27535108e2, 1.77000000, 3.51000000
4.35035724e2, 1.79000000, 3.55750000
4.42804219e2, 1.81000000, 3.61000000
4.50855205e2, 1.82875000, 3.66812500
4.59204375e2, 1.85000000, 3.73000000
4.67868609e2, 1.87812500, 3.79375000
4.76866082e2, 1.91000000, 3.86000000
4.86216397e2, 1.94312500, 3.92937500
4.95940725e2, 1.98000000, 4.00000000
5.06061964e2, 2.02250000, 4.07125000
5.16604922e2, 2.07000000, 4.14000000
5.27596516e2, 2.12375000, 4.20125000
5.39066006e2, 2.18000000, 4.26000000
5.51045250e2, 2.23500000, 4.32125000
5.63569006e2, 2.29000000, 4.38000000
5.76675262e2, 2.34562500, 4.43187500
5.90405625e2, 2.40000000, 4.48000000
6.04805762e2, 2.45250000, 4.52437500
6.19925906e2, 2.50000000, 4.57000000
6.35821443e2, 2.53687500, 4.62250000
6.52553586e2, 2.57000000, 4.68000000
6.70190169e2, 2.60625000, 4.74500000
6.88806563e2, 2.64000000, 4.81000000
7.08486750e2, 2.67000000, 4.86312500
7.29324596e2, 2.69000000, 4.92000000
7.51425341e2, 2.69000000, 4.98750000
7.74907383e2, 2.68000000, 5.08000000
7.99904395e2, 2.66000000, 5.22312500
8.26567875e2, 2.65000000, 5.39000000
8.55070216e2, 2.67500000, 5.56375000
8.85608438e2, 2.72000000, 5.74000000
9.18408750e2, 2.78250000, 5.90562500
9.53732164e2, 2.85000000, 6.07000000
9.91881450e2, 2.90812500, 6.23375000
1.03320984e3, 2.96000000, 6.41000000
1.07813201e3, 3.00000000, 6.61687500
1.12713801e3, 3.04000000, 6.84000000
1.18081125e3, 3.09750000, 7.06625000
1.23985181e3, 3.15000000, 7.31000000
1.30510717e3, 3.18000000, 7.57875000
1.37761313e3, 3.19000000, 7.88000000
1.45864919e3, 3.18062500, 8.20750000
1.54981477e3, 3.14000000, 8.61000000
1.65313575e3, 3.04062500, 9.12687500
1.77121688e3, 2.93000000, 9.78000000
1.90746433e3, 2.83500000, 1.06068800e1
2.06641969e3, 2.79000000, 1.16000000e1
2.25427602e3, 2.82750000, 1.27631300e1
2.47970363e3, 2.98000000, 1.41000000e1
