wavelength (nm), n, k
1.51201441e2, 1.19100000, 1.74400000
1.53068125e2, 1.19700000, 1.76800000
1.54981477e2, 1.20700000, 1.79600000
1.56943267e2, 1.22100000, 1.82500000
1.58955361e2, 1.23900000, 1.85300000
1.61019716e2, 1.26000000, 1.88100000
1.63138396e2, 1.28200000, 1.90800000
1.65313575e2, 1.30700000, 1.93300000
1.67547542e2, 1.33300000, 1.95500000
1.69842714e2, 1.36100000, 1.97500000
1.72201641e2, 1.39200000, 1.99500000
1.74627016e2, 1.42400000, 2.01300000
1.77121688e2, 1.45900000, 2.02700000
1.79688669e2, 1.49500000, 2.03700000
1.82331149e2, 1.53100000, 2.04600000
1.85052509e2, 1.56800000, 2.05300000
1.87856335e2, 1.60400000, 2.05700000
1.90746433e2, 1.64100000, 2.05800000
1.93726846e2, 1.67600000, 2.05900000
1.96801875e2, 1.71000000, 2.06200000
1.99976099e2, 1.74500000, 2.06600000
2.03254396e2, 1.78000000, 2.06800000
2.06641969e2, 1.81700000, 2.06700000
2.10144375e2, 1.85500000, 2.06300000
2.13767554e2, 1.89600000, 2.06000000
2.17517862e2, 1.94000000, 2.05700000
2.21402109e2, 1.98700000, 2.05000000
2.25427602e2, 2.03500000, 2.03800000
2.29602188e2, 2.08400000, 2.02200000
2.33934304e2, 2.13600000, 2.00600000
2.38433041e2, 2.18900000, 1.99000000
2.43108199e2, 2.24000000, 1.97500000
2.47970363e2, 2.28500000, 1.96400000
2.53030982e2, 2.31700000, 1.95500000
2.58302461e2, 2.34200000, 1.94700000
2.63798258e2, 2.36500000, 1.93900000
2.69533003e2, 2.38600000, 1.93200000
2.75522625e2, 2.40100000, 1.92500000
2.81784503e2, 2.41000000, 1.92100000
2.88337631e2, 2.41300000, 1.91800000
2.95202813e2, 2.41000000, 1.91700000
3.02402881e2, 2.40200000, 1.91900000
