wavelength (nm), n, k
2.25427602e2, 1.92200000, 1.97400000
2.29602188e2, 1.94800000, 2.04700000
2.33934304e2, 1.96500000, 2.05000000
2.38433041e2, 1.99600000, 2.04800000
2.43108199e2, 2.02400000, 2.04400000
2.47970363e2, 2.05600000, 2.04300000
2.53030982e2, 2.08500000, 2.04100000
2.58302461e2, 2.10800000, 2.04200000
2.63798258e2, 2.13900000, 2.05600000
2.69533003e2, 2.16900000, 2.05900000
2.75522625e2, 2.19600000, 2.07100000
2.81784503e2, 2.22700000, 2.08100000
2.88337631e2, 2.25900000, 2.09900000
2.95202813e2, 2.30300000, 2.11700000
3.02402881e2, 2.33600000, 2.13400000
3.09962953e2, 2.38200000, 2.15000000
3.17910721e2, 2.42000000, 2.16600000
3.26276793e2, 2.46900000, 2.18400000
3.35095085e2, 2.52300000, 2.20500000
3.44403281e2, 2.58100000, 2.22600000
3.54243375e2, 2.66400000, 2.26900000
3.64662298e2, 2.75200000, 2.27200000
3.75712671e2, 2.79200000, 2.27800000
3.87453692e2, 2.85500000, 2.28600000
3.99952198e2, 2.96400000, 2.30300000
4.13283938e2, 3.06400000, 2.30400000
4.27535108e2, 3.15100000, 2.28200000
4.42804219e2, 3.23600000, 2.23400000
4.59204375e2, 3.37700000, 2.19300000
4.76866082e2, 3.42400000, 2.12500000
4.95940725e2, 3.47600000, 2.06300000
5.16604922e2, 3.52900000, 2.00200000
5.39066006e2, 3.55400000, 1.93800000
5.63569006e2, 3.57300000, 1.88000000
5.90405625e2, 3.58000000, 1.84600000
6.19925906e2, 3.58100000, 1.81300000
6.52553586e2, 3.57400000, 1.78000000
6.88806563e2, 3.55800000, 1.77500000
7.29324596e2, 3.56400000, 1.78200000
7.74907383e2, 3.55100000, 1.82400000
8.26567875e2, 3.56400000, 1.89200000
8.85608438e2, 3.64100000, 2.00600000
9.53732164e2, 3.71700000, 2.07600000
1.03320984e3, 3.76400000, 2.09200000
1.12713801e3, 3.81000000, 2.10900000
1.23985181e3, 3.84300000, 2.14200000
1.37761313e3, 3.90200000, 2.17200000
1.54981477e3, 3.91200000, 2.26300000
1.77121688e3, 3.93800000, 2.26700000
2.06641969e3, 3.93900000, 2.67500000
