wavelength (nm), n, k
2.06641969e2, 1.69512000, 0.00000000
2.08378456e2, 1.68399600, 0.00000000
2.10144375e2, 1.67470100, 0.00000000
2.11940481e2, 1.66696900, 0.00000000
2.13767554e2, 1.66053200, 0.00000000
2.15626402e2, 1.65512000, 0.00000000
2.17517862e2, 1.65054100, 0.00000000
2.19442799e2, 1.64616100, 0.00000000
2.21402109e2, 1.64146400, 0.00000000
2.23396723e2, 1.63670600, 0.00000000
2.25427602e2, 1.63198000, 0.00000000
2.27495745e2, 1.62742700, 0.00000000
2.29602188e2, 1.62303200, 0.00000000
2.31748002e2, 1.61877900, 0.00000000
2.33934304e2, 1.61466400, 0.00000000
2.36162250e2, 1.61068200, 0.00000000
2.38433041e2, 1.60682100, 0.00000000
2.40747925e2, 1.60307200, 0.00000000
2.43108199e2, 1.59942900, 0.00000000
2.45515210e2, 1.59589400, 0.00000000
2.47970363e2, 1.59246200, 0.00000000
2.50475114e2, 1.58912200, 0.00000000
2.53030982e2, 1.58586900, 0.00000000
2.55639549e2, 1.58269600, 0.00000000
2.58302461e2, 1.57961500, 0.00000000
2.61021434e2, 1.57663000, 0.00000000
2.63798258e2, 1.57372600, 0.00000000
2.66634798e2, 1.57090000, 0.00000000
2.69533003e2, 1.56815300, 0.00000000
2.72494904e2, 1.56547500, 0.00000000
2.75522625e2, 1.56285500, 0.00000000
2.78618385e2, 1.56030900, 0.00000000
2.81784503e2, 1.55783500, 0.00000000
2.85023405e2, 1.55542100, 0.00000000
2.88337631e2, 1.55306300, 0.00000000
2.91729838e2, 1.55076000, 0.00000000
2.95202813e2, 1.54851000, 0.00000000
2.98759473e2, 1.54631200, 0.00000000
3.02402881e2, 1.54418300, 0.00000000
3.06136250e2, 1.54211500, 0.00000000
3.09962953e2, 1.54008800, 0.00000000
3.13886535e2, 1.53810700, 0.00000000
3.17910721e2, 1.53617100, 0.00000000
3.22039432e2, 1.53427600, 0.00000000
3.26276793e2, 1.53242400, 0.00000000
3.30627150e2, 1.53061600, 0.00000000
3.35095085e2, 1.52886000, 0.00000000
3.39685428e2, 1.52715700, 0.00000000
3.44403281e2, 1.52549200, 0.00000000
3.49254032e2, 1.52384300, 0.00000000
3.54243375e2, 1.52212300, 0.00000000
3.59377337e2, 1.52050300, 0.00000000
3.64662298e2, 1.51915200, 0.00000000
3.70105019e2, 1.51774400, 0.00000000
3.75712671e2, 1.51621900, 0.00000000
3.81492866e2, 1.51477500, 0.00000000
3.87453692e2, 1.51339700, 0.00000000
3.93603750e2, 1.51204300, 0.00000000
3.99952198e2, 1.51072200, 0.00000000
4.06508791e2, 1.50943700, 0.00000000
4.13283938e2, 1.50818400, 0.00000000
4.20288750e2, 1.50696100, 0.00000000
4.27535108e2, 1.50576800, 0.00000000
4.35035724e2, 1.50458500, 0.00000000
4.42804219e2, 1.50340600, 0.00000000
4.50855205e2, 1.50227900, 0.00000000
4.59204375e2, 1.50124700, 0.00000000
4.67868609e2, 1.50046800, 0.00000000
4.76866082e2, 1.49953700, 0.00000000
4.86216397e2, 1.49815100, 0.00000000
4.95940725e2, 1.49701100, 0.00000000
5.06061964e2, 1.49619600, 0.00000000
5.16604922e2, 1.49530900, 0.00000000
5.27596516e2, 1.49439400, 0.00000000
5.39066006e2, 1.49350900, 0.00000000
5.51045250e2, 1.49264800, 0.00000000
5.63569006e2, 1.49181200, 0.00000000
5.76675262e2, 1.49100200, 0.00000000
5.90405625e2, 1.49021300, 0.00000000
6.04805762e2, 1.48943900, 0.00000000
6.19925906e2, 1.48869100, 0.00000000
6.35821443e2, 1.48797100, 0.00000000
6.52553586e2, 1.48726900, 0.00000000
6.70190169e2, 1.48658400, 0.00000000
6.88806563e2, 1.48592000, 0.00000000
7.08486750e2, 1.48528000, 0.00000000
7.29324596e2, 1.48466500, 0.00000000
7.51425341e2, 1.48406500, 0.00000000
7.74907383e2, 1.48347800, 0.00000000
7.99904395e2, 1.48291300, 0.00000000
8.26567875e2, 1.48237000, 0.00000000
8.55070216e2, 1.48184800, 0.00000000
8.85608438e2, 1.48133700, 0.00000000
9.18408750e2, 1.48083700, 0.00000000
9.53732164e2, 1.48036900, 0.00000000
9.91881450e2, 1.47992200, 0.00000000
1.03320984e3, 1.47948200, 0.00000000
1.07813201e3, 1.47905400, 0.00000000
1.12713801e3, 1.47864100, 0.00000000
1.18081125e3, 1.47825400, 0.00000000
1.23985181e3, 1.47790000, 0.00000000
1.30510717e3, 1.47758700, 0.00000000
1.37761313e3, 1.47731900, 0.00000000
1.45864919e3, 1.47711000, 0.00000000
1.54981477e3, 1.47696100, 0.00000000
1.65313575e3, 1.47687100, 0.00000000
1.77121688e3, 1.47688500, 0.00000000
1.90746433e3, 1.47699500, 0.00000000
2.06641969e3, 1.47713400, 0.00000000
2.25427602e3, 1.47745100, 0.00000000
2.47970363e3, 1.47773800, 0.00000000
