wavelength (nm), n, k
2.10144375e2, 2.44455439, 0.00000000
2.13767554e2, 2.40727247, 0.00000000
2.17517862e2, 2.37198851, 0.00000000
2.21402109e2, 2.33860538, 0.00000000
2.25427602e2, 2.30702923, 0.00000000
2.29602188e2, 2.27716963, 0.00000000
2.33934304e2, 2.24893960, 0.00000000
2.38433041e2, 2.22225567, 0.00000000
2.43108199e2, 2.19703793, 0.00000000
2.47970363e2, 2.17320994, 0.00000000
2.53030982e2, 2.15069882, 0.00000000
2.58302461e2, 2.12943512, 0.00000000
2.63798258e2, 2.10935280, 0.00000000
2.69533003e2, 2.09038917, 0.00000000
2.75522625e2, 2.07248475, 0.00000000
2.81784503e2, 2.05558322, 0.00000000
2.88337631e2, 2.03963128, 0.00000000
2.95202813e2, 2.02457851, 0.00000000
3.02402881e2, 2.01037731, 0.00000000
3.09962953e2, 1.99698268, 0.00000000
3.17910721e2, 1.98435217, 0.00000000
3.26276793e2, 1.97244566, 0.00000000
3.35095085e2, 1.96122529, 0.00000000
3.44403281e2, 1.95065530, 0.00000000
3.54243375e2, 1.94070189, 0.00000000
3.64662298e2, 1.93133311, 0.00000000
3.75712671e2, 1.92251869, 0.00000000
3.87453692e2, 1.91422997, 0.00000000
3.99952198e2, 1.90643978, 0.00000000
4.13283938e2, 1.89912226, 0.00000000
4.27535108e2, 1.89225285, 0.00000000
4.42804219e2, 1.88580810, 0.00000000
4.59204375e2, 1.87976563, 0.00000000
4.76866082e2, 1.87410397, 0.00000000
4.95940725e2, 1.86880251, 0.00000000
5.16604922e2, 1.86384139, 0.00000000
5.39066006e2, 1.85920132, 0.00000000
5.63569006e2, 1.85486357, 0.00000000
5.90405625e2, 1.85080969, 0.00000000
6.19925906e2, 1.84702144, 0.00000000
6.52553586e2, 1.84348049, 0.00000000
6.88806563e2, 1.84016814, 0.00000000
7.29324596e2, 1.83706487, 0.00000000
7.74907383e2, 1.83414977, 0.00000000
8.26567875e2, 1.83139961, 0.00000000
8.85608438e2, 1.82878754, 0.00000000
9.53732164e2, 1.82628099, 0.00000000
1.03320984e3, 1.82383832, 0.00000000
1.12713801e3, 1.82140330, 0.00000000
1.23985181e3, 1.81889545, 0.00000000
