wavelength (nm), n, k
1.83681750e2, 4.40000000e-1, 4.07000000e-1
1.92225087e2, 4.08000000e-1, 4.60000000e-1
2.01601921e2, 3.76000000e-1, 5.22000000e-1
2.11940481e2, 3.42000000e-1, 5.94000000e-1
2.23396723e2, 3.10000000e-1, 6.88000000e-1
2.36162250e2, 2.99000000e-1, 7.95000000e-1
2.50475114e2, 3.02000000e-1, 9.06000000e-1
2.66634798e2, 3.17000000e-1, 1.01000000
2.85023405e2, 3.33000000e-1, 1.11000000
3.06136250e2, 3.46000000e-1, 1.21000000
3.30627150e2, 3.45000000e-1, 1.32000000
3.59377337e2, 3.34000000e-1, 1.45000000
3.93603750e2, 3.04000000e-1, 1.60000000
4.35035724e2, 2.47000000e-1, 1.82000000
4.86216397e2, 2.17000000e-1, 2.11000000
5.51045250e2, 2.06000000e-1, 2.48000000
6.35821443e2, 2.21000000e-1, 2.94000000
7.51425341e2, 2.65000000e-1, 3.55000000
9.18408750e2, 3.38000000e-1, 4.36000000
1.18081125e3, 4.48000000e-1, 5.58000000
