wavelength (nm), n, k
2.06641969e2, 1.43500000, 0.00000000
2.08378456e2, 1.43421700, 0.00000000
2.10144375e2, 1.43343200, 0.00000000
2.11940481e2, 1.43264200, 0.00000000
2.13767554e2, 1.43184700, 0.00000000
2.15626402e2, 1.43104700, 0.00000000
2.17517862e2, 1.43024500, 0.00000000
2.19442799e2, 1.42944200, 0.00000000
2.21402109e2, 1.42864000, 0.00000000
2.23396723e2, 1.42783800, 0.00000000
2.25427602e2, 1.42703800, 0.00000000
2.27495745e2, 1.42623700, 0.00000000
2.29602188e2, 1.42543500, 0.00000000
2.31748002e2, 1.42463400, 0.00000000
2.33934304e2, 1.42383600, 0.00000000
2.36162250e2, 1.42304300, 0.00000000
2.38433041e2, 1.42226100, 0.00000000
2.40747925e2, 1.42149200, 0.00000000
2.43108199e2, 1.42073900, 0.00000000
2.45515210e2, 1.42000300, 0.00000000
2.47970363e2, 1.41928600, 0.00000000
2.50475114e2, 1.41858600, 0.00000000
2.53030982e2, 1.41790500, 0.00000000
2.55639549e2, 1.41724200, 0.00000000
2.58302461e2, 1.41659700, 0.00000000
2.61021434e2, 1.41597000, 0.00000000
2.63798258e2, 1.41535900, 0.00000000
2.66634798e2, 1.41476100, 0.00000000
2.69533003e2, 1.41417300, 0.00000000
2.72494904e2, 1.41359100, 0.00000000
2.75522625e2, 1.41301300, 0.00000000
2.78618385e2, 1.41243400, 0.00000000
2.81784503e2, 1.41185600, 0.00000000
2.85023405e2, 1.41127800, 0.00000000
2.88337631e2, 1.41070300, 0.00000000
2.91729838e2, 1.41013100, 0.00000000
2.95202813e2, 1.40956400, 0.00000000
2.98759473e2, 1.40900200, 0.00000000
3.02402881e2, 1.40844800, 0.00000000
3.06136250e2, 1.40790100, 0.00000000
3.09962953e2, 1.40736500, 0.00000000
3.13886535e2, 1.40684000, 0.00000000
3.17910721e2, 1.40633100, 0.00000000
3.22039432e2, 1.40583800, 0.00000000
3.26276793e2, 1.40536400, 0.00000000
3.30627150e2, 1.40490700, 0.00000000
3.35095085e2, 1.40446300, 0.00000000
3.39685428e2, 1.40402900, 0.00000000
3.44403281e2, 1.40359700, 0.00000000
3.49254032e2, 1.40316400, 0.00000000
3.54243375e2, 1.40272400, 0.00000000
3.59377337e2, 1.40227700, 0.00000000
3.64662298e2, 1.40182200, 0.00000000
3.70105019e2, 1.40136100, 0.00000000
3.75712671e2, 1.40089800, 0.00000000
3.81492866e2, 1.40043700, 0.00000000
3.87453692e2, 1.39998300, 0.00000000
3.93603750e2, 1.39954100, 0.00000000
3.99952198e2, 1.39911300, 0.00000000
4.06508791e2, 1.39870500, 0.00000000
4.13283938e2, 1.39831600, 0.00000000
4.20288750e2, 1.39794600, 0.00000000
4.27535108e2, 1.39759500, 0.00000000
4.35035724e2, 1.39725700, 0.00000000
4.42804219e2, 1.39692800, 0.00000000
4.50855205e2, 1.39660100, 0.00000000
4.59204375e2, 1.39626900, 0.00000000
4.67868609e2, 1.39592900, 0.00000000
4.76866082e2, 1.39557800, 0.00000000
4.86216397e2, 1.39521600, 0.00000000
4.95940725e2, 1.39484400, 0.00000000
5.06061964e2, 1.39446900, 0.00000000
5.16604922e2, 1.39409500, 0.00000000
5.27596516e2, 1.39372800, 0.00000000
5.39066006e2, 1.39337200, 0.00000000
5.51045250e2, 1.39303100, 0.00000000
5.63569006e2, 1.39270600, 0.00000000
5.76675262e2, 1.39239400, 0.00000000
5.90405625e2, 1.39209500, 0.00000000
6.04805762e2, 1.39180500, 0.00000000
6.19925906e2, 1.39152100, 0.00000000
6.35821443e2, 1.39124100, 0.00000000
6.52553586e2, 1.39096300, 0.00000000
6.70190169e2, 1.39068500, 0.00000000
6.88806563e2, 1.39040700, 0.00000000
7.08486750e2, 1.39012600, 0.00000000
7.29324596e2, 1.38984200, 0.00000000
7.51425341e2, 1.38955200, 0.00000000
7.74907383e2, 1.38925500, 0.00000000
7.99904395e2, 1.38894900, 0.00000000
8.26567875e2, 1.38863400, 0.00000000
8.55070216e2, 1.38830900, 0.00000000
8.85608438e2, 1.38797600, 0.00000000
9.18408750e2, 1.38763300, 0.00000000
9.53732164e2, 1.38728100, 0.00000000
9.91881450e2, 1.38692000, 0.00000000
1.03320984e3, 1.38655000, 0.00000000
1.07813201e3, 1.38617200, 0.00000000
1.12713801e3, 1.38578600, 0.00000000
1.18081125e3, 1.38539400, 0.00000000
1.23985181e3, 1.38500000, 0.00000000
1.30510717e3, 1.38456900, 0.00000000
1.37761313e3, 1.38406700, 0.00000000
1.45864919e3, 1.38346000, 0.00000000
1.54981477e3, 1.38271000, 0.00000000
1.65313575e3, 1.38178500, 0.00000000
1.77121688e3, 1.38064900, 0.00000000
1.90746433e3, 1.37926900, 0.00000000
2.06641969e3, 1.37760800, 0.00000000
2.25427602e3, 1.37563200, 0.00000000
2.47970363e3, 1.37330700, 0.00000000
