wavelength (nm), n, k
2.50000000e2, 1.41170000, 0.00000000
2.75000000e2, 1.40440000, 0.00000000
3.00000000e2, 1.39960000, 0.00000000
3.25000000e2, 1.39610000, 0.00000000
3.50000000e2, 1.39350000, 0.00000000
3.75000000e2, 1.39150000, 0.00000000
4.00000000e2, 1.38990000, 0.00000000
4.25000000e2, 1.38860000, 0.00000000
4.50000000e2, 1.38750000, 0.00000000
4.75000000e2, 1.38650000, 0.00000000
5.00000000e2, 1.38570000, 0.00000000
5.25000000e2, 1.38500000, 0.00000000
5.50000000e2, 1.38440000, 0.00000000
5.75000000e2, 1.38390000, 0.00000000
6.00000000e2, 1.38340000, 0.00000000
6.25000000e2, 1.38300000, 0.00000000
6.50000000e2, 1.38260000, 0.00000000
6.75000000e2, 1.38230000, 0.00000000
7.00000000e2, 1.38190000, 0.00000000
7.25000000e2, 1.38160000, 0.00000000
7.50000000e2, 1.38140000, 0.00000000
7.75000000e2, 1.38110000, 0.00000000
8.00000000e2, 1.38090000, 0.00000000
8.25000000e2, 1.38070000, 0.00000000
8.50000000e2, 1.38050000, 0.00000000
8.75000000e2, 1.38030000, 0.00000000
9.00000000e2, 1.38020000, 0.00000000
