wavelength (nm), n, k
1.90746433e2, 7.83000000e-1, 2.30000000
1.91482905e2, 7.84383000e-1, 2.31351500
1.92225087e2, 7.85813000e-1, 2.32812500
1.92973045e2, 7.87336000e-1, 2.34367200
1.93726846e2, 7.89000000e-1, 2.36000000
1.94486559e2, 7.90852000e-1, 2.37695300
1.95252254e2, 7.92938000e-1, 2.39437500
1.96024002e2, 7.95305000e-1, 2.41211000
1.96801875e2, 7.98000000e-1, 2.43000000
1.97585946e2, 8.01109000e-1, 2.44750000
1.98376290e2, 8.04625000e-1, 2.46500000
1.99172982e2, 8.08578000e-1, 2.48250000
1.99976099e2, 8.13000000e-1, 2.50000000
2.00785719e2, 8.18664000e-1, 2.51750000
2.01601921e2, 8.24562000e-1, 2.53500000
2.02424786e2, 8.30430000e-1, 2.55250000
2.03254396e2, 8.36000000e-1, 2.57000000
2.04090833e2, 8.38948000e-1, 2.58648400
2.04934184e2, 8.41892000e-1, 2.60337500
2.05784533e2, 8.45390000e-1, 2.62107800
2.06641969e2, 8.50000000e-1, 2.64000000
2.07506580e2, 8.56281000e-1, 2.66054700
2.08378456e2, 8.62125000e-1, 2.68062500
2.09257690e2, 8.67656000e-1, 2.70039100
2.10144375e2, 8.73000000e-1, 2.72000000
2.11038606e2, 8.78281000e-1, 2.73961000
2.11940481e2, 8.83625000e-1, 2.75937500
2.12850097e2, 8.89156000e-1, 2.77945300
2.13767554e2, 8.95000000e-1, 2.80000000
2.14692955e2, 9.01633000e-1, 2.82156300
2.15626402e2, 9.08688000e-1, 2.84375000
2.16568002e2, 9.16148000e-1, 2.86656300
2.17517862e2, 9.24000000e-1, 2.89000000
2.18476090e2, 9.32187000e-1, 2.91445300
2.19442799e2, 9.40750000e-1, 2.93937500
2.20418100e2, 9.49688000e-1, 2.96460900
2.21402109e2, 9.59000000e-1, 2.99000000
2.22394944e2, 9.68180000e-1, 3.01461000
2.23396723e2, 9.77937000e-1, 3.03937500
2.24407568e2, 9.88477000e-1, 3.06445300
2.25427602e2, 1.00000000, 3.09000000
2.26456952e2, 1.01357000, 3.11695300
2.27495745e2, 1.02818800, 3.14437500
2.28544113e2, 1.04371100, 3.17210900
2.29602188e2, 1.06000000, 3.20000000
2.30670105e2, 1.07617200, 3.22750000
2.31748002e2, 1.09312500, 3.25500000
2.32836021e2, 1.11101600, 3.28250000
2.33934304e2, 1.13000000, 3.31000000
2.35042998e2, 1.15062500, 3.33750000
2.36162250e2, 1.17250000, 3.36500000
2.37292213e2, 1.19562500, 3.39250000
2.38433041e2, 1.22000000, 3.42000000
2.39584891e2, 1.24562500, 3.44828100
2.40747925e2, 1.27250000, 3.47625000
2.41922305e2, 1.30062500, 3.50359400
2.43108199e2, 1.33000000, 3.53000000
2.44305776e2, 1.36062500, 3.55398400
2.45515210e2, 1.39250000, 3.57687500
2.46736679e2, 1.42562500, 3.59882800
2.47970363e2, 1.46000000, 3.62000000
2.49216445e2, 1.49679700, 3.64132800
2.50475114e2, 1.53437500, 3.66187500
2.51746561e2, 1.57226600, 3.68148400
2.53030982e2, 1.61000000, 3.70000000
2.54328577e2, 1.64515700, 3.71648500
2.55639549e2, 1.68000000, 3.73187500
2.56964106e2, 1.71484400, 3.74632800
2.58302461e2, 1.75000000, 3.76000000
2.59654830e2, 1.78656200, 3.77382800
2.61021434e2, 1.82375000, 3.78687500
2.62402500e2, 1.86156200, 3.79898400
2.63798258e2, 1.90000000, 3.81000000
2.65208944e2, 1.93984300, 3.81859400
2.66634798e2, 1.97999900, 3.82625000
2.68076068e2, 2.02015600, 3.83328100
2.69533003e2, 2.06000000, 3.84000000
2.71005861e2, 2.09687500, 3.84828100
2.72494904e2, 2.13375000, 3.85625000
2.74000401e2, 2.17125000, 3.86359400
2.75522625e2, 2.21000000, 3.87000000
2.77061858e2, 2.25257800, 3.87476600
2.78618385e2, 2.29687500, 3.87812500
2.80192500e2, 2.34273400, 3.87992200
2.81784503e2, 2.39000000, 3.88000000
2.83394700e2, 2.43968800, 3.87937500
2.85023405e2, 2.49000000, 3.87625000
2.86670939e2, 2.54031300, 3.87000000
2.88337631e2, 2.59000000, 3.86000000
2.90023816e2, 2.63765600, 3.84171900
2.91729838e2, 2.68375000, 3.82000000
2.93456050e2, 2.72796900, 3.79578100
2.95202813e2, 2.77000000, 3.77000000
2.96970494e2, 2.80874900, 3.74789100
2.98759473e2, 2.84500000, 3.72437500
3.00570136e2, 2.87875000, 3.69867200
3.02402881e2, 2.91000000, 3.67000000
3.04258114e2, 2.93992200, 3.63132800
3.06136250e2, 2.96687500, 3.59062600
3.08037717e2, 2.99039100, 3.54961000
3.09962953e2, 3.01000000, 3.51000000
3.11912406e2, 3.02250000, 3.47898400
3.13886535e2, 3.03125000, 3.45062500
3.15885812e2, 3.03687500, 3.42445300
3.17910721e2, 3.04000000, 3.40000000
3.19961758e2, 3.04164100, 3.37445300
3.22039432e2, 3.04187500, 3.35062500
3.24144265e2, 3.04117200, 3.32898400
3.26276793e2, 3.04000000, 3.31000000
3.28437566e2, 3.03960900, 3.29687500
3.30627150e2, 3.03937500, 3.28625000
3.32846124e2, 3.03945300, 3.27750000
3.35095085e2, 3.04000000, 3.27000000
3.37374643e2, 3.04195300, 3.26195300
3.39685428e2, 3.04437500, 3.25437500
3.42028086e2, 3.04710900, 3.24710900
3.44403281e2, 3.05000000, 3.24000000
3.46811696e2, 3.05289100, 3.23211000
3.49254032e2, 3.05562500, 3.22437500
3.51731011e2, 3.05804700, 3.21695300
3.54243375e2, 3.06000000, 3.21000000
3.56791889e2, 3.06054700, 3.20406200
3.59377337e2, 3.06062500, 3.19875000
3.62000529e2, 3.06039100, 3.19406300
3.64662298e2, 3.06000000, 3.19000000
3.67363500e2, 3.06039000, 3.18656300
3.70105019e2, 3.06062500, 3.18375000
3.72887763e2, 3.06054700, 3.18156300
3.75712671e2, 3.06000000, 3.18000000
3.78580706e2, 3.05843700, 3.17789100
3.81492866e2, 3.05625000, 3.17687500
3.84450175e2, 3.05343700, 3.17742200
3.87453692e2, 3.05000000, 3.18000000
3.90504508e2, 3.04437500, 3.18742200
3.93603750e2, 3.03875000, 3.19687500
3.96752580e2, 3.03375000, 3.20789100
3.99952198e2, 3.03000000, 3.22000000
4.03203842e2, 3.03085900, 3.23156300
4.06508791e2, 3.03312500, 3.24375000
4.09868368e2, 3.03632800, 3.25656200
4.13283938e2, 3.04000000, 3.27000000
