wavelength (nm), n, k
2.81784503e2, 2.55700000, 3.16900000
2.88337631e2, 2.28200000, 3.05900000
2.95202813e2, 2.24800000, 3.01600000
3.02402881e2, 2.25400000, 3.01600000
3.09962953e2, 2.27800000, 3.04100000
3.17910721e2, 2.31200000, 3.07900000
3.26276793e2, 2.35500000, 3.12200000
3.35095085e2, 2.40100000, 3.16400000
3.44403281e2, 2.46800000, 3.20600000
3.54243375e2, 2.54000000, 3.24700000
3.64662298e2, 2.62600000, 3.29200000
3.75712671e2, 2.72700000, 3.34300000
3.87453692e2, 2.84800000, 3.40200000
3.99952198e2, 2.99100000, 3.46900000
4.13283938e2, 3.16100000, 3.54100000
4.27535108e2, 3.35800000, 3.56700000
4.42804219e2, 3.58300000, 3.58400000
4.59204375e2, 3.82500000, 3.56500000
4.76866082e2, 4.07100000, 3.49900000
4.95940725e2, 4.29800000, 3.38900000
5.16604922e2, 4.48500000, 3.24900000
5.39066006e2, 4.62100000, 3.09100000
5.63569006e2, 4.70700000, 2.93200000
5.90405625e2, 4.75500000, 2.78100000
6.19925906e2, 4.78100000, 2.64700000
6.52553586e2, 4.80000000, 2.53300000
6.88806563e2, 4.82200000, 2.43700000
7.29324596e2, 4.85400000, 2.35300000
7.74907383e2, 4.89800000, 2.27500000
8.26567875e2, 4.95300000, 2.19500000
8.85608438e2, 5.01600000, 2.10400000
9.53732164e2, 5.08200000, 2.00000000
1.03320984e3, 5.14500000, 1.88100000
1.12713801e3, 5.19200000, 1.75500000
1.23985181e3, 5.21200000, 1.63400000
