wavelength (nm), n, k
2.06641969e2, 1.40000000, 3.20000000
2.08378456e2, 1.51925100, 3.11356200
2.10144375e2, 1.65500000, 2.99600000
2.11940481e2, 1.77875000, 2.87443700
2.13767554e2, 1.86200000, 2.77600000
2.15626402e2, 1.83962500, 2.75287500
2.17517862e2, 1.79300000, 2.75700000
2.19442799e2, 1.79318700, 2.75487500
2.21402109e2, 1.80600000, 2.75500000
2.23396723e2, 1.82018700, 2.75475000
2.25427602e2, 1.83800000, 2.75400000
2.27495745e2, 1.85831300, 2.75175000
2.29602188e2, 1.88000000, 2.74800000
2.31748002e2, 1.90193700, 2.74193700
2.33934304e2, 1.92300000, 2.73500000
2.36162250e2, 1.94100000, 2.72843700
2.38433041e2, 1.95800000, 2.72200000
2.40747925e2, 1.97575000, 2.71593700
2.43108199e2, 1.99300000, 2.71000000
2.45515210e2, 2.00906300, 2.70393800
2.47970363e2, 2.02400000, 2.69800000
2.50475114e2, 2.03775000, 2.69218800
2.53030982e2, 2.05000000, 2.68700000
2.55639549e2, 2.06012500, 2.68287500
2.58302461e2, 2.06900000, 2.68000000
2.61021434e2, 2.07750000, 2.67843800
2.63798258e2, 2.08500000, 2.67900000
2.66634798e2, 2.09062500, 2.68256200
2.69533003e2, 2.09600000, 2.68900000
2.72494904e2, 2.10237500, 2.69875000
2.75522625e2, 2.11000000, 2.71100000
2.78618385e2, 2.11956300, 2.72493700
2.81784503e2, 2.13100000, 2.74100000
2.85023405e2, 2.14443800, 2.75987500
2.88337631e2, 2.16000000, 2.78000000
2.91729838e2, 2.17743800, 2.80025000
2.95202813e2, 2.19800000, 2.82000000
2.98759473e2, 2.22468700, 2.83775000
3.02402881e2, 2.25200000, 2.85500000
3.06136250e2, 2.27300000, 2.87256200
3.09962953e2, 2.29500000, 2.89100000
3.13886535e2, 2.32512500, 2.91212500
3.17910721e2, 2.35700000, 2.93300000
3.22039432e2, 2.38462500, 2.94931200
3.26276793e2, 2.41400000, 2.96700000
3.30627150e2, 2.44956300, 2.99393700
3.35095085e2, 2.49000000, 3.02000000
3.39685428e2, 2.53737500, 3.03600000
3.44403281e2, 2.58600000, 3.04700000
3.49254032e2, 2.62950000, 3.05431200
3.54243375e2, 2.67200000, 3.06000000
3.59377337e2, 2.71581300, 3.06787500
3.64662298e2, 2.76000000, 3.07400000
3.70105019e2, 2.80556200, 3.07512500
3.75712671e2, 2.84900000, 3.07300000
3.81492866e2, 2.88625000, 3.06700000
3.87453692e2, 2.92000000, 3.06100000
3.93603750e2, 2.95206200, 3.05850000
3.99952198e2, 2.98100000, 3.06000000
4.06508791e2, 3.00431300, 3.06818700
4.13283938e2, 3.02700000, 3.08000000
4.20288750e2, 3.05306300, 3.09306300
4.27535108e2, 3.08300000, 3.10800000
4.35035724e2, 3.12006300, 3.12462500
4.42804219e2, 3.16000000, 3.14300000
4.50855205e2, 3.19793700, 3.16187500
4.59204375e2, 3.23900000, 3.18500000
4.67868609e2, 3.28537500, 3.21800000
4.76866082e2, 3.34100000, 3.25400000
4.86216397e2, 3.41168800, 3.28950000
4.95940725e2, 3.49400000, 3.32000000
5.06061964e2, 3.58800000, 3.34018800
5.16604922e2, 3.68900000, 3.34900000
5.27596516e2, 3.79325000, 3.34356200
5.39066006e2, 3.89800000, 3.32400000
5.51045250e2, 4.00106200, 3.28768700
5.63569006e2, 4.09700000, 3.24000000
5.76675262e2, 4.17812500, 3.18537500
5.90405625e2, 4.24900000, 3.12400000
6.04805762e2, 4.31206300, 3.05431200
6.19925906e2, 4.36600000, 2.98600000
6.35821443e2, 4.40887500, 2.93175000
6.52553586e2, 4.44500000, 2.88100000
6.70190169e2, 4.47825000, 2.82612500
6.88806563e2, 4.50800000, 2.77100000
7.08486750e2, 4.53706200, 2.71631200
7.29324596e2, 4.55900000, 2.66400000
7.51425341e2, 4.56418800, 2.61643700
7.74907383e2, 4.56500000, 2.57300000
7.99904395e2, 4.57375000, 2.53512500
8.26567875e2, 4.58100000, 2.49900000
8.55070216e2, 4.58256200, 2.45956300
8.85608438e2, 4.57500000, 2.42200000
9.18408750e2, 4.55168800, 2.38837500
9.53732164e2, 4.51800000, 2.36300000
9.91881450e2, 4.47668700, 2.35025000
1.03320984e3, 4.42900000, 2.35200000
1.07813201e3, 4.37593700, 2.37225000
1.12713801e3, 4.32100000, 2.40900000
1.18081125e3, 4.26993800, 2.46556300
1.23985181e3, 4.21700000, 2.53000000
1.30510717e3, 4.16556300, 2.58337500
1.37761313e3, 4.09400000, 2.65000000
1.45864919e3, 3.97556300, 2.73181200
1.54981477e3, 3.82900000, 2.87700000
1.65313575e3, 3.63937500, 3.14237500
1.77121688e3, 3.48100000, 3.50400000
1.90746433e3, 3.44006300, 3.96625000
2.06641969e3, 3.46600000, 4.50100000
2.25427602e3, 3.51200000, 5.07331200
2.47970363e3, 3.65300000, 5.70800000
2.75522625e3, 3.96981200, 6.41700000
3.09962953e3, 4.39800000, 7.20400000
3.54243375e3, 4.93337500, 8.02699900
4.13283938e3, 5.47600000, 9.03500000
4.95940725e3, 5.82750000, 1.02449400e1
6.19925906e3, 6.27900000, 1.20110000e1
8.26567875e3, 6.99924900, 1.46030600e1
1.23985181e4, 8.15700100, 1.82910000e1
2.47970363e4, 1.54600000e1, 3.76820000e1
