wavelength (nm), n, k
2.06641969e2, 9.76000000e-1, 2.69300000
2.08378456e2, 1.05700100, 2.65068700
2.10144375e2, 1.15800000, 2.61400000
2.11940481e2, 1.25875000, 2.57756200
2.13767554e2, 1.33900000, 2.53600000
2.15626402e2, 1.36056300, 2.47193800
2.17517862e2, 1.35700000, 2.41600000
2.19442799e2, 1.34787500, 2.40181300
2.21402109e2, 1.33700000, 2.40300000
2.23396723e2, 1.33656300, 2.40306300
2.25427602e2, 1.34100000, 2.40600000
2.27495745e2, 1.34937500, 2.41043700
2.29602188e2, 1.36000000, 2.41600000
2.31748002e2, 1.37062500, 2.42150000
2.33934304e2, 1.38200000, 2.42800000
2.36162250e2, 1.39400000, 2.43643800
2.38433041e2, 1.40700000, 2.44600000
2.40747925e2, 1.42143700, 2.45625000
2.43108199e2, 1.43700000, 2.46700000
2.45515210e2, 1.45356200, 2.47793700
2.47970363e2, 1.47100000, 2.48900000
2.50475114e2, 1.48943800, 2.50000000
2.53030982e2, 1.50800000, 2.51100000
2.55639549e2, 1.52531300, 2.52106200
2.58302461e2, 1.54300000, 2.53300000
2.61021434e2, 1.56175000, 2.55131300
2.63798258e2, 1.58300000, 2.57000000
2.66634798e2, 1.61012500, 2.58325000
2.69533003e2, 1.63800000, 2.59500000
2.72494904e2, 1.66100000, 2.60700000
2.75522625e2, 1.68400000, 2.62000000
2.78618385e2, 1.71037500, 2.63587500
2.81784503e2, 1.73900000, 2.65300000
2.85023405e2, 1.76956300, 2.67112500
2.88337631e2, 1.80300000, 2.68800000
2.91729838e2, 1.84100000, 2.70087500
2.95202813e2, 1.88100000, 2.71100000
2.98759473e2, 1.92075000, 2.71912500
3.02402881e2, 1.96100000, 2.72400000
3.06136250e2, 2.00325000, 2.72431300
3.09962953e2, 2.04300000, 2.72100000
3.13886535e2, 2.07481300, 2.71262500
3.17910721e2, 2.10300000, 2.70500000
3.22039432e2, 2.12962500, 2.70525000
3.26276793e2, 2.15600000, 2.70800000
3.30627150e2, 2.18493700, 2.71050000
3.35095085e2, 2.21400000, 2.71200000
3.39685428e2, 2.24131200, 2.70881200
3.44403281e2, 2.26800000, 2.70700000
3.49254032e2, 2.29425000, 2.71393800
3.54243375e2, 2.32100000, 2.72200000
3.59377337e2, 2.34931300, 2.72412500
3.64662298e2, 2.37900000, 2.72600000
3.70105019e2, 2.41087500, 2.73275000
3.75712671e2, 2.44300000, 2.73900000
3.81492866e2, 2.47387500, 2.73906300
3.87453692e2, 2.50300000, 2.73900000
3.93603750e2, 2.52806200, 2.74350000
3.99952198e2, 2.55300000, 2.75100000
4.06508791e2, 2.58200000, 2.76275000
4.13283938e2, 2.61200000, 2.77500000
4.20288750e2, 2.63993800, 2.78318800
4.27535108e2, 2.67000000, 2.79100000
4.35035724e2, 2.70656300, 2.80125000
4.42804219e2, 2.74600000, 2.81200000
4.50855205e2, 2.78568700, 2.82206200
4.59204375e2, 2.82700000, 2.83200000
4.67868609e2, 2.87037500, 2.84193700
4.76866082e2, 2.91600000, 2.85200000
4.86216397e2, 2.96381300, 2.86325000
4.95940725e2, 3.01500000, 2.87300000
5.06061964e2, 3.07193800, 2.87862500
5.16604922e2, 3.13100000, 2.88100000
5.27596516e2, 3.18875000, 2.88012500
5.39066006e2, 3.24700000, 2.87600000
5.51045250e2, 3.30693700, 2.86843700
5.63569006e2, 3.36700000, 2.85800000
5.76675262e2, 3.42487500, 2.84631300
5.90405625e2, 3.48400000, 2.83000000
6.04805762e2, 3.55118800, 2.80462500
6.19925906e2, 3.61400000, 2.77500000
6.35821443e2, 3.65887500, 2.74337500
6.52553586e2, 3.69600000, 2.71300000
6.70190169e2, 3.73081300, 2.68775000
6.88806563e2, 3.76400000, 2.66800000
7.08486750e2, 3.79543700, 2.65712500
7.29324596e2, 3.83300000, 2.65000000
7.51425341e2, 3.88700000, 2.64606300
7.74907383e2, 3.95000000, 2.63500000
7.99904395e2, 4.02162500, 2.60593700
8.26567875e2, 4.09100000, 2.56000000
8.55070216e2, 4.15000000, 2.49087500
8.85608438e2, 4.19000000, 2.41000000
9.18408750e2, 4.19643700, 2.32256300
9.53732164e2, 4.17900000, 2.24100000
9.91881450e2, 4.13918700, 2.18268800
1.03320984e3, 4.08700000, 2.13800000
1.07813201e3, 4.04356200, 2.10406300
1.12713801e3, 3.97700000, 2.07800000
1.18081125e3, 3.84900000, 2.04075000
1.23985181e3, 3.70000000, 2.03800000
1.30510717e3, 3.55887500, 2.12137500
1.37761313e3, 3.42200000, 2.25400000
1.45864919e3, 3.29656200, 2.41081200
1.54981477e3, 3.17900000, 2.60800000
1.65313575e3, 3.06506300, 2.85625000
1.77121688e3, 2.96400000, 3.14700000
1.90746433e3, 2.89218700, 3.45800000
2.06641969e3, 2.82400000, 3.84100000
2.25427602e3, 2.70900000, 4.34093700
2.47970363e3, 2.63800000, 4.95600000
2.75522625e3, 2.70393700, 5.67175000
3.09962953e3, 2.85000000, 6.57100000
3.54243375e3, 3.03175000, 7.71731300
4.13283938e3, 3.30500000, 9.15400000
4.95940725e3, 3.69000000, 1.08373800e1
6.19925906e3, 4.24900000, 1.30920000e1
8.26567875e3, 5.03375000, 1.61503800e1
1.23985181e4, 6.09600100, 2.02450000e1
2.47970363e4, 1.05310000e1, 4.35260000e1
