wavelength (nm), n, k
1.90746433e2, 1.01312500, 1.42687500
1.92225087e2, 1.01210900, 1.44273500
1.93726846e2, 1.01000000, 1.46000000
1.95252254e2, 1.00726600, 1.47851600
1.96801875e2, 1.00437500, 1.49812500
1.98376290e2, 1.00179700, 1.51867200
1.99976099e2, 1.00000000, 1.54000000
2.01601921e2, 1.00145800, 1.56437500
2.03254396e2, 1.00383300, 1.58825000
2.04934184e2, 1.00679200, 1.61050000
2.06641969e2, 1.01000000, 1.63000000
2.08378456e2, 1.01312500, 1.64562500
2.10144375e2, 1.02000000, 1.67000000
2.11940481e2, 1.02937500, 1.69937500
2.13767554e2, 1.04000000, 1.73000000
2.15626402e2, 1.04937500, 1.75562500
2.17517862e2, 1.06000000, 1.78000000
2.19442799e2, 1.07437500, 1.80500000
2.21402109e2, 1.09000000, 1.83000000
2.23396723e2, 1.10437500, 1.85437500
2.25427602e2, 1.12000000, 1.88000000
2.27495745e2, 1.13875000, 1.91000000
2.29602188e2, 1.16000000, 1.94000000
2.31748002e2, 1.18375000, 1.96562500
2.33934304e2, 1.21000000, 1.99000000
2.36162250e2, 1.23937500, 2.01625000
2.38433041e2, 1.27000000, 2.04000000
2.40747925e2, 1.29937500, 2.05625000
2.43108199e2, 1.33000000, 2.07000000
2.45515210e2, 1.36437500, 2.08625000
2.47970363e2, 1.40000000, 2.10000000
2.50475114e2, 1.43562500, 2.10687500
2.53030982e2, 1.47000000, 2.11000000
2.55639549e2, 1.50062500, 2.11125000
2.58302461e2, 1.53000000, 2.11000000
2.61021434e2, 1.56125000, 2.10562500
2.63798258e2, 1.59000000, 2.10000000
2.66634798e2, 1.61125000, 2.09562500
2.69533003e2, 1.63000000, 2.09000000
2.72494904e2, 1.65000000, 2.08000000
2.75522625e2, 1.67000000, 2.07000000
2.78618385e2, 1.69125000, 2.06562500
2.81784503e2, 1.71000000, 2.06000000
2.85023405e2, 1.72187500, 2.04562500
2.88337631e2, 1.73000000, 2.03000000
2.91729838e2, 1.73625000, 2.01875000
2.95202813e2, 1.74000000, 2.01000000
2.98759473e2, 1.74125000, 2.00500000
3.02402881e2, 1.74000000, 2.00000000
3.06136250e2, 1.73562500, 1.98937500
3.09962953e2, 1.73000000, 1.98000000
3.13886535e2, 1.72625000, 1.97812500
3.17910721e2, 1.72000000, 1.98000000
3.22039432e2, 1.70625000, 1.98312500
3.26276793e2, 1.69000000, 1.99000000
3.30627150e2, 1.67437500, 2.00250000
3.35095085e2, 1.66000000, 2.02000000
3.39685428e2, 1.64875000, 2.04437500
3.44403281e2, 1.64000000, 2.07000000
3.49254032e2, 1.63437500, 2.08937500
3.54243375e2, 1.63000000, 2.11000000
3.59377337e2, 1.62500000, 2.13875000
3.64662298e2, 1.62000000, 2.17000000
3.70105019e2, 1.61437500, 2.19937500
3.75712671e2, 1.61000000, 2.23000000
3.81492866e2, 1.60937500, 2.26500000
3.87453692e2, 1.61000000, 2.30000000
3.93603750e2, 1.61000000, 2.32937500
3.99952198e2, 1.61000000, 2.36000000
4.06508791e2, 1.60937500, 2.39875000
4.13283938e2, 1.61000000, 2.44000000
4.20288750e2, 1.61437500, 2.47937500
4.27535108e2, 1.62000000, 2.52000000
4.35035724e2, 1.62500000, 2.56375000
4.42804219e2, 1.63000000, 2.61000000
4.50855205e2, 1.63500000, 2.65937500
4.59204375e2, 1.64000000, 2.71000000
4.67868609e2, 1.64437500, 2.75875000
4.76866082e2, 1.65000000, 2.81000000
4.86216397e2, 1.65812500, 2.86812500
4.95940725e2, 1.67000000, 2.93000000
5.06061964e2, 1.68875000, 2.99437500
5.16604922e2, 1.71000000, 3.06000000
5.27596516e2, 1.72937500, 3.12437500
5.39066006e2, 1.75000000, 3.19000000
5.51045250e2, 1.77437500, 3.25875000
5.63569006e2, 1.80000000, 3.33000000
5.76675262e2, 1.82375000, 3.40312500
5.90405625e2, 1.85000000, 3.48000000
6.04805762e2, 1.88187500, 3.56375000
6.19925906e2, 1.92000000, 3.65000000
6.35821443e2, 1.96687500, 3.73375000
6.52553586e2, 2.02000000, 3.82000000
6.70190169e2, 2.07750000, 3.91500000
6.88806563e2, 2.14000000, 4.01000000
7.08486750e2, 2.20812500, 4.09875000
7.29324596e2, 2.28000000, 4.18000000
7.51425341e2, 2.35750000, 4.24562500
7.74907383e2, 2.43000000, 4.31000000
7.99904395e2, 2.48187500, 4.38812500
8.26567875e2, 2.53000000, 4.47000000
8.55070216e2, 2.59062500, 4.54625000
8.85608438e2, 2.65000000, 4.63000000
9.18408750e2, 2.69562500, 4.73437500
9.53732164e2, 2.74000000, 4.85000000
9.91881450e2, 2.79312500, 4.97125000
1.03320984e3, 2.85000000, 5.10000000
1.07813201e3, 2.91125000, 5.23312500
1.12713801e3, 2.97000000, 5.38000000
1.18081125e3, 3.02125000, 5.54687500
1.23985181e3, 3.06000000, 5.74000000
1.30510717e3, 3.11000000, 5.98000000
1.37761313e3, 3.18000000, 6.23000000
1.45864919e3, 3.27000000, 6.51000000
1.54981477e3, 3.38000000, 6.82000000
1.65313575e3, 3.49000000, 7.13000000
1.77121688e3, 3.59000000, 7.48000000
1.90746433e3, 3.69000000, 7.92000000
2.06641969e3, 3.84000000, 8.35000000
2.25427602e3, 3.90000000, 8.92000000
2.47970363e3, 4.03000000, 9.64000000
