wavelength (nm), n, k
2.13767554e2, 1.77300000, 9.82000000e-1
2.17517862e2, 1.77600000, 9.95000000e-1
2.21402109e2, 1.78200000, 1.01100000
2.25427602e2, 1.78800000, 1.02400000
2.29602188e2, 1.79200000, 1.03700000
2.33934304e2, 1.79700000, 1.05200000
2.38433041e2, 1.80400000, 1.06500000
2.43108199e2, 1.80900000, 1.07800000
2.47970363e2, 1.81500000, 1.09300000
2.53030982e2, 1.82300000, 1.10400000
2.58302461e2, 1.82700000, 1.11300000
2.63798258e2, 1.82700000, 1.12200000
2.69533003e2, 1.82200000, 1.13500000
2.75522625e2, 1.81700000, 1.15300000
2.81784503e2, 1.81500000, 1.17600000
2.88337631e2, 1.81700000, 1.19900000
2.95202813e2, 1.82100000, 1.22100000
3.02402881e2, 1.82500000, 1.23700000
3.09962953e2, 1.82300000, 1.25400000
3.17910721e2, 1.81800000, 1.27100000
3.26276793e2, 1.80600000, 1.29100000
3.35095085e2, 1.79000000, 1.31700000
3.44403281e2, 1.76900000, 1.35200000
3.54243375e2, 1.75600000, 1.39900000
3.64662298e2, 1.74400000, 1.46000000
3.75712671e2, 1.73200000, 1.49700000
3.87453692e2, 1.72200000, 1.55500000
3.99952198e2, 1.71400000, 1.61800000
4.13283938e2, 1.70900000, 1.68400000
4.27535108e2, 1.70200000, 1.75500000
4.42804219e2, 1.69600000, 1.83100000
4.59204375e2, 1.68900000, 1.91600000
4.76866082e2, 1.67700000, 2.01600000
4.95940725e2, 1.68000000, 2.12600000
5.16604922e2, 1.67800000, 2.24700000
5.39066006e2, 1.68100000, 2.39000000
5.63569006e2, 1.69900000, 2.55300000
5.90405625e2, 1.73600000, 2.73400000
6.19925906e2, 1.79300000, 2.92900000
6.52553586e2, 1.87100000, 3.13900000
6.88806563e2, 1.97900000, 3.36700000
7.29324596e2, 2.12300000, 3.60500000
7.74907383e2, 2.29800000, 3.84900000
8.26567875e2, 2.52700000, 4.08800000
8.85608438e2, 2.74600000, 4.33700000
9.53732164e2, 3.07200000, 4.61100000
1.03320984e3, 3.35200000, 4.89100000
1.12713801e3, 3.83700000, 5.22100000
1.23985181e3, 4.69900000, 5.47100000
1.37761313e3, 5.38200000, 5.31800000
1.54981477e3, 5.89600000, 5.15300000
1.77121688e3, 6.47900000, 5.12100000
2.06641969e3, 7.09600000, 4.78300000
2.47970363e3, 7.64100000, 4.11500000
3.09962953e3, 6.78800000, 3.79000000
4.13283938e3, 6.98000000, 5.61200000
6.19925906e3, 7.92200000, 6.35600000
1.23985181e4, 7.59900000, 1.06400000e1
