wavelength (nm), n, k
1.90746433e2, 1.03125000, 2.27125000
1.92225087e2, 1.04484400, 2.30093800
1.93726846e2, 1.06000000, 2.33000000
1.95252254e2, 1.07640600, 2.35843800
1.96801875e2, 1.09375000, 2.38625000
1.98376290e2, 1.11171900, 2.41343700
1.99976099e2, 1.13000000, 2.44000000
2.01601921e2, 1.14562500, 2.46291700
2.03254396e2, 1.16200000, 2.48641700
2.04934184e2, 1.17987500, 2.51170800
2.06641969e2, 1.20000000, 2.54000000
2.08378456e2, 1.22312500, 2.57250000
2.10144375e2, 1.24000000, 2.60000000
2.11940481e2, 1.25437500, 2.62500000
2.13767554e2, 1.27000000, 2.65000000
2.15626402e2, 1.29437500, 2.67937500
2.17517862e2, 1.32000000, 2.71000000
2.19442799e2, 1.34000000, 2.74000000
2.21402109e2, 1.36000000, 2.77000000
2.23396723e2, 1.38437500, 2.80062500
2.25427602e2, 1.41000000, 2.83000000
2.27495745e2, 1.43437500, 2.85500000
2.29602188e2, 1.46000000, 2.88000000
2.31748002e2, 1.48937500, 2.90937500
2.33934304e2, 1.52000000, 2.94000000
2.36162250e2, 1.54937500, 2.96937500
2.38433041e2, 1.58000000, 3.00000000
2.40747925e2, 1.61312500, 3.03562500
2.43108199e2, 1.65000000, 3.07000000
2.45515210e2, 1.69437500, 3.09750000
2.47970363e2, 1.74000000, 3.12000000
2.50475114e2, 1.78187500, 3.13562500
2.53030982e2, 1.82000000, 3.15000000
2.55639549e2, 1.85125000, 3.16875000
2.58302461e2, 1.88000000, 3.19000000
2.61021434e2, 1.90937500, 3.21312500
2.63798258e2, 1.94000000, 3.24000000
2.66634798e2, 1.97250000, 3.27375000
2.69533003e2, 2.01000000, 3.31000000
2.72494904e2, 2.05625000, 3.34562500
2.75522625e2, 2.11000000, 3.38000000
2.78618385e2, 2.17187500, 3.41250000
2.81784503e2, 2.24000000, 3.44000000
2.85023405e2, 2.31437500, 3.46062500
2.88337631e2, 2.39000000, 3.47000000
2.91729838e2, 2.46250000, 3.45937500
2.95202813e2, 2.53000000, 3.44000000
2.98759473e2, 2.58937500, 3.42187500
3.02402881e2, 2.64000000, 3.40000000
3.06136250e2, 2.68062500, 3.36937500
3.09962953e2, 2.71000000, 3.34000000
3.13886535e2, 2.72437500, 3.32062500
3.17910721e2, 2.73000000, 3.31000000
3.22039432e2, 2.73125000, 3.31000000
3.26276793e2, 2.73000000, 3.32000000
3.30627150e2, 2.72875000, 3.34062500
3.35095085e2, 2.73000000, 3.37000000
3.39685428e2, 2.73750000, 3.40437500
3.44403281e2, 2.75000000, 3.45000000
3.49254032e2, 2.76250000, 3.51250000
3.54243375e2, 2.79000000, 3.59000000
3.59377337e2, 2.84875000, 3.69312500
3.64662298e2, 2.93000000, 3.79000000
3.70105019e2, 3.04000000, 3.84250000
3.75712671e2, 3.15000000, 3.88000000
3.81492866e2, 3.22000000, 3.91000000
3.87453692e2, 3.29000000, 3.96000000
3.93603750e2, 3.37500000, 4.07812500
3.99952198e2, 3.51000000, 4.21000000
4.06508791e2, 3.75625000, 4.33437500
4.13283938e2, 4.05000000, 4.40000000
4.20288750e2, 4.35875000, 4.32687500
4.27535108e2, 4.65000000, 4.18000000
4.35035724e2, 4.87187600, 3.99124900
4.42804219e2, 5.05000000, 3.78000000
4.50855205e2, 5.19625000, 3.59000000
4.59204375e2, 5.30000000, 3.38000000
4.67868609e2, 5.35062500, 3.10250100
4.76866082e2, 5.36000000, 2.82000000
4.86216397e2, 5.33500100, 2.58812500
4.95940725e2, 5.28000000, 2.38000000
5.06061964e2, 5.20125000, 2.18312500
5.16604922e2, 5.10000000, 2.01000000
5.27596516e2, 4.97499900, 1.87062500
5.39066006e2, 4.84000000, 1.76000000
5.51045250e2, 4.71375000, 1.67937500
5.63569006e2, 4.58000000, 1.62000000
5.76675262e2, 4.42125000, 1.56750000
5.90405625e2, 4.26000000, 1.54000000
6.04805762e2, 4.11000000, 1.55500000
6.19925906e2, 3.98000000, 1.60000000
6.35821443e2, 3.88000000, 1.67000000
6.52553586e2, 3.81000000, 1.75000000
6.70190169e2, 3.79000000, 1.81000000
6.88806563e2, 3.78000000, 1.83000000
7.08486750e2, 3.76000000, 1.80000000
7.29324596e2, 3.70000000, 1.75000000
7.51425341e2, 3.57000000, 1.66000000
7.74907383e2, 3.36000000, 1.62000000
7.99904395e2, 3.09666600, 1.66833300
8.26567875e2, 2.84000000, 1.80000000
8.55070216e2, 2.65000000, 2.01000000
8.85608438e2, 2.49000000, 2.23000000
9.18408750e2, 2.35000000, 2.48000000
9.53732164e2, 2.25000000, 2.77000000
9.91881450e2, 2.19000000, 3.04000000
1.03320984e3, 2.16000000, 3.35000000
1.07813201e3, 2.17000000, 3.59000000
1.12713801e3, 2.15000000, 3.84000000
1.18081125e3, 2.12000000, 4.11000000
1.23985181e3, 2.09000000, 4.41000000
1.30510717e3, 2.05000000, 4.74000000
1.37761313e3, 2.03000000, 5.10000000
1.45864919e3, 2.01000000, 5.51000000
1.54981477e3, 2.00000000, 5.95000000
1.65313575e3, 2.00000000, 6.46000000
1.77121688e3, 2.02000000, 7.04000000
1.90746433e3, 2.11000000, 7.68000000
2.06641969e3, 2.21000000, 8.37000000
2.25427602e3, 2.33000000, 9.12000000
2.47970363e3, 2.41000000, 9.97000000
